"Subclass","Variable","Count","Union_NonZero_Genes","Normalized_Count"
"ABC NN","Sex",17,12102,0.140472649148901
"ABC NN","Age",20,12102,0.165261940175178
"Astro-TE NN","Sex",477,20736,2.30034722222222
"Astro-TE NN","Age",1722,20736,8.30439814814815
"Astro-TE NN","ROI",3823,20736,18.4365354938272
"BAM NN","Sex",46,10577,0.434905927956888
"BAM NN","Age",76,10577,0.718540228798336
"BAM NN","ROI",4,10577,0.0378179067788598
"Endo NN","Sex",113,16619,0.679944641675191
"Endo NN","Age",353,16619,2.12407485408268
"Endo NN","ROI",828,16619,4.98224923280582
"Microglia NN","Sex",222,17547,1.26517353393743
"Microglia NN","Age",500,17547,2.84948994130051
"Microglia NN","ROI",1107,17547,6.30877073003932
"Oligo NN","Sex",336,17851,1.88224749313764
"Oligo NN","Age",864,17851,4.84006498235393
"Oligo NN","ROI",1170,17851,6.55425466360428
"OPC NN","Sex",213,19758,1.0780443364713
"OPC NN","Age",501,19758,2.5356817491649
"OPC NN","ROI",1181,19758,5.97732564024699
"Peri NN","Sex",64,13689,0.467528672656878
"Peri NN","Age",86,13689,0.62824165388268
"Peri NN","ROI",676,13689,4.93827160493827
"SMC NN","Sex",63,12959,0.486148622578903
"SMC NN","Age",81,12959,0.625048229030018
"SMC NN","ROI",543,12959,4.19013812794197
"VLMC NN","Sex",91,14638,0.621669626998224
"VLMC NN","Age",144,14638,0.983740948216969
"VLMC NN","ROI",531,14638,3.62754474655007
