"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,13.0441346723721,0.978,0.002,0,"F","Xist",13.0441346723721,0.997955010224949,13.0174595503428
7.08949998268562e-195,6.20753335710795,0.454,0.009,2.28884506941005e-190,"F","Tsix",6.20753335710795,0.980176211453744,6.08447652844282
1.55686056447422e-32,0.888619698092983,0.75,0.618,5.02632433240501e-28,"F","Gm47283",0.888619698092983,0.176,0.156397066864365
9.6622581427492e-17,0.779455195252032,0.565,0.426,3.11946004138658e-12,"F","Kdm6a",0.779455195252032,0.246017699115044,0.191759773699172
6.03273142405032e-16,0.6241201079009,0.668,0.542,1.94766734025465e-11,"F","Ddx3x",0.6241201079009,0.188622754491018,0.117723253885499
9.32197878811863e-16,0.580017657962451,0.779,0.686,3.0096008517441e-11,"F","AC149090.1",0.58001765796245,0.119383825417201,0.0692447268170832
3.45745298380297e-13,0.674159314912711,0.514,0.382,1.11623869582079e-08,"F","Kdm5c",0.674159314912477,0.256809338521401,0.173130407720714
9.79477643710314e-11,0.373641208143642,0.809,0.739,3.16224357271875e-06,"F","Atp5e",0.373641208107045,0.0865265760197776,0.0323298943973957
1.03594446674216e-10,0.360764701065408,0.556,0.436,3.34454671087708e-06,"F","Brd9",0.360764701028035,0.215827338129496,0.0778628851139644
1.33444437991246e-09,0.267241169868694,1,1,4.30825368054736e-05,"F","Malat1",0.267241169512075,0,0
2.51118755452302e-09,0.32279869870143,0.601,0.495,8.10736901977758e-05,"F","Ndufb1-ps",0.322798697890822,0.176372712146423,0.0569328818243379
1.20933956813637e-08,0.451222477825718,0.413,0.31,0.000390435279572826,"F","Tmem176b",0.451222472368906,0.249394673123487,0.112532481002415
1.55283524444545e-08,0.65361940338948,0.247,0.163,0.000501332858669214,"F","5530601H04Rik",0.653619393239848,0.340080971659919,0.222283518348774
2.65613168913601e-08,0.232979002133405,0.852,0.764,0.000857532115837561,"F","Gng5",0.232978995945176,0.103286384976526,0.0240635582666379
2.97498435697535e-08,0.547780909548232,0.416,0.325,0.000960473699649493,"F","Hes1",0.547780893251835,0.21875,0.119827070398839
8.25673647625651e-202,20.5833848831588,0.515,0,2.66568737135941e-197,"M","Ddx3y",20.5833848831588,1,20.5833848831588
7.08542244038672e-198,20.6042276949014,0.507,0,2.28752863487885e-193,"M","Uty",20.6042276949014,1,20.6042276949014
1.08911299959839e-185,20.41637075762,0.482,0,3.51620131920339e-181,"M","Eif2s3y",20.41637075762,1,20.41637075762
5.14584922180517e-74,9.24498643419487,0.223,0.001,1.6613374212598e-69,"M","Kdm5d",9.24498643419487,0.995515695067265,9.20352909592494
4.65949196276094e-19,0.777883057184068,0.581,0.425,1.50431698017737e-14,"M","Snap25",0.777883057184068,0.268502581755594,0.208863609157857
1.47739044522096e-07,0.221648764798655,0.391,0.301,0.00476975505239586,"M","Camk2a",0.221648732052478,0.230179028132992,0.0510188897307494
1.05131127755905e-06,14.5786636236221,0.018,0,0.0339415845959941,"M","Gm29650",14.5786482969086,1,14.5786482969086
1.64745711182674e-06,0.4150090321007,0.793,0.721,0.0531881528553262,"M","Ptprd",0.415008348391119,0.0907944514501892,0.0376804553394207
1.65159734535955e-06,0.679454480256934,0.273,0.203,0.053321820294933,"M","Ppp2r2c",0.679453358071719,0.256410256410256,0.174218809761979
2.47688593849951e-06,0.408648610209424,0.803,0.789,0.0799662625244567,"M","Cdc42bpa",0.408647598033427,0.0174346201743462,0.00712461565687172
3.25894353197646e-06,0.417903773050265,0.417,0.339,0.10521499192986,"M","Mbp",0.417902411125466,0.18705035971223,0.0781687963256268
5.82845450318477e-06,0.435409816287683,0.673,0.634,0.18817165363532,"M","St6gal1",0.435407278521378,0.0579494799405647,0.0252316253526505
9.68660988001144e-06,0.233416389022787,0.277,0.207,0.312732199976169,"M","Gas7",0.233414128009287,0.252707581227437,0.0589855197135383
1.37505486766751e-05,0.630525807582726,0.228,0.166,0.443936464026457,"M","Slain1",0.630517137506917,0.271929824561404,0.171456414585214
1.52210443775434e-05,0.495462471352363,0.226,0.163,0.49141141772899,"M","Dnajc6",0.495454929896099,0.278761061946903,0.138113542404665
