"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0.00334754081254451,14.8477824885132,0.833,0,1,"adult","Npy1r",14.7980789306572,1,14.7980789306572
0.00334754081254451,13.9537924440467,0.833,0,1,"adult","Col11a1",13.9070815543505,1,13.9070815543505
0.00334754081254451,13.2879726875984,0.833,0,1,"adult","Tubb2b",13.2434906567107,1,13.2434906567107
0.00334754081254451,12.8261086300566,0.833,0,1,"adult","Kif21a",12.7831727079514,1,12.7831727079514
0.00334754081254451,12.3988784632699,0.833,0,1,"adult","Wdr47",12.3573727115843,1,12.3573727115843
0.00334754081254451,11.7318292359934,0.833,0,1,"adult","Shld1",11.6925564588201,1,11.6925564588201
0.00334754081254451,11.7318292359934,0.833,0,1,"adult","Metap1",11.6925564588201,1,11.6925564588201
0.00303642116607699,6.00904581271436,1,0.125,1,"adult","Arhgap42",5.99079981882071,0.875,5.24194984146812
0.00659923912262274,4.57957291271576,0.833,0.125,1,"adult","Ier2",4.54935121598527,0.849939975990396,3.8666754632864
0.0038649894883343,3.5756932180662,1,0.25,1,"adult","Gls",3.56187320136487,0.75,2.67140490102365
0.00679566782594994,3.06758098378848,1,0.375,1,"adult","Sucla2",3.04673472239345,0.625,1.90420920149591
0.00215687343702923,3.06209641333563,1,0.5,1,"adult","Svil",3.05549185892009,0.5,1.52774592946004
0.0019170134510059,2.3754072052964,1,0.375,1,"adult","Rragc",2.37085351773223,0.625,1.48178344858264
0.00744822390024091,2.33795829874741,1,0.5,1,"adult","Larp4",2.32054466186892,0.5,1.16027233093446
0.0019170134510059,4.64856268715645,1,0.167,1,"aged","Rex1bd",4.63965132995733,0.833,3.86482955785446
0.00720065104490453,4.20583882968118,0.875,0.167,1,"aged","Letm2",4.17555405191753,0.809142857142857,3.37861973572299
0.00215687343702923,3.66867649618779,1,0.333,1,"aged","U2af1",3.6607636253041,0.667,2.44172933807784
0.00238805702424253,3.10733223958804,1,0.667,1,"aged","Gpatch8",3.09991175300664,0.333,1.03227061375121
0.00806224938429329,2.23100451597256,1,0.667,1,"aged","Rnasek",2.2130176011873,0.333,0.736934861195372
0.00813202189888184,2.0049286580533,1,0.833,1,"aged","Herc1",1.98862453430032,0.167,0.332100297228153
