"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
9.76105361901132e-33,1.76273436339652,0.768,0.509,3.1513561608978e-28,"adult","Csmd1",1.76273436339652,0.337239583333333,0.59446380223919
2.03801569203e-31,0.653126139001632,1,0.999,6.57973366171887e-27,"adult","Cpe",0.653126139001632,0.001,0.000653126139001632
5.87171256699213e-27,0.897611290981917,1,1,1.89568240225341e-22,"adult","mt-Nd4",0.897611290981917,0,0
1.64768447358655e-26,0.979695560350594,0.937,0.815,5.31954932297419e-22,"adult","Kcnn2",0.979695560350594,0.130202774813234,0.127559080429853
3.41483772615011e-26,0.45517804990449,1,1,1.10248035988756e-21,"adult","Slc1a2",0.45517804990449,0,0
4.84568935767885e-25,0.933155206824622,1,0.999,1.56443080912662e-20,"adult","mt-Co2",0.933155206824622,0.001,0.000933155206824623
8.12908505489808e-25,1.1070492025777,0.919,0.789,2.62447510997384e-20,"adult","Ctnna2",1.1070492025777,0.14145810663765,0.156601084151361
4.89964079071341e-24,0.886559101613813,1,0.998,1.58184902928182e-19,"adult","mt-Nd2",0.886559101613813,0.002,0.00177311820322763
6.70456277092374e-24,1.76164130535207,0.468,0.203,2.16456809059273e-19,"adult","Camk2a",1.76164130535207,0.566239316239316,0.997510568201491
7.1606662852293e-23,0.785959750657369,1,1,2.31182111018628e-18,"adult","mt-Co1",0.785959750657369,0,0
2.58015848124851e-22,0.859103126566364,1,0.999,8.33004165671083e-18,"adult","Gm42418",0.859103126566364,0.001,0.000859103126566365
3.14129819657877e-22,1.93868801840588,0.3,0.093,1.01416812276546e-17,"adult","Csmd2",1.93868801840588,0.69,1.33769473270006
3.70783748160228e-21,0.80349766767614,1,0.999,1.1970753309353e-16,"adult","mt-Atp6",0.80349766767614,0.001,0.000803497667676141
4.81009478848073e-21,1.29934119819998,0.578,0.329,1.55293910246101e-16,"adult","Zbtb16",1.29934119819998,0.430795847750865,0.559750792996185
9.09318394910886e-20,0.591264221603547,0.996,0.98,2.9357344379698e-15,"adult","Htra1",0.591264221603547,0.0160642570281125,0.00949822042736622
7.94096387546504e-61,1.84034150584851,0.861,0.532,2.56374018719389e-56,"aged","AC149090.1",1.84034150584851,0.382113821138211,0.703219924999024
9.41142892588788e-30,1.20100964764169,0.775,0.492,3.0384798287229e-25,"aged","Brinp3",1.20100964764169,0.365161290322581,0.438562232622709
1.15639320493911e-29,2.56764659542013,0.394,0.103,3.73341546214591e-25,"aged","Cped1",2.56764659542013,0.738578680203046,1.89640903367324
1.32000782033952e-28,1.90206119039426,0.573,0.287,4.26164524796615e-24,"aged","Dach1",1.90206119039426,0.49912739965096,0.949370855938497
5.58680701621755e-26,0.634075146567241,0.995,0.989,1.80370064518584e-21,"aged","Gm3764",0.634075146567241,0.00603015075376885,0.00382356872301854
1.78850844326684e-23,1.27947522051225,0.676,0.431,5.77419950908699e-19,"aged","Erbb4",1.27947522051225,0.362426035502959,0.463715131694528
1.16891417913118e-21,1.21784897499278,0.555,0.282,3.77383942732501e-17,"aged","Shroom3",1.21784897499278,0.491891891891892,0.5990500363478
1.45449164150585e-20,1.17785151023876,0.625,0.37,4.69582626460163e-16,"aged","Lrmda",1.17785151023876,0.408,0.480563416177414
2.62379369384468e-20,3.30151477725727,0.265,0.057,8.47091794057755e-16,"aged","C130073E24Rik",3.30151477725727,0.784905660377359,2.59137763648872
7.72508215411014e-20,0.416302023159172,1,1,2.49404277345446e-15,"aged","Malat1",0.416302023159172,0,0
5.54186681462352e-19,0.679259508497864,0.939,0.88,1.7891917011012e-14,"aged","Rsrp1",0.679259508497864,0.0628328008519701,0.0426797774242534
4.97771014444258e-18,0.511620008604034,1,1,1.60705372013329e-13,"aged","Pcdh9",0.511620008604034,0,0
5.32549963561457e-16,0.845141090804104,0.82,0.724,1.71933755735816e-11,"aged","Il1rapl1",0.845141090804103,0.117073170731707,0.0989433472160901
1.11096374856374e-15,1.06548338856144,0.693,0.49,3.58674646223804e-11,"aged","Pcdh11x",1.06548338856144,0.292929292929293,0.31211129563921
1.38321432817748e-14,0.398602207425656,1,0.991,4.46570745852101e-10,"aged","Macf1",0.39860220742565,0.00900000000000001,0.00358741986683085
