"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.2429368922471e-254,15.3205098302456,0.998,0.001,4.01282175661978e-250,"F","Xist",15.3205098302456,0.998997995991984,15.3051586179908
2.58427478859593e-118,6.84039171258758,0.586,0.01,8.34333115498195e-114,"F","Tsix",6.84039171258758,0.982935153583618,6.72366147858438
1.65207475975949e-17,0.436272954618861,1,1,5.3337233618835e-13,"F","Mt1",0.436272954618861,0,0
9.07478282567173e-17,0.458668084393222,0.984,0.972,2.92979363526812e-12,"F","Mt2",0.458668084393222,0.0121951219512195,0.0055935132243076
1.58154936112901e-13,0.478487930718542,0.995,0.986,5.106032112405e-09,"F","Mfge8",0.478487930718466,0.00904522613065327,0.00432803153413688
1.98238076877437e-13,0.852307577614603,0.717,0.581,6.40011631198804e-09,"F","Gm47283",0.852307577614434,0.189679218967922,0.161665035642347
4.82477895929449e-13,0.35086012311476,1,0.999,1.55767988700823e-08,"F","Mt3",0.350860123114591,0.001,0.000350860123114591
4.51094456956243e-12,0.477864802132411,0.848,0.71,1.45635845428323e-07,"F","Aplp1",0.477864802130255,0.162735849056604,0.077765734308933
3.58779856437681e-10,0.32478139557932,0.99,0.964,1.15832076650905e-05,"F","Pla2g7",0.324781395462795,0.0262626262626263,0.00852961240609362
3.10734289752105e-09,0.671855221353306,0.507,0.341,0.000100320565446467,"F","Kdm6a",0.671855219265622,0.32741617357002,0.219976265084996
4.61036054532977e-09,0.462387209591347,0.836,0.723,0.000148845490205971,"F","S100b",0.462387207459575,0.135167464114833,0.0624997062714497
5.23918199521733e-09,0.520450740012206,0.586,0.415,0.000169146990715592,"F","Brd9",0.52045073728547,0.291808873720137,0.151872143474088
8.05473399506597e-09,0.256719437587453,1,1,0.000260047087030705,"F","Malat1",0.256719435519646,0,0
1.05229289131899e-08,0.627176929282411,0.795,0.706,0.000339732759962336,"F","AC149090.1",0.627176922682673,0.111949685534591,0.0702122592688779
2.62732143282957e-07,0.478214526086278,0.8,0.701,0.00848230724589028,"F","Atp5e",0.478214400443951,0.12375,0.0591790320549389
8.49056124403159e-104,19.7229815202051,0.577,0,2.7411776976356e-99,"M","Eif2s3y",19.7229815202051,1,19.7229815202051
3.35055503962625e-100,19.6064152762317,0.561,0,1.08172669454333e-95,"M","Uty",19.6064152762317,1,19.6064152762317
4.99694400410293e-96,19.4532146438637,0.543,0,1.61326337172463e-91,"M","Ddx3y",19.4532146438637,1,19.4532146438637
6.88483158666862e-32,8.03179384894576,0.215,0.002,2.22276787775596e-27,"M","Kdm5d",8.03179384894576,0.990697674418605,7.95707948756022
5.00441407405416e-10,0.811095605460769,0.488,0.322,1.61567508380839e-05,"M","Snap25",0.811095605054864,0.340163934426229,0.275905472211286
9.99730603742588e-07,0.259877037071821,0.999,0.998,0.0322763025418294,"M","Msi2",0.259876777264793,0.001001001001001,0.000260136914178973
1.23423881811163e-05,0.384111929769556,0.927,0.9,0.39847400242734,"M","Hnrnpa2b1",0.384107188911014,0.029126213592233,0.0111875880265344
1.31969929647996e-05,0.419530231544929,0.788,0.748,0.426064917868555,"M","Fbrsl1",0.419524695007415,0.050761421319797,0.0212956697973307
1.48132034465512e-05,0.444096010225614,0.723,0.657,0.478244273271905,"M","Ccdc85a",0.444089431741065,0.0912863070539418,0.0405392842253254
0.000133871598216199,13.8152999008992,0.025,0,1,"M","Gm29650",13.8134504246216,1,13.8134504246216
0.00498723861849804,2.5315739807145,0.025,0.005,1,"M","Trdc",2.51894841719229,0.8,2.01515873375384
0.00837044524049352,2.16382462523034,0.026,0.007,1,"M","Gm49719",2.14571244969482,0.730769230769231,1.56802063631545
0.00865456044222826,2.00660069773617,0.037,0.014,1,"M","Lypd1",1.9892344507142,0.621621621621622,1.23655114503855
0.000251070597166249,1.95672372925294,0.059,0.019,1,"M","Calr3",1.95623245345775,0.677966101694915,1.32625929047983
0.000244844226663224,1.62670992156404,0.086,0.036,1,"M","Crmp1",1.62631163103129,0.581395348837209,0.945530018041448
