"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.91404674536766e-18,0.921713910559903,1,0.993,6.17949991741948e-14,"adult","Gm42418",0.921713910559903,0.00700000000000001,0.00645199737391933
1.37484583425644e-10,1.87152108845108,0.345,0.103,4.43868977589691e-06,"adult","Ano3",1.87152108819378,0.701449275362319,1.31277711113882
1.6524717981897e-09,0.834200081769273,0.977,0.928,5.33500520045543e-05,"adult","Gpc6",0.834200080390781,0.0501535312180143,0.041838079773949
5.02735213991983e-09,0.712374250393205,1,0.986,0.000162308063837312,"adult","Sema6d",0.712374246811849,0.014,0.0099732394553659
1.04330948779564e-07,1.21550217478376,0.609,0.403,0.00336832468134823,"adult","Gria1",1.21550204796926,0.338259441707717,0.41115504414067
1.1170557143366e-06,0.53421407962394,0.971,0.928,0.0360641437373571,"adult","Emid1",0.53421348287705,0.0442842430484036,0.0236572397154615
1.22769886679403e-06,0.735919524926345,0.954,0.907,0.0396362579144454,"adult","Plppr1",0.735918621438778,0.0492662473794549,0.0362559488549502
1.83658070710149e-06,0.583075689821742,0.983,0.907,0.0592940081287716,"adult","Ptprk",0.583074618956179,0.0773143438453713,0.0450800315774869
2.04778480978728e-06,2.06118253927388,0.247,0.086,0.0661127325839823,"adult","Sfmbt2",2.06117831841559,0.651821862348178,1.34352109014133
2.31413815718501e-06,0.535475304250152,0.983,0.99,0.0747119504047179,"adult","Ptprg",0.535474065086318,0.00707070707070708,0.00378618025818609
2.42442983897553e-06,14.0153650924906,0.075,0,0.0782727173513251,"adult","Gpx8",14.0153311132213,1,14.0153311132213
2.56653813617487e-06,5.58497404038498,0.103,0.01,0.0828606837264056,"adult","Col19a1",5.58495970633611,0.902912621359223,5.04273060863358
2.74307831192337e-06,0.502463181926068,1,0.976,0.0885602833004459,"adult","Prkcb",0.502461803630211,0.024,0.0120590832871251
3.05777689525924e-06,0.697125675006014,0.925,0.862,0.0987203270634445,"adult","Fth1",0.697123543351231,0.0681081081081082,0.0474797656552731
3.32992459403581e-06,1.39583077991294,0.23,0.076,0.107506615518446,"adult","Pcnx2",1.3958261319017,0.669565217391304,0.934596627447224
1.4614927995894e-17,2.3803879743646,0.669,0.293,4.71842950347437e-13,"aged","Ebf1",2.3803879743646,0.56203288490284,1.33785632042017
7.27064354892261e-15,1.69882205117704,0.759,0.431,2.34732726976966e-10,"aged","C130073E24Rik",1.69882205117703,0.432147562582345,0.734141808677292
3.29789392057049e-12,0.755092154624585,1,0.948,1.06472505225618e-07,"aged","Ralyl",0.755092154622094,0.052,0.0392647920403489
6.41183792185927e-12,2.06956589262611,0.531,0.23,2.07006187307226e-07,"aged","Maf",2.06956589261284,0.566854990583804,1.17314375456961
3.24677999802105e-11,1.08102303129655,0.81,0.511,1.04822292236109e-06,"aged","Nr6a1",1.08102303126145,0.369135802469136,0.399044304132314
1.34096124969806e-09,1.73834298090588,0.524,0.259,4.3292933946502e-05,"aged","Tubb3",1.73834297857483,0.505725190839695,0.879123834584601
3.55417612629222e-09,1.81171423861431,0.424,0.161,0.000114746576237344,"aged","Pcdhb9",1.81171423217516,0.620283018867925,1.12377557325959
4.58130001954579e-09,1.1659599088508,0.524,0.259,0.000147907271131036,"aged","Tenm3",1.16595990350919,0.505725190839695,0.589655294713615
1.74779586789345e-08,1.3649939884735,0.49,0.247,0.0005642758959494,"aged","Rhoj",1.36499396461619,0.495918367346939,0.676925578370885
4.6599296094338e-08,2.4951521308205,0.255,0.052,0.0015044582744057,"aged","Pcdhb3",2.49515201454816,0.796078431372549,1.98633670177756
2.26823161403546e-07,4.47784410378886,0.166,0.011,0.00732298576591348,"aged","Samd9l",4.47784308811011,0.933734939759036,4.18111854612691
2.63666672576893e-07,0.835635039602067,0.883,0.764,0.008512478524145,"aged","Nap1l5",0.835634819272957,0.134767836919592,0.112616697048111
2.93135508049867e-07,1.66355628693734,0.438,0.218,0.00946387987738995,"aged","Gng11",1.66355579928992,0.502283105022831,0.835575972246077
3.20826708685569e-07,1.26222599051199,0.8,0.747,0.0103578902899136,"aged","Plp1",1.26222558555618,0.0662500000000001,0.083622445043097
5.09490478388748e-07,0.613952364036628,0.917,0.851,0.0164489000947807,"aged","Etv5",0.613952051233744,0.0719738276990186,0.0441884791509565
