"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
3.41577653110948e-20,0.622498638538133,1,1,1.1027834530687e-15,"adult","Plp1",0.622498638538133,0,0
1.10655481396148e-14,0.838714854302241,0.978,0.99,3.57251221687462e-10,"adult","Cldn11",0.838714854302232,0.0121212121212121,0.0101662406582089
1.21143647727677e-11,0.432441763250097,1,1,3.91112266688805e-07,"adult","Syt11",0.432441763244858,0,0
5.30887934363897e-11,0.530951378745929,1,1,1.71397169609384e-06,"adult","Malat1",0.530951378717741,0,0
9.29614694219986e-11,1.21585796785648,0.822,0.546,3.00126104028923e-06,"adult","Dcc",1.21585796774345,0.335766423357664,0.408244281140137
3.62237583639394e-10,1.04533439083399,0.817,0.556,1.16948403877978e-05,"adult","Gsn",1.04533439045533,0.319461444308445,0.333944034160149
1.02149982586893e-09,0.439980082304709,1,0.99,3.29791218781783e-05,"adult","Gm42418",0.43998008185527,0.01,0.0043998008185527
2.88723283496237e-09,2.62831518446962,0.25,0.039,9.321431207676e-05,"adult","Slc9a3r2",2.62831517688106,0.844,2.21829800928762
3.1721460490929e-09,0.518877174511847,1,1,0.000102412735194964,"adult","Dock10",0.518877172865892,0,0
4.38072982953092e-09,0.678196868961962,0.989,1,0.000141431862546406,"adult","Tspan2",0.678196865990965,0.011,0.00746016552590062
7.6105844621416e-09,0.635357299926971,0.944,0.971,0.000245707719360242,"adult","Mobp",0.635357295091531,0.0278063851699279,0.0176669896678387
1.99025374871614e-08,1.89829737384218,0.561,0.266,0.000642553422773006,"adult","Tmem163",1.89829733606124,0.525846702317291,0.998213394185501
2.66542911496464e-08,0.611551872784997,1,0.995,0.000860533789766333,"adult","Tmeff2",0.611551856484515,0.005,0.00305775928242258
3.28491922976972e-08,0.694618075303101,0.928,0.971,0.00106053617333116,"adult","Mal",0.694618052485458,0.0442842430484036,0.0307606346620748
4.3593889199984e-08,1.79190204385767,0.278,0.068,0.00140742871282148,"adult","Kank1",1.79190196574169,0.755395683453237,1.35359501009264
4.51044078807358e-23,2.08303545435282,0.845,0.478,1.45619580842956e-18,"aged","Abca8a",2.08303545435282,0.434319526627219,0.904702972482232
9.27543525681337e-21,1.60549434812419,0.942,0.756,2.9945742726622e-16,"aged","Neat1",1.60549434812419,0.197452229299363,0.317008438164648
2.43128299007862e-19,0.737719687627372,1,1,7.84939713346884e-15,"aged","Gatm",0.737719687627372,0,0
1.82892998515461e-18,1.21661377836918,0.957,0.789,5.90470045707166e-14,"aged","Il33",1.21661377836918,0.175548589341693,0.213574832566377
9.69361243970345e-18,1.93068454492043,0.72,0.372,3.12958277615826e-13,"aged","Dpyd",1.93068454492043,0.483333333333333,0.93316419671154
6.84206074846747e-17,4.20611814522115,0.401,0.044,2.20895931264272e-12,"aged","9330199G10Rik",4.20611814522115,0.890274314214464,3.74459894724177
1.49229168993131e-15,1.3754065685383,0.908,0.733,4.81786372094324e-11,"aged","Spock3",1.3754065685383,0.19273127753304,0.265083865081721
1.64830457877287e-14,2.37099732676143,0.623,0.328,5.3215513325682e-10,"aged","Snca",2.37099732676139,0.473515248796148,1.12270338907642
2.37299583900106e-14,3.50924611532901,0.382,0.056,7.66121706621494e-10,"aged","Itgb5",3.50924611532892,0.853403141361257,2.99480165863149
7.69443367017325e-14,4.68256396420057,0.391,0.083,2.48414791041543e-09,"aged","Cdh8",4.68256396420021,0.78772378516624,3.68856701016282
2.07003920596023e-12,2.41687442616353,0.657,0.417,6.6831215764426e-08,"aged","Robo1",2.41687442615852,0.365296803652968,0.88287650270631
3.96273342928268e-11,4.6657971450622,0.295,0.044,1.27936848764391e-06,"aged","Eya4",4.66579714487731,0.850847457627119,3.96988163852273
1.04498340660166e-10,1.03318625208877,0.937,0.833,3.37372892821346e-06,"aged","March1",1.0331862519808,0.110992529348986,0.114675955395948
3.18295781674679e-10,0.443341356919433,1,1,1.0276179311367e-05,"aged","mt-Co3",0.443341356778319,0,0
1.57575872840868e-09,0.882470296776495,0.942,0.944,5.08733705466741e-05,"aged","Calm2",0.882470295385934,0.00211864406779661,0.00186964045632613
