"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
4.40220947016795e-72,22.0587345998931,0.922,0,1.42125332744372e-67,"F","Xist",22.0587345998931,1,22.0587345998931
8.81099292407076e-19,7.59827017498918,0.298,0.004,2.84462906553624e-14,"F","Tsix",7.59827017498918,0.986577181208054,7.49627997129805
8.86668797423574e-09,0.443465201288401,1,1,0.000286261021248201,"F","Malat1",0.443465197356333,0,0
5.94840166050249e-06,0.898401237820717,0.27,0.089,0.192044147609323,"F","Tsr3",0.898395893769302,0.67037037037037,0.602257988045347
8.99625819464161e-06,0.479390581973556,0.872,0.671,0.290444195814004,"F","Atp5g2",0.479386269252104,0.230504587155963,0.110500734082194
0.00301239544168724,13.0148682600192,0.035,0,1,"F","Pcdhb5",12.9756623301986,1,12.9756623301986
0.00301239544168724,12.5892096112972,0.035,0,1,"F","Gm49871",12.5512859336497,1,12.5512859336497
0.00806554746071354,12.583437836952,0.028,0,1,"F","Gm32061",12.4819455218591,1,12.4819455218591
0.00301239544168724,12.5791041182829,0.035,0,1,"F","2010109A12Rik",12.5412108823765,1,12.5412108823765
0.00113685115926477,12.542274580788,0.043,0,1,"F","Gm15513",12.528015881391,1,12.528015881391
0.00806554746071354,12.5391249823543,0.028,0,1,"F","Tspyl3",12.4379900746933,1,12.4379900746933
0.00806554746071354,12.514119482911,0.028,0,1,"F","Stk26",12.4131862582925,1,12.4131862582925
0.00806554746071354,12.4999844842426,0.028,0,1,"F","Gm35040",12.3991652661268,1,12.3991652661268
0.00301239544168724,12.4627466925935,0.035,0,1,"F","Gm28153",12.4252039712659,1,12.4252039712659
0.00113685115926477,12.418336212676,0.043,0,1,"F","9330102E08Rik",12.4042184127565,1,12.4042184127565
1.18529595353445e-28,17.0851086159401,0.589,0,3.82672798598598e-24,"M","Ddx3y",17.0851086159401,1,17.0851086159401
7.74312511514891e-25,16.8986182405594,0.528,0,2.49986794342582e-20,"M","Eif2s3y",16.8986182405594,1,16.8986182405594
1.10625677096733e-22,16.7544757270207,0.492,0,3.57154998506801e-18,"M","Uty",16.7544757270207,1,16.7544757270207
1.65661515461263e-12,15.578308874983,0.293,0,5.34838202666689e-08,"M","Kdm5d",15.5783088749572,1,15.5783088749572
0.00809097374819773,3.24130490560808,0.077,0.014,1,"M","Gm36198",3.2150795927069,0.818181818181818,2.63051966676019
0.0054691115914974,3.22821290393921,0.069,0.007,1,"M","Mapk4",3.21055744732645,0.898550724637681,2.88484872078609
0.00779828502035954,2.89280557907724,0.065,0.007,1,"M","Tamm41",2.87024665666311,0.892307692307692,2.56114317056093
0.00634885416570299,2.65805877103538,0.163,0.071,1,"M","Cpne7",2.64118314353421,0.564417177914111,1.4907291362279
0.00621330321611755,2.52551029225895,0.093,0.021,1,"M","1700123M08Rik",2.50981853103772,0.774193548387097,1.94308531435178
0.00668499682694971,2.23004812642671,0.171,0.078,1,"M","Qars",2.2151402617776,0.543859649122807,1.20472540552817
0.00737256289555584,1.89636140983362,0.114,0.035,1,"M","Hyal1",1.88238036606692,0.692982456140351,1.30445656946743
0.00828624498647936,1.89248016028096,0.264,0.156,1,"M","5033421B08Rik",1.87679860604082,0.409090909090909,0.76778124792579
0.00575373503959996,1.68718684146424,0.159,0.064,1,"M","Rbms1",1.67747921541615,0.59748427672956,1.00226745575179
0.00393507872801916,1.21941835295219,0.439,0.312,1,"M","Bhlhe41",1.21461984573093,0.289293849658314,0.351382051042888
0.00296901575404537,1.17426459548673,0.337,0.213,1,"M","Sspn",1.17077818540331,0.367952522255193,0.430790786320507
