"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0.00756674638341978,15.9945746982259,0.176,0,1,"ENT","Ntng1",15.8735478079738,1,15.8735478079738
0.000377951708997904,15.1606353631697,0.294,0,1,"ENT","Nolc1",15.1549053751247,1,15.1549053751247
0.000816180927780379,14.930544455856,0.265,0,1,"ENT","Col23a1",14.9183584302298,1,14.9183584302298
0.00756674638341978,14.8863307342678,0.176,0,1,"ENT","Nol4",14.7736896450219,1,14.7736896450219
0.00364507777192917,14.8066878654685,0.206,0,1,"ENT","Zfp414",14.7527163366542,1,14.7527163366542
0.00756674638341978,14.4181446563565,0.176,0,1,"ENT","Aldh3a2",14.3090462124224,1,14.3090462124224
0.00364507777192917,14.2823287269018,0.206,0,1,"ENT","Tmem230",14.230268527928,1,14.230268527928
0.00736745728335471,4.52009328547585,0.235,0.026,1,"ENT","Fundc2",4.48679169127832,0.88936170212766,3.99038069564753
0.000309089209588239,4.29817968818849,0.353,0.026,1,"ENT","P3h3",4.296851167226,0.926345609065156,3.9803692115663
0.00226904879020616,3.95340578640506,0.324,0.053,1,"ENT","Clcc1",3.94443531578823,0.83641975308642,3.29920361289694
0.00171775662285084,3.88288608286214,0.294,0.026,1,"ENT","Gm36279",3.87621622957753,0.91156462585034,3.53342159702986
0.00781105390295557,3.78375364223947,0.235,0.026,1,"ENT","Fig4",3.75419853858443,0.88936170212766,3.33884040240062
0.00694659386298296,3.75104492693412,0.235,0.026,1,"ENT","Ube2a",3.7249879412649,0.88936170212766,3.31286161584836
0.00557717715704539,3.62127337636212,0.294,0.053,1,"ENT","Rbm7",3.60107689320805,0.819727891156463,2.9519031675617
0.00809373837843277,3.48645954130618,0.412,0.184,1,"ENT","Zfp36",3.45824104991186,0.553398058252427,1.91378388199006
1.28960690113456e-09,4.26126797625795,0.75,0.015,4.16349588031291e-05,"HIP","Dok4",4.26126797076259,0.98,4.17604261134734
3.91803365845941e-08,4.8886456559761,0.75,0.029,0.00126493716663362,"HIP","AI837181",4.88864546443732,0.961333333333333,4.69961783981241
1.42956617579634e-06,3.08525434324063,0.75,0.044,0.046153543985585,"HIP","Nol9",3.08524993266538,0.941333333333333,2.90424860328235
2.33928086861982e-06,5.55404347464139,0.5,0.015,0.0755236828433908,"HIP","Lrfn4",5.55403048217375,0.97,5.38740956770854
3.3087909589833e-06,6.1876762628189,0.5,0.015,0.106824316110776,"HIP","Ears2",6.18765578909163,0.97,6.00202611541888
3.3087909589833e-06,5.33119793365769,0.5,0.015,0.106824316110776,"HIP","Ccdc163",5.33118029383817,0.97,5.17124488502302
4.65744213121463e-06,4.82872090076874,0.5,0.015,0.150365519206264,"HIP","Twnk",4.82869841128058,0.97,4.68383745894216
4.65744213121463e-06,4.29548814121531,0.5,0.015,0.150365519206264,"HIP","Harbi1",4.29546813522786,0.97,4.16660409117103
2.28285831348745e-05,4.65647936623619,0.75,0.074,0.737020806509424,"HIP","Anxa11",4.65637306540986,0.901333333333333,4.19694425628942
4.85558317661337e-05,17.3978330876783,0.25,0,1,"HIP","Creb3l1",17.3969883214218,1,17.3969883214218
4.85558317661337e-05,17.3386421626961,0.25,0,1,"HIP","Parp1",17.3378002705042,1,17.3378002705042
4.85558317661337e-05,17.3386421626961,0.25,0,1,"HIP","Gm13883",17.3378002705042,1,17.3378002705042
4.85558317661337e-05,17.3386421626961,0.25,0,1,"HIP","Grip2",17.3378002705042,1,17.3378002705042
4.85558317661337e-05,17.3386421626961,0.25,0,1,"HIP","Zfp619",17.3378002705042,1,17.3378002705042
4.85558317661337e-05,17.3386421626961,0.25,0,1,"HIP","Fank1",17.3378002705042,1,17.3378002705042
