"Subclass","Variable","Count","Avg_NonZero_Genes","Union_NonZero_Genes","Avg_Normalized_Count","Union_Normalized_Count"
"ABC NN","Sex",17,4158.5,12102,0.408801250450884,0.140472649148901
"ABC NN","Age",20,4158.5,12102,0.480942647589275,0.165261940175178
"Astro-TE NN","Sex",477,3232.30498084291,20736,14.757270827693,2.30034722222222
"Astro-TE NN","Age",1722,3232.30498084291,20736,53.2746758182126,8.30439814814815
"Astro-TE NN","ROI",3823,3232.30498084291,20736,118.274730344383,18.4365354938272
"BAM NN","Sex",46,3329.26666666667,10577,1.38168565650093,0.434905927956888
"BAM NN","Age",76,3329.26666666667,10577,2.28278499769719,0.718540228798336
"BAM NN","ROI",4,3329.26666666667,10577,0.120146578826168,0.0378179067788598
"Endo NN","Sex",113,2900.0431372549,16619,3.89649376412251,0.679944641675191
"Endo NN","Age",353,2900.0431372549,16619,12.1722327321703,2.12407485408268
"Endo NN","ROI",828,2900.0431372549,16619,28.5512994397649,4.98224923280582
"Microglia NN","Sex",222,2721.05714285714,17547,8.15859382382897,1.26517353393743
"Microglia NN","Age",500,2721.05714285714,17547,18.3752113149301,2.84948994130051
"Microglia NN","ROI",1107,2721.05714285714,17547,40.6827178512553,6.30877073003932
"Oligo NN","Sex",336,3583.33850129199,17851,9.37673066272845,1.88224749313764
"Oligo NN","Age",864,3583.33850129199,17851,24.1115931327303,4.84006498235393
"Oligo NN","ROI",1170,3583.33850129199,17851,32.6511157005723,6.55425466360428
"OPC NN","Sex",213,4346.51293103448,19758,4.90048007171821,1.0780443364713
"OPC NN","Age",501,4346.51293103448,19758,11.5264812954499,2.5356817491649
"OPC NN","ROI",1181,4346.51293103448,19758,27.1712064070385,5.97732564024699
"Peri NN","Sex",64,2347.40277777778,13689,2.72641749451226,0.467528672656878
"Peri NN","Age",86,2347.40277777778,13689,3.66362350825084,0.62824165388268
"Peri NN","ROI",676,2347.40277777778,13689,28.7977847857857,4.93827160493827
"SMC NN","Sex",63,2698.25531914894,12959,2.33484205712123,0.486148622578903
"SMC NN","Age",81,2698.25531914894,12959,3.00193978772729,0.625048229030018
"SMC NN","ROI",543,2698.25531914894,12959,20.124114873283,4.19013812794197
"VLMC NN","Sex",91,3562.83333333333,14638,2.55414698039949,0.621669626998224
"VLMC NN","Age",144,3562.83333333333,14638,4.04172708986294,0.983740948216969
"VLMC NN","ROI",531,3562.83333333333,14638,14.9038686438696,3.62754474655007
