"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.02024142821356e-70,0.692947247689606,1,0.993,3.29384945098748e-66,"adult","Gm42418",0.692947247689606,0.00700000000000001,0.00485063073382725
4.50848313447974e-36,1.2846094415478,0.492,0.263,1.45556377996678e-31,"adult","Camk2a",1.2846094415478,0.465447154471545,0.597917809175702
1.41037402204624e-31,1.22388299486109,0.518,0.322,4.55339253017628e-27,"adult","Zbtb16",1.22388299486109,0.378378378378378,0.463090862920411
3.82543935882224e-20,0.478526923193808,0.997,0.996,1.23504309699576e-15,"adult","mt-Nd4",0.478526923193808,0.00100300902708124,0.000479966823664803
1.26838147013964e-18,0.612179900532853,0.112,0.248,4.09496957634582e-14,"adult","Cped1",0.612179900532853,0.548387096774194,0.335711558356726
1.32288165507133e-18,0.5141162577291,0.998,0.999,4.27092342339779e-14,"adult","mt-Co2",0.5141162577291,0.001001001001001,0.000514630888617718
1.97542189605615e-16,0.990241719757862,0.207,0.099,6.37764959141729e-12,"adult","Ddn",0.990241719757862,0.521739130434783,0.516647853786711
1.91748348336787e-15,0.564739423303799,0.999,0.996,6.19059542605318e-11,"adult","mt-Nd2",0.564739423303797,0.00300300300300301,0.00169591418409549
1.96326092248259e-15,0.354856925865715,0.999,0.999,6.33838788823505e-11,"adult","mt-Co1",0.354856925865714,0,0
7.26952567434409e-15,0.896941559968239,0.327,0.2,2.34696636396199e-10,"adult","Shank1",0.896941559968232,0.388379204892966,0.348353449895919
3.17906048326614e-14,0.232390548352781,0.819,0.724,1.02635967702247e-09,"adult","AY036118",0.232390548352773,0.115995115995116,0.0269561686123485
5.12969215647479e-14,1.14093994387854,0.263,0.151,1.65612111271789e-09,"adult","Mobp",1.14093994387848,0.425855513307985,0.485875565453952
1.02345210341487e-13,0.479992995844043,0.464,0.332,3.30421511587491e-09,"adult","Mbp",0.479992995843994,0.28448275862069,0.136549731576309
5.62439981694055e-13,1.09815367832133,0.252,0.148,1.81583748089926e-08,"adult","Jph4",1.09815367832071,0.412698412698413,0.45320627994188
5.82056071377493e-13,0.911749346048664,0.239,0.137,1.87916802644224e-08,"adult","Sptbn2",0.911749346048133,0.426778242677824,0.389114783669078
1.47472803432345e-49,0.871780601941355,0.801,0.608,4.76115945881325e-45,"aged","AC149090.1",0.871780601941355,0.240948813982522,0.210054502090738
2.69482980979327e-26,2.25099978223468,0.249,0.098,8.70025804091756e-22,"aged","C130073E24Rik",2.25099978223468,0.606425702811245,1.36506412496963
2.17816672037412e-23,0.669332830102723,0.606,0.42,7.03221125672784e-19,"aged","Lrmda",0.669332830102723,0.306930693069307,0.20543878943747
6.01534950562151e-19,0.848054942226028,0.404,0.252,1.94205558788991e-14,"aged","Dach1",0.848054942226028,0.376237623762376,0.31907017628306
6.2098404328607e-17,0.924811465604247,0.351,0.212,2.00484698374908e-12,"aged","3222401L13Rik",0.924811465604247,0.396011396011396,0.366235879541283
1.59392101914089e-16,1.00744774537037,0.28,0.152,5.14597401029637e-12,"aged","Shroom3",1.00744774537037,0.457142857142857,0.460547540740742
1.61862987219501e-15,0.781764896885759,0.68,0.597,5.2257465423816e-11,"aged","Gm3764",0.781764896885758,0.122058823529412,0.0954213035904676
1.93075628301623e-14,1.98149038885071,0.142,0.055,6.23344665971791e-10,"aged","Gm7967",1.98149038885067,0.612676056338028,1.21401171711273
4.41053417400298e-14,1.76595185644952,0.157,0.065,1.42394095807686e-09,"aged","Nat8f3",1.76595185644944,0.585987261146497,1.03482529167738
5.38717354564707e-14,0.842600845633006,0.561,0.456,1.73924897921216e-09,"aged","Gm35188",0.842600845632961,0.18716577540107,0.15770604062649
8.0383265423209e-14,1.72590362830658,0.168,0.074,2.5951737241883e-09,"aged","C4b",1.72590362830644,0.55952380952381,0.965684172980986
2.05438293930395e-13,2.35434721726575,0.081,0.017,6.63257531954281e-09,"aged","Hs3st3a1",2.35434721726527,0.790123456790123,1.86022496178984
2.59531835070851e-13,0.188599182947403,0.544,0.4,8.37898529526244e-09,"aged","Brinp3",0.188599182947354,0.264705882352941,0.0499233131331231
3.62330773933055e-13,0.56817034943346,0.715,0.637,1.16978490364287e-08,"aged","Nr3c2",0.568170349433254,0.109090909090909,0.0619822199381732
1.27604351356102e-11,0.864064321616029,0.514,0.423,4.11970648353175e-07,"aged","Gm20713",0.864064321605003,0.17704280155642,0.152976368221897
