"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
9.41239760866254e-58,1.33827673035393,0.911,0.594,3.0387925679567e-53,"ENT","Tox",1.33827673035393,0.347969264544457,0.465679169618216
9.20927343763772e-57,1.1489652995929,0.991,0.911,2.97321392934134e-52,"ENT","Trim9",1.1489652995929,0.0807265388496468,0.092751991894482
6.18349212557564e-54,0.983500491323948,1,0.991,1.99634043274209e-49,"ENT","Frmd4a",0.983500491323948,0.00900000000000001,0.00885150442191554
3.99458826306278e-50,1.94744782322481,0.686,0.304,1.28965282072982e-45,"ENT","Gabbr2",1.94744782322481,0.556851311953353,1.08443887532344
4.53619906024632e-50,0.682741664574843,1,0.994,1.46451186660052e-45,"ENT","Macf1",0.682741664574843,0.00600000000000001,0.00409644998744906
1.0340864799116e-49,0.66794604807248,1,1,3.33854820039459e-45,"ENT","Ntm",0.66794604807248,0,0
5.38236489033971e-44,1.02817049047216,0.96,0.76,1.73769650484617e-39,"ENT","Fgf14",1.02817049047216,0.208333333333333,0.214202185515034
2.2959712198683e-43,1.07125800788963,0.911,0.663,7.41254308334481e-39,"ENT","Il1rapl1",1.07125800788963,0.272228320526893,0.291626768338779
1.21697446589694e-40,0.837671959050503,0.985,0.942,3.92900206314828e-36,"ENT","Lrp1b",0.837671959050503,0.0436548223350254,0.0365684205473824
3.280278752447e-38,0.928682821072581,0.945,0.768,1.05903799522751e-33,"ENT","Meis2",0.928682821072581,0.187301587301587,0.17394376648661
2.01240405447961e-34,0.584930669717172,0.998,0.998,6.49704648988742e-30,"ENT","Msi2",0.584930669717172,0,0
9.0817855298043e-33,0.774215566949595,0.997,0.983,2.93205445829732e-28,"ENT","Pbx1",0.774215566949595,0.0140421263791374,0.0108716328358017
9.49072153925808e-33,0.712980403340818,0.988,0.989,3.06407944894947e-28,"ENT","Cadm1",0.712980403340818,0.00101112234580384,0.000720910417938139
1.33451282502733e-32,1.34695209761693,0.7,0.389,4.30847465560074e-28,"ENT","Ptchd4",1.34695209761693,0.444285714285714,0.598431574798381
4.03635955220743e-32,1.01361998038896,0.862,0.612,1.30313868143017e-27,"ENT","Rgs7",1.01361998038896,0.290023201856148,0.293973312177773
7.75938538773426e-20,1.41198182744903,1,0.994,2.50511757243001e-15,"HIP","Fth1",1.41198182744903,0.00600000000000001,0.00847189096469421
2.12833874260543e-17,1.37167228492561,0.557,0.199,6.87134163050163e-13,"HIP","Mbp",1.37167228492561,0.642728904847397,0.881613425499762
1.07150402673435e-15,1.05400714469138,1,0.999,3.45935075031185e-11,"HIP","Mt3",1.05400714469137,0.001,0.00105400714469138
2.9513264430783e-15,1.62538277323462,0.989,0.928,9.52835742147828e-11,"HIP","mt-Nd4l",1.62538277323462,0.0616784630940343,0.100251111392631
1.14910210923199e-14,2.37169960881466,0.625,0.272,3.70987615965548e-10,"HIP","Camk2a",2.37169960881463,0.5648,1.3395359390585
1.22005023549606e-14,5.25234984920843,0.068,0.002,3.93893218529903e-10,"HIP","C1ql2",5.25234984920836,0.970588235294118,5.09786897129047
1.77012369305009e-14,1.10599390246927,1,0.954,5.71484434301221e-10,"HIP","mt-Nd5",1.10599390246925,0.046,0.0508757195135854
3.15339483627698e-13,1.47346092457914,0.943,0.872,1.01807352289202e-08,"HIP","Rps24",1.47346092457868,0.0752916224814422,0.110939263674534
4.55706700729124e-13,1.02982948236555,0.977,0.918,1.47124908330398e-08,"HIP","Calm1",1.02982948236508,0.0603889457523029,0.0621903167446672
1.08135458385569e-12,1.05990621477652,1,0.998,3.49115327397808e-08,"HIP","mt-Cytb",1.05990621477537,0.002,0.00211981242955075
1.10832529418521e-12,2.52308982984507,0.375,0.117,3.57822821227695e-08,"HIP","Ddn",2.52308982984228,0.688,1.73588580293149
1.46564785740324e-12,0.968369768584587,1,1,4.73184410762635e-08,"HIP","mt-Nd4",0.968369768583168,0,0
3.58911667253866e-12,0.999950989455968,1,0.999,1.15874631772911e-07,"HIP","mt-Co2",0.999950989452379,0.001,0.00099995098945238
4.86620143269784e-12,1.00334240925852,1,1,1.5710531325465e-07,"HIP","mt-Co1",1.00334240925364,0,0
1.44940632184268e-11,2.21483487958427,0.352,0.107,4.67940831006908e-07,"HIP","Psd",2.21483487955217,0.696022727272727,1.54157541332466
8.43597417135204e-45,1.28492096389393,1,0.999,2.72355426122101e-40,"HIP - CA","Mt3",1.28492096389393,0.001,0.00128492096389394
1.29968795705662e-36,1.32870487786381,1,1,4.1960425693573e-32,"HIP - CA","Mt1",1.32870487786381,0,0
1.51015723624317e-36,1.20363832313759,1,0.99,4.87554263721106e-32,"HIP - CA","mt-Nd3",1.20363832313759,0.01,0.0120363832313759
1.31946787548203e-34,1.86515184785413,0.583,0.221,4.25990203599374e-30,"HIP - CA","Cd38",1.86515184785413,0.620926243567753,1.15812173057152
2.3640590585715e-34,2.96975051880052,0.38,0.087,7.63236467059808e-30,"HIP - CA","Hpca",2.96975051880052,0.771052631578947,2.28983395265408
1.6858646159455e-32,1.19356033054602,1,0.992,5.44281391258005e-28,"HIP - CA","mt-Nd1",1.19356033054602,0.00800000000000001,0.00954848264436816
2.82373159865105e-31,0.979418047168618,1,0.998,9.11641746624493e-27,"HIP - CA","mt-Nd2",0.979418047168618,0.002,0.00195883609433724
7.38861980462892e-30,0.943664355284415,1,1,2.38541590392445e-25,"HIP - CA","mt-Nd4",0.943664355284415,0,0
9.60998822354589e-30,1.13116998142331,0.988,0.947,3.10258469797179e-25,"HIP - CA","Gstm1",1.13116998142331,0.0414979757085021,0.046941264411291
7.64061217497894e-28,1.36506896514726,0.983,0.976,2.46677164069195e-23,"HIP - CA","Mt2",1.36506896514726,0.00712105798575789,0.00972073525537213
2.29828532894371e-27,0.96437706954362,1,0.997,7.42001418449476e-23,"HIP - CA","Aldoc",0.96437706954362,0.003,0.00289313120863086
5.43230458324705e-27,1.07652146045173,0.979,0.908,1.75381953470131e-22,"HIP - CA","Cd81",1.07652146045173,0.0725229826353421,0.078072547182914
2.34875136989333e-26,0.791820056369158,1,0.999,7.58294379770061e-22,"HIP - CA","mt-Atp6",0.791820056369158,0.001,0.000791820056369158
3.50482789323552e-26,0.694672285701742,1,1,1.13153368533109e-21,"HIP - CA","Apoe",0.694672285701742,0,0
5.42338002272515e-26,0.935550930054024,0.798,0.502,1.75093824033682e-21,"HIP - CA","Gfap",0.935550930054024,0.370927318295739,0.347021397614024
1.31434039784772e-20,1.51878270172327,0.797,0.645,4.24334797445137e-16,"PAR-POST-PRE-SUB-ProS","Meg3",1.51878270172327,0.190715181932246,0.289654919274702
2.37994899250928e-12,1.35279401689991,0.486,0.312,7.68366532231621e-08,"PAR-POST-PRE-SUB-ProS","Tenm2",1.35279401689669,0.358024691358025,0.484333660370419
4.86438676443469e-12,0.352008957968209,1,1,1.57046726689774e-07,"PAR-POST-PRE-SUB-ProS","Zbtb20",0.352008957966497,0,0
3.90636419591836e-10,0.686317434513434,0.64,0.485,1.26116968065224e-05,"PAR-POST-PRE-SUB-ProS","Bcar3",0.686317434245333,0.2421875,0.166217503606292
9.11108364073332e-10,1.29352391684362,0.277,0.136,2.94151335341075e-05,"PAR-POST-PRE-SUB-ProS","Ralyl",1.29352391566508,0.509025270758123,0.658436361403525
1.05695115095027e-09,1.49751606186058,0.246,0.111,3.41236679084294e-05,"PAR-POST-PRE-SUB-ProS","Sgcz",1.49751606027778,0.548780487804878,0.821807594054877
1.50726347147102e-09,0.623217443821366,0.923,0.892,4.86620011764419e-05,"PAR-POST-PRE-SUB-ProS","Tmcc1",0.623217442882013,0.0335861321776815,0.020931463412072
1.77457467977874e-09,1.16482606214679,0.575,0.414,5.72921435366567e-05,"PAR-POST-PRE-SUB-ProS","Kcnq3",1.16482606007972,0.28,0.326151296822322
2.01367281096894e-09,1.79131955531139,0.157,0.055,6.50114267021324e-05,"PAR-POST-PRE-SUB-ProS","Cntn4",1.79131955170426,0.64968152866242,1.1637872246741
2.75820814071171e-09,2.03121973935019,0.132,0.041,8.90487498228775e-05,"PAR-POST-PRE-SUB-ProS","Zmat4",2.03121973374766,0.689393939393939,1.40031057402301
6.79814386477853e-09,1.05868481826091,0.351,0.208,0.000219478074674375,"PAR-POST-PRE-SUB-ProS","Lrrtm4",1.05868481106382,0.407407407407407,0.431316034137112
2.51846568993678e-08,1.26834268703437,0.477,0.337,0.000813086647996089,"PAR-POST-PRE-SUB-ProS","Rbfox1",1.2683426550916,0.293501048218029,0.372259898769022
3.25898333009873e-08,2.01382553770351,0.262,0.14,0.00105216276812237,"PAR-POST-PRE-SUB-ProS","Unc13c",2.01382547207328,0.465648854961832,0.937735525163892
3.64876443929391e-08,0.575326923267266,0.905,0.836,0.00117800359922604,"PAR-POST-PRE-SUB-ProS","Zhx3",0.575326902274942,0.076243093922652,0.0438647030463768
4.58191989072932e-08,0.888428975200794,0.311,0.166,0.00147927283672196,"PAR-POST-PRE-SUB-ProS","Tshz2",0.88842893449369,0.466237942122186,0.414219278140145
