"Subclass","Variable","Count","Avg_NonZero_Genes","Union_NonZero_Genes","Avg_Normalized_Count","Union_Normalized_Count"
"ABC NN","Sex",507,4650.368,19537,10.9023629957887,2.59507600962277
"ABC NN","Age",759,4650.368,19537,16.3212889818612,3.88493627476071
"ABC NN","ROI",1213,4650.368,19537,26.0839572266109,6.20873214925526
"Astro-NT NN","Sex",132,2927.69892473118,15665,4.50866032995931,0.842642834344079
"Astro-NT NN","Age",500,2927.69892473118,15665,17.0782588256034,3.19182891797
"Astro-NT NN","ROI",992,2927.69892473118,15665,33.8832655099972,6.33258857325247
"Astro-TE NN","Sex",2653,3212.78998189499,27276,82.5762037030254,9.72649948672826
"Astro-TE NN","Age",7370,3212.78998189499,27276,229.395635616772,27.0200909224226
"Astro-TE NN","ROI",14477,3212.78998189499,27276,450.605239731888,53.0759642176272
"BAM NN","Sex",675,3023.54953076121,19562,22.3247541716329,3.45056742664349
"BAM NN","Age",1215,3023.54953076121,19562,40.1845575089392,6.21102136795829
"BAM NN","ROI",2263,3023.54953076121,19562,74.845805467267,11.5683467948063
"DC NN","Sex",176,3365.9375,14844,5.22885525949308,1.18566424144435
"DC NN","Age",206,3365.9375,14844,6.12013740599759,1.38776610078146
"DC NN","ROI",750,3365.9375,14844,22.2820536626126,5.05254648342765
"Endo NN","Sex",1834,2918.82181987001,24023,62.8335716663129,7.6343504141864
"Endo NN","Age",3757,2918.82181987001,24023,128.716318838788,15.63917912001
"Endo NN","ROI",5855,2918.82181987001,24023,200.594635826751,24.3724763768056
"Ependymal NN","Sex",98,3106.91836734694,14773,3.15425088183711,0.66337236851012
"Ependymal NN","Age",126,3106.91836734694,14773,4.05546541950486,0.852907330941583
"Ependymal NN","ROI",92,3106.91836734694,14773,2.96113348090831,0.622757733703378
"Lymphoid NN","Sex",89,2430.78481012658,14312,3.66136893851025,0.621855785354947
"Lymphoid NN","Age",175,2430.78481012658,14312,7.19932094650891,1.22275013974287
"Lymphoid NN","ROI",473,2430.78481012658,14312,19.4587360439927,3.30491894913359
"Microglia NN","Sex",2114,2719.41554568528,24897,77.7372918734008,8.49098284933928
"Microglia NN","Age",4369,2719.41554568528,24897,160.65952137885,17.5482989918464
"Microglia NN","ROI",5290,2719.41554568528,24897,194.527092720099,21.2475398642407
"Oligo NN","Sex",2991,3566.30122443663,25366,83.8684062777813,11.791374280533
"Oligo NN","Age",5973,3566.30122443663,25366,167.484450249812,23.5472679965308
"Oligo NN","ROI",8258,3566.30122443663,25366,231.556435654269,32.5553891035244
"OPC NN","Sex",2119,4343.03139140271,26539,48.7908055234112,7.9844756773051
"OPC NN","Age",5052,4343.03139140271,26539,116.324280086963,19.0361354987
"OPC NN","ROI",5987,4343.03139140271,26539,137.853021551988,22.5592524209654
"Peri NN","Sex",755,2337.21069739953,21471,32.3034633052143,3.51637091891388
"Peri NN","Age",1641,2337.21069739953,21471,70.2118983892142,7.64286712309627
"Peri NN","ROI",2899,2337.21069739953,21471,124.0367418832,13.5019328396442
"SMC NN","Sex",596,2846.31243469175,20559,20.9393737924117,2.89897368549054
"SMC NN","Age",1329,2846.31243469175,20559,46.6919929028779,6.46432219465927
"SMC NN","ROI",2215,2846.31243469175,20559,77.8199881714631,10.7738703244321
"VLMC NN","Sex",832,3462.908470722,22017,24.0260465165148,3.77889812417677
"VLMC NN","Age",1634,3462.908470722,22017,47.1857692403668,7.42153790252986
"VLMC NN","ROI",5002,3462.908470722,22017,144.445053696643,22.7188081936685
