"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
2.50686082683732e-15,2.66094917487838,0.994,0.854,8.09340017944429e-11,"ENT","Ptn",2.66094917487838,0.140845070422535,0.374781573926532
1.35260380146555e-11,2.96343662117696,0.85,0.366,4.36688137303153e-07,"ENT","Eya1",2.96343662113688,0.569411764705882,1.68741567603559
3.20259229196889e-10,2.39622067883014,0.889,0.61,1.03395692146215e-05,"ENT","Slco3a1",2.39622067806273,0.313835770528684,0.752019762856581
4.50025866324863e-10,1.94221665134615,0.931,0.512,1.45290850942982e-05,"ENT","Bmp6",1.9422166504721,0.450053705692803,0.874101800803233
7.99454286960033e-10,1.85662709289835,0.943,0.805,2.58103816545047e-05,"ENT","St3gal4",1.85662709141407,0.146341463414634,0.27170152557279
1.09649828762684e-09,1.65858484381425,0.82,0.293,3.54004472160325e-05,"ENT","Plekha6",1.65858484199562,0.642682926829268,1.0659441606484
2.19389865508315e-09,1.93140070320934,0.964,0.732,7.08300180793594e-05,"ENT","Gsn",1.93140069897205,0.240663900414938,0.46481842547875
3.12616666081118e-09,1.43089679649363,0.991,0.927,0.000100928290644289,"ENT","Nbl1",1.43089679202041,0.0645812310797174,0.0924090763766961
4.82144045391645e-09,1.43864704355334,0.967,0.927,0.000155660205054693,"ENT","Zfhx3",1.43864703661699,0.0413650465356773,0.059509701618076
1.08850268730301e-08,2.43850806558516,0.725,0.293,0.000351423092595778,"ENT","Nr1d2",2.43850803904193,0.595862068965517,1.45301444533257
1.4890758782394e-08,2.87405963308027,0.743,0.293,0.000480748147289589,"ENT","Col8a1",2.87405959028334,0.605652759084791,1.74068212062921
3.23552937479706e-08,2.35036996254846,0.871,0.537,0.00104459065865323,"ENT","Ntrk3",2.35036988650155,0.383467278989667,0.901289944996
5.75213336934602e-08,2.51795047872065,0.656,0.244,0.00185707625829336,"ENT","Homer2",2.51795033388478,0.628048780487805,1.5813956365252
9.77463506756032e-08,2.72260903149176,0.662,0.22,0.00315574093156185,"ENT","Vit",2.72260876536666,0.667673716012085,1.81781431161943
1.03836998739904e-07,1.20549378267233,0.772,0.366,0.00335237750431781,"ENT","Mkx",1.20549365749747,0.525906735751295,0.633977234383385
4.66157532041445e-18,3.37385539900641,0.789,0.217,1.50498959219581e-13,"PAR-POST-PRE-SUB-ProS","Igfbp2",3.37385539900641,0.724968314321927,2.44593826138361
1.88205378371601e-15,4.86332064799678,0.763,0.291,6.07621064072714e-11,"PAR-POST-PRE-SUB-ProS","Gpc5",4.86332064799678,0.618610747051114,3.00850241920639
6.25509854693795e-15,5.93944890632461,0.263,0.012,2.01945856587892e-10,"PAR-POST-PRE-SUB-ProS","Lrrc17",5.93944890632457,0.954372623574144,5.66844743531356
1.69918656249711e-14,1.94861881651364,1,0.976,5.48582381702191e-10,"PAR-POST-PRE-SUB-ProS","Clic4",1.9486188165136,0.024,0.0467668515963265
2.13804597007876e-13,15.0531840702437,0.158,0,6.90268141439926e-09,"PAR-POST-PRE-SUB-ProS","Calca",15.0531840702405,1,15.0531840702405
5.27181376093991e-13,2.373959214381,0.974,0.733,1.70200507271945e-08,"PAR-POST-PRE-SUB-ProS","Erc2",2.37395921437975,0.247433264887064,0.587396479122711
7.18789658174528e-13,2.36110287901639,0.789,0.252,2.32061241141646e-08,"PAR-POST-PRE-SUB-ProS","Kcnq5",2.36110287901469,0.680608365019011,1.60698637012787
1.30438915679115e-12,4.19112506971533,0.263,0.018,4.21122039270023e-08,"PAR-POST-PRE-SUB-ProS","Gm20713",4.19112506970986,0.931558935361217,3.90428000790462
5.6805416728682e-12,1.59009738559527,0.947,0.537,1.8339628790855e-07,"PAR-POST-PRE-SUB-ProS","Adamtsl1",1.59009738558624,0.432946145723337,0.688426534414317
8.75219334716076e-12,4.00965468486116,0.263,0.021,2.82564562213085e-07,"PAR-POST-PRE-SUB-ProS","Ttr",4.00965468482607,0.920152091254753,3.68949214345212
1.70666165741924e-11,2.3820872381956,0.579,0.139,5.50995716097802e-07,"PAR-POST-PRE-SUB-ProS","Kctd8",2.38208723815495,0.75993091537133,1.81022173538545
4.17999273766881e-11,1.39907913389484,0.974,0.899,1.34951065535638e-06,"PAR-POST-PRE-SUB-ProS","Adamtsl3",1.39907913383636,0.0770020533880903,0.107731966157831
5.86484696192842e-11,3.41831329788516,0.658,0.223,1.89346584165859e-06,"PAR-POST-PRE-SUB-ProS","Bst2",3.41831329768468,0.661094224924012,2.2598271800803
1.09902907955472e-10,2.8789216740832,0.579,0.166,3.54821538334242e-06,"PAR-POST-PRE-SUB-ProS","Dnajc5b",2.8789216737668,0.713298791018998,2.05353134933625
2.94328700509018e-10,2.03203587622928,0.842,0.487,9.50240209593363e-06,"PAR-POST-PRE-SUB-ProS","Fbn1",2.03203587563119,0.421615201900238,0.85673721597277
