"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.50223130922942e-70,14.8116102206514,0.995,0.005,4.84995378184719e-66,"F","Xist",14.8116102206514,0.994974874371859,14.7371800185376
3.49096737808644e-25,16.3232017257797,0.458,0,1.12705881801521e-20,"F","Tsix",16.3232017257797,1,16.3232017257797
8.55114844902443e-14,0.968599465724902,0.984,0.957,2.76073827676754e-09,"F","Serpinh1",0.968599465724819,0.0274390243902439,0.0265774243644005
1.24172280170362e-13,1.46130553857826,0.932,0.838,4.00890206530013e-09,"F","Manf",1.46130553857807,0.100858369098713,0.1473848933759
3.65566790723363e-11,1.23743708184978,0.984,0.897,1.18023238385038e-06,"F","Hspa5",1.23743708180454,0.0884146341463414,0.109407546866865
6.22095417375117e-10,1.13293161484796,0.737,0.459,2.00843505499557e-05,"F","Eif2s3x",1.13293161414317,0.377204884667571,0.427347338849121
6.35900671440344e-10,0.867560837154558,0.974,0.919,2.05300531774515e-05,"F","Calr",0.867560836602876,0.0564681724845995,0.0489895749621747
1.46519643705345e-09,0.786116188881838,0.953,0.881,4.73038669702706e-05,"F","Tgoln1",0.786116187730023,0.0755508919202518,0.0593917791359514
8.98320599329767e-09,1.26075657452133,0.689,0.405,0.000290022805493615,"F","Hyou1",1.2607565631957,0.412191582002903,0.519673242304177
9.97484236488477e-09,0.940812395091589,0.884,0.697,0.000322037785750305,"F","Gm47283",0.940812385707134,0.211538461538462,0.199018004668817
6.30201284068381e-08,0.701332040495931,1,0.935,0.00203460484561477,"F","Ckb",0.701331996297896,0.0649999999999999,0.0455865797593632
7.15948631322546e-08,0.631043400764989,0.974,0.908,0.00231144015622484,"F","Bmp4",0.631043355585523,0.0677618069815195,0.0427606380581566
1.03024261822798e-07,0.573095056762092,0.995,1,0.00332613829294902,"F","Rpl41",0.573094997719397,0.005,0.00286547498859699
1.24501572040032e-07,0.820364974663915,0.9,0.8,0.00401953325331243,"F","Ddx3x",0.820364872527186,0.111111111111111,0.0911516525030207
3.50726862365939e-07,1.13693040196731,0.763,0.551,0.0113232167514843,"F","Pdia6",1.13693000321528,0.277850589777195,0.315896671928753
4.10479909782519e-44,18.0907865378337,0.708,0,1.32523438873286e-39,"M","Ddx3y",18.0907865378337,1,18.0907865378337
1.36345777979235e-35,17.5610321725521,0.6,0,4.40192344205959e-31,"M","Uty",17.5610321725521,1,17.5610321725521
1.49428238564766e-27,16.7636466434423,0.486,0,4.82429068206346e-23,"M","Eif2s3y",16.7636466434423,1,16.7636466434423
7.22959427303761e-17,16.0535686507413,0.314,0,2.33407451105019e-12,"M","Kdm5d",16.0535686507413,1,16.0535686507413
4.68978577610335e-07,1.61603632364037,0.557,0.358,0.0151409733781497,"M","Snap25",1.61603556575396,0.357271095152603,0.577362796382473
7.40803696323712e-07,0.775734332523216,0.87,0.742,0.023916847335811,"M","Prkcb",0.775733757856355,0.147126436781609,0.114130943684613
9.11890933323527e-07,1.3892159273521,0.784,0.621,0.0294403987823501,"M","Trpm3",1.38921466053869,0.207908163265306,0.288829068453835
2.30092114552127e-05,0.752019760283641,0.941,0.889,0.742852391831541,"M","Lama2",0.752002456901958,0.055260361317747,0.0415559274802357
0.00213184552732361,12.7239688712682,0.049,0,1,"M","Tmprss9",12.6968433351402,1,12.6968433351402
0.00691631078240773,12.1992843553247,0.038,0,1,"M","4930509J09Rik",12.1149103134004,1,12.1149103134004
0.00691631078240773,12.1853513715721,0.038,0,1,"M","Gm29650",12.1010736944934,1,12.1010736944934
0.00691631078240773,12.1648448559512,0.038,0,1,"M","Sfta2",12.0807090083077,1,12.0807090083077
0.00886863150983454,5.34713363309841,0.049,0.005,1,"M","Gm28723",5.29971187527262,0.897959183673469,4.7589249492244
0.0051074435888064,4.26561724702919,0.054,0.005,1,"M","Fzd10",4.24383084756855,0.907407407407407,3.85088354686776
0.00313699232028808,3.56576987841183,0.07,0.011,1,"M","Gm29358",3.55458408568733,0.842857142857143,2.9960065865079
