"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,2.72456266249086,0.285,0.065,0,"ENT","Rpe65",2.72456266249086,0.771929824561403,2.10317117806312
0,2.42121601904331,0.134,0.028,0,"ENT","D030055H07Rik",2.42121601904331,0.791044776119403,1.91529028372083
0,1.84323744985386,0.67,0.325,0,"ENT","Gabbr2",1.84323744985386,0.514925373134328,0.949129731641165
0,1.83959670156643,0.323,0.172,0,"ENT","Sgcd",1.83959670156643,0.46749226006192,0.859997219617745
0,1.62809605223824,0.292,0.113,0,"ENT","Shisa9",1.62809605223824,0.613013698630137,0.998045182707688
0,1.58402359455679,0.28,0.098,0,"ENT","Bmp7",1.58402359455679,0.65,1.02961533646191
0,1.57698837699715,0.241,0.082,0,"ENT","Pde8a",1.57698837699715,0.659751037344398,1.04041971760393
0,1.57552470398125,0.222,0.084,0,"ENT","Atp2b4",1.57552470398125,0.621621621621622,0.979380221393749
0,1.53673399891813,0.288,0.109,0,"ENT","Fmo1",1.53673399891813,0.621527777777778,0.955122867383142
0,1.52674467246465,0.394,0.175,0,"ENT","Pdzph1",1.52674467246465,0.555837563451777,0.848622038755733
0,1.45556681830003,0.417,0.178,0,"ENT","Meis1",1.45556681830003,0.573141486810552,0.834245730392583
0,1.36240013633973,0.275,0.133,0,"ENT","Nkx2-2os",1.36240013633973,0.516363636363636,0.703493888582696
0,1.31203159181885,0.917,0.606,0,"ENT","Tox",1.31203159181885,0.339149400218103,0.444974727432565
0,1.29966400948492,0.656,0.397,0,"ENT","Rgs6",1.29966400948492,0.394817073170732,0.513129540330173
0,1.26708476567594,0.664,0.41,0,"ENT","Ptchd4",1.26708476567594,0.382530120481928,0.484698088074834
0,5.56508317287674,0.049,0.001,0,"HIP","Ttr",5.56508317287674,0.979591836734694,5.45151004689967
0,3.38854832528772,0.467,0.222,0,"HIP","Uba52",3.38854832528772,0.524625267665953,1.77771807215309
0,2.72872385957441,0.162,0.031,0,"HIP","Cabp7",2.72872385957441,0.808641975308642,2.20656065187807
0,2.45657244099235,0.294,0.088,0,"HIP","Cnih2",2.45657244099235,0.700680272108844,1.72127184640961
0,2.4023111595315,0.607,0.272,0,"HIP","Camk2a",2.4023111595315,0.551894563426689,1.3258224686047
0,2.37460641933637,0.348,0.116,0,"HIP","Ddn",2.37460641933637,0.666666666666667,1.58307094622425
0,2.22320766777442,0.331,0.116,0,"HIP","Psd",2.22320766777442,0.649546827794562,1.44407748813142
0,2.07173167551045,0.324,0.096,0,"HIP","Cald1",2.07173167551045,0.703703703703704,1.45788525313698
0,2.02619884389873,0.538,0.208,0,"HIP","Mbp",2.02619884389873,0.613382899628253,1.24283572209402
0,1.95690531923102,0.794,0.552,0,"HIP","Thrsp",1.95690531923102,0.304785894206549,0.596437137599379
0,1.6616628905058,0.978,0.926,0,"HIP","mt-Nd4l",1.6616628905058,0.0531697341513292,0.0883501741373224
0,1.53731367431759,0.63,0.353,0,"HIP","Plp1",1.53731367431759,0.43968253968254,0.675929980612654
0,1.52355034243346,0.98,0.925,0,"HIP","Cd81",1.52355034243346,0.0561224489795918,0.0855053763610617
0,1.50825358228481,0.998,0.995,0,"HIP","Fth1",1.50825358228481,0.0030060120240481,0.00453382840366176
0,1.49743429051637,0.828,0.546,0,"HIP","Gfap",1.49743429051637,0.340579710144927,0.50999573662514
0,3.0737802851105,0.085,0.011,0,"HIP - CA","Fibcd1",3.0737802851105,0.870588235294118,2.6759969540962
0,2.49160338796029,0.141,0.035,0,"HIP - CA","Slit2",2.49160338796029,0.75177304964539,1.8731202774737
0,2.41442606085215,0.404,0.106,0,"HIP - CA","Hpca",2.41442606085215,0.737623762376238,1.780938034985
0,2.22687568865184,0.138,0.034,0,"HIP - CA","Retreg1",2.22687568865184,0.753623188405797,1.67822515666515
0,1.92535105260037,0.601,0.227,0,"HIP - CA","Cd38",1.92535105260037,0.622296173044925,1.19813859180123
0,1.88153101258284,0.159,0.05,0,"HIP - CA","Stum",1.88153101258284,0.685534591194969,1.28985459353163
0,1.6859403422175,0.373,0.196,0,"HIP - CA","C4b",1.6859403422175,0.474530831099196,0.800030671776132
0,1.57108867352664,0.215,0.077,0,"HIP - CA","Cnih2",1.57108867352664,0.641860465116279,1.00841970672873
0,1.55611811721652,0.22,0.077,0,"HIP - CA","E330013P04Rik",1.55611811721652,0.65,1.01147677619074
0,1.51942704460397,0.309,0.131,0,"HIP - CA","Epha6",1.51942704460397,0.576051779935275,0.87526865352591
0,1.42177645176079,0.301,0.131,0,"HIP - CA","Galntl6",1.42177645176079,0.564784053156146,0.802996667107425
0,1.38131221733447,0.484,0.253,0,"HIP - CA","Camk2a",1.38131221733447,0.477272727272727,0.659262649182361
0,1.34940563698083,0.75,0.528,0,"HIP - CA","Thrsp",1.34940563698083,0.296,0.399424068546325
0,1.34792094810557,0.3,0.133,0,"HIP - CA","Frrs1l",1.34792094810557,0.556666666666667,0.750342661112101
0,1.29156736667107,0.46,0.248,0,"HIP - CA","Sdc3",1.29156736667107,0.460869565217391,0.595244090726669
0,1.59970418518787,0.29,0.139,0,"PAR-POST-PRE-SUB-ProS","Unc13c",1.59970418518787,0.520689655172414,0.832949420563341
0,1.369911638211,0.262,0.111,0,"PAR-POST-PRE-SUB-ProS","Sgcz",1.369911638211,0.576335877862595,0.789529226602522
