"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
3.1134949180389e-41,0.830158832507031,1,0.993,1.00519183428886e-36,"adult","Gm42418",0.830158832507031,0.00700000000000001,0.00581111182754922
5.5649731040129e-36,2.45110958522915,0.725,0.405,1.79665156663056e-31,"adult","Fkbp5",2.45110958522915,0.441379310344828,1.08186905830804
5.0623275457769e-29,0.877081425477902,0.743,0.339,1.63437244815407e-24,"adult","Cd36",0.877081425477902,0.543741588156124,0.476905647231592
4.51692907789042e-22,1.1391903437064,0.911,0.818,1.45829055279692e-17,"adult","Vav3",1.1391903437064,0.102085620197585,0.116294952760368
1.30476549413565e-18,0.84797055235288,0.787,0.546,4.21243539781696e-14,"adult","Meg3",0.84797055235288,0.306226175349428,0.259670779055965
5.84661925026108e-17,0.637342670682562,0.881,0.737,1.88758102494679e-12,"adult","AY036118",0.637342670682562,0.163450624290579,0.10417405741009
2.49835105266101e-16,1.15712904991788,0.676,0.483,8.06592637351606e-12,"adult","Cmss1",1.15712904991788,0.285502958579882,0.330363767210284
5.08790820600731e-16,0.961127741696339,0.881,0.778,1.64263116430946e-11,"adult","Zdhhc14",0.961127741696339,0.116912599318956,0.112367942559277
5.51631795358088e-16,1.95107823701177,0.483,0.261,1.78094325131359e-11,"adult","Auts2",1.95107823701177,0.459627329192547,0.896768879123421
6.10798763209233e-15,0.960972147576957,0.45,0.216,1.97196380702101e-10,"adult","Nrgn",0.960972147576951,0.52,0.499705516740015
1.12828216931061e-13,1.02736742938497,0.827,0.703,3.64265898361931e-09,"adult","Man2a1",1.02736742938485,0.14993954050786,0.154043000294706
2.65036439729865e-13,1.12603593298223,0.592,0.389,8.55670145667869e-09,"adult","Mgl2",1.12603593298193,0.342905405405405,0.386123808100223
1.09776368975357e-12,0.763249974192894,0.597,0.373,3.5441300723694e-08,"adult","Gas7",0.763249974192056,0.375209380234506,0.286378549780604
7.50372647993094e-12,0.4183454068665,0.995,0.991,2.4225780940457e-07,"adult","mt-Nd2",0.418345406863361,0.00402010050251257,0.00168179058035522
3.16920928152594e-11,0.489276950223577,0.985,0.96,1.02317921654065e-06,"adult","Fcrls",0.48927695020807,0.0253807106598985,0.0124181967057886
5.35450934436991e-74,3.35643824653127,0.762,0.176,1.72870334182983e-69,"aged","Cd209a",3.35643824653127,0.769028871391076,2.58119791662379
1.16804087563162e-42,2.10490573945079,0.807,0.441,3.77101996697667e-38,"aged","Cd209f",2.10490573945079,0.453531598513011,0.954641264732327
5.89544811563944e-42,3.13075888341832,0.555,0.131,1.90334542413419e-37,"aged","Cd209b",3.13075888341832,0.763963963963964,2.39178696679165
1.02272112251359e-40,2.10109565345636,0.705,0.272,3.30185514403513e-36,"aged","Cd209g",2.10109565345636,0.614184397163121,1.29046016730015
1.26024643586039e-28,1.1897309682297,0.827,0.49,4.06870561817526e-24,"aged","Cd81",1.1897309682297,0.407496977025393,0.484811773027098
5.1906771240299e-22,1.66945700425636,0.569,0.265,1.67581010949305e-17,"aged","C4b",1.66945700425636,0.53427065026362,0.891941879251203
6.70676002144083e-22,4.18681734430733,0.22,0.007,2.16527747292217e-17,"aged","Cd209d",4.18681734430733,0.968181818181818,4.05360042880664
8.71496561122838e-22,0.889294280705711,0.998,0.99,2.81362664758508e-17,"aged","Rps28",0.889294280705711,0.00801603206412826,0.00712861146858286
5.40125484975929e-21,1.44858068861422,0.636,0.342,1.74379512824479e-16,"aged","Lair1",1.44858068861422,0.462264150943396,0.669626922095251
9.71976105104593e-21,0.644274192258115,0.996,0.983,3.13802485533018e-16,"aged","Rps12",0.644274192258115,0.0130522088353414,0.00840920130457379
1.03476401868403e-20,0.925027388148244,0.966,0.948,3.34073563432138e-16,"aged","Rps27",0.925027388148244,0.0186335403726708,0.0172365351828866
1.21598875966208e-19,0.906820724821113,0.986,0.946,3.92581971056903e-15,"aged","Rpl10",0.906820724821113,0.0405679513184585,0.0367878590191121
1.92292957270013e-19,1.82778959339472,0.65,0.394,6.20817812546238e-15,"aged","Uba52",1.82778959339472,0.393846153846154,0.719867901398537
1.94496974592557e-19,1.86526275421059,0.468,0.193,6.27933482472071e-15,"aged","Pla2g2d",1.86526275421059,0.587606837606838,1.09604114830751
2.17047947527895e-19,0.73086118988248,0.982,0.97,7.00739298593809e-15,"aged","Rpl39",0.73086118988248,0.0122199592668025,0.00893109397005068
