"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
2.36135850941757e-39,1.79047075321616,0.851,0.463,7.62364594765463e-35,"ENT","Fos",1.79047075321616,0.45593419506463,0.816336841654371
1.03435897796661e-36,1.47920555731355,0.988,0.984,3.33942796036521e-32,"ENT","H3f3b",1.47920555731355,0.00404858299595142,0.00598868646685648
6.37431881630739e-35,1.57161293145454,0.961,0.783,2.05794882984484e-30,"ENT","Jun",1.57161293145454,0.18522372528616,0.291100001871913
3.94351412093045e-31,0.938333386641229,0.791,0.367,1.2731635339424e-26,"ENT","Cd209f",0.938333386641229,0.536030341340076,0.502975165532088
3.97586357667616e-30,1.38332109878958,0.655,0.227,1.2836075557299e-25,"ENT","Cd209a",1.38332109878958,0.653435114503817,0.903910580583118
4.80697950707824e-30,1.38392078674938,0.904,0.693,1.55193333386021e-25,"ENT","Zfp36",1.38392078674938,0.233407079646018,0.323016909296593
2.68480355394579e-29,1.46721804411609,0.793,0.47,8.66788827391397e-25,"ENT","Junb",1.46721804411609,0.407313997477932,0.597618446720679
8.9920029645625e-29,2.66164405168171,0.63,0.284,2.903068157109e-24,"ENT","Atf3",2.66164405168171,0.549206349206349,1.4617918125109
1.4545076034516e-28,1.88804402868028,0.724,0.371,4.6958777977435e-24,"ENT","Dusp1",1.88804402868028,0.487569060773481,0.920551853762624
4.06294373617461e-28,1.53198865882743,0.927,0.799,1.31172138522397e-23,"ENT","Jund",1.53198865882743,0.138079827400216,0.21153672958998
1.28915679024622e-27,1.43660301776368,0.921,0.78,4.16204269730992e-23,"ENT","Plek",1.43660301776368,0.153094462540717,0.219935966888903
9.98812367699988e-27,1.58293824352617,0.85,0.61,3.22466572911941e-22,"ENT","Nfkbiz",1.58293824352617,0.282352941176471,0.44694726876033
9.63032779443509e-26,2.64473668343271,0.508,0.163,3.10915132843337e-21,"ENT","Fosb",2.64473668343271,0.679133858267716,1.79613022792182
2.08386091147275e-25,1.24328939281462,0.646,0.268,6.72774495268977e-21,"ENT","Cd209g",1.24328939281462,0.585139318885449,0.727497508489048
1.20028116525475e-22,1.95687302870364,0.525,0.208,3.87510774202496e-18,"ENT","Klf4",1.95687302870364,0.603809523809524,1.18157857161725
2.01651102113675e-24,5.73697368544999,0.429,0.049,6.51030583173999e-20,"HIP","Xlr5a",5.73697368544999,0.885780885780886,5.08170163279952
2.74649127312593e-17,7.18359147878716,0.19,0.011,8.86704707528708e-13,"HIP","Mc1r",7.18359147878716,0.942105263157895,6.76769934054158
1.30848225637936e-13,5.19637399701556,0.714,0.294,4.22443496472075e-09,"HIP","Lrp1b",5.19637399701488,0.588235294117647,3.05669058647934
4.58603498840765e-12,8.8193508596919,0.071,0.001,1.48060139600741e-07,"HIP","Gm43824",8.81935085965145,0.985915492957746,8.69513465036059
1.65470792590886e-11,6.52107480154054,0.119,0.007,5.34222453879676e-07,"HIP","Ms4a1",6.52107480143264,0.941176470588235,6.13748216605425
3.89760132646428e-11,16.9287074185234,0.048,0,1.25834058824899e-06,"HIP","Cfap54",16.9287074178636,1,16.9287074178636
3.89760132646428e-11,15.0356805887909,0.048,0,1.25834058824899e-06,"HIP","Slc17a8",15.0356805882048,1,15.0356805882048
1.30566850558995e-10,5.34505090298174,0.333,0.071,4.21535077029715e-06,"HIP","1700054A03Rik",5.34505090228385,0.786786786786787,4.20541542461973
2.2274373561534e-10,5.7447992333008,0.095,0.004,7.19128150434126e-06,"HIP","Lrrc10b",5.74479923202118,0.957894736842105,5.50291294856766
1.65757995653914e-09,3.11341329505716,0.357,0.085,5.35149688968663e-05,"HIP","Ppfia2",3.11341328989642,0.761904761904762,2.37212441134966
2.01015083328607e-09,4.46859400031343,0.286,0.059,6.48977196526408e-05,"HIP","Nckap5",4.46859399133089,0.793706293706294,3.54675117493745
3.02078679814806e-09,6.34936890299734,0.095,0.005,9.75261017782101e-05,"HIP","4930558K02Rik",6.34936888381725,0.947368421052632,6.01519157414265
3.02078679814806e-09,5.86814623876313,0.095,0.005,9.75261017782101e-05,"HIP","Gm11337",5.86814622103671,0.947368421052632,5.55929641992952
3.21490021573643e-09,4.85376387606174,0.095,0.005,0.000103793053465051,"HIP","Lurap1l",4.85376386045738,0.947368421052632,4.59830260464383
3.42113769464493e-09,4.50947749258026,0.095,0.005,0.000110451430471612,"HIP","Cachd1",4.50947747715272,0.947368421052632,4.27213655730257
8.14229400452695e-28,2.72339621554126,0.445,0.086,2.62873961936153e-23,"HIP - CA","Hpca",2.72339621554126,0.806741573033708,2.19707694691981
9.0289735499215e-17,2.24347480392856,0.378,0.105,2.91500411059216e-12,"HIP - CA","Grin2a",2.24347480392856,0.722222222222222,1.62028735839285
4.49761874790976e-15,1.0586825100495,1,0.981,1.45205621276266e-10,"HIP - CA","Ctsd",1.0586825100495,0.019,0.0201149676909405
6.7910183409308e-14,1.64010174297932,0.866,0.649,2.19248027136951e-09,"HIP - CA","Wfdc17",1.64010174297921,0.250577367205543,0.410972376704952
1.59352062747498e-13,2.38107973614582,0.336,0.098,5.14468134580297e-09,"HIP - CA","Abcg1",2.38107973614544,0.708333333333333,1.68659814643636
1.86288319885028e-13,0.979266284466911,0.966,0.924,6.01431840748814e-09,"HIP - CA","Abca1",0.979266284466729,0.0434782608695651,0.0425767949768142
3.1496419094484e-13,0.524761707563396,1,1,1.01686189046542e-08,"HIP - CA","Ctsb",0.524761707563231,0,0
3.89852854793296e-13,3.18441304411598,0.168,0.025,1.25863994170016e-08,"HIP - CA","Wipf3",3.18441304411474,0.851190476190476,2.71054205540719
6.31843930607151e-13,2.08293140841272,0.227,0.048,2.03990812996519e-08,"HIP - CA","Cacnb2",2.0829314084114,0.788546255506608,1.64248776257992
3.0138909435245e-12,2.19857071983149,0.378,0.139,9.73034691116883e-08,"HIP - CA","Gria1",2.19857071982486,0.632275132275132,1.3901015926935
4.12072124636361e-12,0.628563863798881,1,0.996,1.33037485438849e-07,"HIP - CA","Selenop",0.628563863796291,0.004,0.00251425545518517
4.21901259385164e-12,0.982177593769968,0.983,0.911,1.362108215925e-07,"HIP - CA","AC149090.1",0.982177593765825,0.0732451678535096,0.071939762717334
7.15424989827679e-12,1.80389019984315,0.286,0.081,2.30974957965866e-07,"HIP - CA","Psd",1.80389019983024,0.716783216783217,1.29299822015804
1.57424044745738e-11,1.50772836552597,0.521,0.263,5.08243528461614e-07,"HIP - CA","Nceh1",1.50772836550224,0.495201535508637,0.746629401726636
2.56337168517131e-11,2.62068977805605,0.151,0.024,8.27584548557557e-07,"HIP - CA","Galnt17",2.62068977798887,0.841059602649007,2.20415630334163
8.52158305961809e-20,2.37986556686363,0.303,0.061,2.7511930907977e-15,"PAR-POST-PRE-SUB-ProS","Tshz2",2.37986556686363,0.798679867986799,1.90075071676897
2.55803333664993e-12,1.26680804179547,0.816,0.616,8.2586106273743e-08,"PAR-POST-PRE-SUB-ProS","Meg3",1.26680804179223,0.245098039215686,0.310492167105938
1.33543109016658e-10,1.16049343428713,0.651,0.384,4.31143927460279e-06,"PAR-POST-PRE-SUB-ProS","Plxna4",1.16049343413216,0.410138248847926,0.475962744874479
2.22325377039886e-10,1.08786203764746,0.414,0.188,7.17777479773273e-06,"PAR-POST-PRE-SUB-ProS","Lrrc4c",1.0878620374056,0.545893719806763,0.593857054235906
5.00066811392355e-09,1.32269513105182,0.421,0.208,0.000161446570058022,"PAR-POST-PRE-SUB-ProS","Nrxn3",1.32269512443746,0.505938242280285,0.669202046330591
1.42580396770034e-08,0.851672267695688,0.954,0.819,0.000460320810972056,"PAR-POST-PRE-SUB-ProS","Adap2",0.851672255552512,0.141509433962264,0.120519658804601
4.95533310475841e-08,1.13862925882083,0.309,0.131,0.00159982929287125,"PAR-POST-PRE-SUB-ProS","Vsnl1",1.13862920239795,0.576051779935275,0.655909378727624
9.45151760500663e-08,1.05662549027259,0.355,0.173,0.00305142245877639,"PAR-POST-PRE-SUB-ProS","Tmem273",1.05662539040544,0.512676056338028,0.541706538179692
1.08720157113522e-07,1.29337691659252,0.454,0.266,0.00351003027241005,"PAR-POST-PRE-SUB-ProS","Tenm2",1.29337677597638,0.414096916299559,0.535583334545286
1.16946067830487e-07,2.98087815781011,0.072,0.009,0.00377560379990727,"PAR-POST-PRE-SUB-ProS","Ckmt1",2.98087780920813,0.875,2.60826808305711
1.41890804018123e-07,1.55187316664497,0.27,0.115,0.0045809446077251,"PAR-POST-PRE-SUB-ProS","Hs6st3",1.55187294644844,0.574074074074074,0.890890024812991
3.42004130878261e-07,1.35491561109248,0.204,0.073,0.0110416033654047,"PAR-POST-PRE-SUB-ProS","Tenm3",1.35491514770574,0.642156862745098,0.870068060536531
3.5784268630248e-07,1.7889700888005,0.211,0.077,0.0115529511272756,"PAR-POST-PRE-SUB-ProS","Tshz3",1.78896944863064,0.635071090047393,1.13612277780334
7.35243459997533e-07,0.987444743114027,0.493,0.297,0.0237373351060204,"PAR-POST-PRE-SUB-ProS","Kcnip4",0.987444017101738,0.397565922920892,0.392574091991766
9.22733485724926e-07,0.807416251626933,0.48,0.284,0.0297904505866292,"PAR-POST-PRE-SUB-ProS","Nrgn",0.80741550659692,0.408333333333333,0.329694665193742
