"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
3.85231255451379e-175,13.6738343893697,0.972,0.002,1.24371910822478e-170,"F","Xist",13.6738343893697,0.997942386831276,13.6456989276632
3.08694446997823e-60,7.45880943267671,0.441,0.002,9.96620022132472e-56,"F","Tsix",7.45880943267671,0.99546485260771,7.42498263252852
1.88237665953234e-19,0.565660616999473,1,1,6.07725304530015e-15,"F","Rps29",0.565660616999473,0,0
5.84134240478782e-19,1.1244226315138,0.797,0.558,1.88587739538575e-14,"F","Gm47283",1.1244226315138,0.299874529485571,0.337185707568129
6.8997397622806e-14,0.589648118847039,0.924,0.833,2.22758098225229e-09,"F","Rpl35",0.589648118846999,0.0984848484848486,0.0580714056440226
9.65035280884312e-14,0.483955962390775,0.987,0.974,3.115616404335e-09,"F","Rpl41",0.483955962390728,0.0131712259371834,0.00637429332429531
9.89963380650113e-13,0.585895531774225,0.998,0.992,3.19609677442889e-08,"F","Rps28",0.585895531773645,0.0060120240480962,0.00352241802669527
7.02298532027748e-12,0.504790762292084,0.996,0.978,2.26737081065158e-07,"F","Rpl38",0.504790762288538,0.0180722891566265,0.00912272461967239
1.85094389073501e-11,0.650726559507333,0.974,0.944,5.97577235123799e-07,"F","Rps27",0.650726559495289,0.0308008213552362,0.0200429125101219
1.08080096236919e-10,0.439624089165006,0.998,0.992,3.48936590700894e-06,"F","Rpl37a",0.439624089117492,0.0060120240480962,0.00264303059589675
3.40889177427834e-10,0.537000128373679,0.996,0.978,1.10056070932576e-05,"F","Rps21",0.537000128190621,0.0180722891566265,0.00970482159380641
3.42205174085231e-10,0.485273462856723,0.959,0.883,1.10480940453417e-05,"F","AC149090.1",0.48527346269066,0.0792492179353493,0.0384575424030137
6.22835141391187e-09,0.388144726186988,0.976,0.913,0.000201082325398145,"F","Rpl23a",0.388144723769487,0.0645491803278688,0.0250544237679074
7.61072594417912e-09,0.397854578667502,0.996,0.994,0.000245712287107823,"F","Rpl37",0.39785457563954,0.00200803212851406,0.000798904770360523
9.62002041516187e-09,0.806696583647796,0.577,0.401,0.000310582359103501,"F","Kdm6a",0.806696575887358,0.305025996533795,0.246063426960442
1.47211694336259e-76,19.5877189239574,0.55,0,4.75272955164611e-72,"M","Ddx3y",19.5877189239574,1,19.5877189239574
8.03537986631589e-68,19.5014530143908,0.5,0,2.59422238984009e-63,"M","Uty",19.5014530143908,1,19.5014530143908
2.08355399264717e-40,18.1549716329923,0.323,0,6.72675406526138e-36,"M","Eif2s3y",18.1549716329923,1,18.1549716329923
4.76498426986399e-19,7.57130868332113,0.163,0.002,1.53837517152559e-14,"M","Kdm5d",7.57130868332113,0.987730061349693,7.47840919027425
1.59978665953503e-15,1.54215881682175,0.492,0.266,5.16491123030884e-11,"M","Snap25",1.54215881682175,0.459349593495935,0.708390025613243
7.09433078151115e-11,0.805274499913997,0.716,0.575,2.29040469281088e-06,"M","Meg3",0.805274499856868,0.196927374301676,0.158580592848908
1.02755808575869e-10,1.45133500078459,0.333,0.164,3.31747127987192e-06,"M","Map1b",1.45133500063546,0.507507507507508,0.736563408730908
7.93261285980663e-10,1.66737104197754,0.468,0.317,2.56104406178857e-05,"M","Camk2n1",1.66737104065488,0.322649572649573,0.53797655371557
2.6876812546085e-09,0.9137050248849,0.494,0.324,8.67717893050354e-05,"M","Ptprd",0.913705022429152,0.34412955465587,0.314432902455376
6.43642481170434e-09,2.50374729764556,0.141,0.035,0.000207799975045875,"M","Hspa1b",2.50374728153038,0.75177304964539,1.88224972937745
7.05498156168242e-09,1.56633812265528,0.347,0.199,0.000227770079718917,"M","Atp1b1",1.56633811160479,0.426512968299712,0.668063517341526
1.18510416979152e-07,0.698156609882458,0.637,0.518,0.00382610881217193,"M","Snhg11",0.698156527143627,0.186813186813187,0.130424845730128
9.41314736047546e-07,2.2523581653764,0.133,0.043,0.030390346253295,"M","Cplx1",2.25235604519847,0.676691729323308,1.52415070727716
1.53940845907801e-06,1.10929084512356,0.25,0.132,0.0496998021013336,"M","Chn1",1.10928913747185,0.472,0.523584472886712
6.41719683209801e-06,2.62997656063507,0.085,0.019,0.207179199724284,"M","Cdk5r2",2.62995968355782,0.776470588235294,2.04208634252725
