"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,11.7851095494274,0.88,0.001,0,"F","Xist",11.7851095494274,0.998863636363636,11.7717173794849
4.72665129934636e-195,4.05457825913222,0.161,0.008,1.52599937199397e-190,"F","Tsix",4.05457825913222,0.950310559006211,3.85310853197037
3.43831500798379e-118,1.06594427221814,0.625,0.447,1.11006000032757e-113,"F","Gm47283",1.06594427221814,0.2848,0.303580928727727
3.84247990240521e-95,0.630472005422611,0.926,0.874,1.24054463649152e-90,"F","B2m",0.630472005422611,0.0561555075593953,0.0354044754664965
2.38812735343471e-63,0.5944985082686,0.705,0.592,7.71006916056397e-59,"F","Ddx3x",0.5944985082686,0.160283687943262,0.0952884133820593
2.87033225788312e-53,0.674085472522741,0.572,0.448,9.26686769457566e-49,"F","Kdm6a",0.674085472522741,0.216783216783217,0.146130417120314
2.11407071773133e-47,0.282263018422888,0.999,0.999,6.8252773121956e-43,"F","Tmsb4x",0.282263018422888,0,0
2.83881797331755e-47,0.472156308564768,0.598,0.456,9.16512382685572e-43,"F","Hmgcs2",0.472156308564768,0.237458193979933,0.112117384308022
3.70409357845083e-45,0.510386403131667,0.769,0.683,1.19586661180285e-40,"F","H2-K1",0.510386403131667,0.111833550065019,0.0570783233671305
1.71696185131768e-42,0.508301086373292,0.794,0.713,5.54321133697913e-38,"F","Ctla2a",0.508301086373292,0.102015113350126,0.0518543929423636
1.37326896130584e-41,0.511568393945115,0.649,0.545,4.4335988415759e-37,"F","Ucp2",0.511568393945115,0.160246533127889,0.0819770615875069
2.78516674726749e-38,0.678790126817706,0.413,0.305,8.99191084355308e-34,"F","Kdm5c",0.678790126817706,0.261501210653753,0.177504439942645
1.41054951716999e-36,0.341219644521001,0.896,0.851,4.55395911618332e-32,"F","Ramp2",0.341219644521001,0.0502232142857143,0.0171371473252735
3.49218446870214e-36,0.34597188395643,0.905,0.869,1.12745175572049e-31,"F","Palmd",0.34597188395643,0.0397790055248619,0.0137624174833497
3.28548351415247e-34,0.36740745777931,0.851,0.801,1.06071835254412e-29,"F","H2-D1",0.36740745777931,0.0587544065804935,0.021586807155071
0,21.7668369087585,0.305,0,0,"M","Eif2s3y",21.7668369087585,1,21.7668369087585
0,9.20580184146376,0.355,0.001,0,"M","Uty",9.20580184146376,0.997183098591549,9.17987000529062
0,9.04625178650607,0.516,0,0,"M","Ddx3y",9.04625178650607,1,9.04625178650607
7.57583138270959e-182,9.0998645390779,0.162,0,2.44585716190779e-177,"M","Kdm5d",9.0998645390779,1,9.0998645390779
1.36711553873519e-93,2.67329998491548,0.247,0.101,4.41373251680656e-89,"M","Hspa1b",2.67329998491548,0.591093117408907,1.58016922185288
1.58705082148883e-75,0.977767416358617,0.527,0.355,5.12379357717668e-71,"M","Snap25",0.977767416358617,0.326375711574953,0.319119536268847
1.03279432129485e-74,1.97971773353247,0.288,0.149,3.33437646630041e-70,"M","Hspa1a",1.97971773353247,0.482638888888889,0.95548876722574
3.06207338462608e-40,0.486880746198338,0.931,0.921,9.88590392226531e-36,"M","St6galnac3",0.486880746198338,0.0107411385606874,0.00522965355744724
1.08225405723643e-33,0.600118930194075,0.729,0.68,3.49405722378781e-29,"M","Hsp90aa1",0.600118930194075,0.0672153635116597,0.0403372120432231
8.07702525588318e-28,0.519007765759962,0.714,0.647,2.60766760386188e-23,"M","Camk2n1",0.519007765759962,0.0938375350140055,0.0487024093920412
2.2827874427749e-27,0.286045471657991,0.952,0.946,7.36997925899875e-23,"M","Syne1",0.286045471657991,0.00630252100840337,0.00180280759448314
1.13803466609708e-21,0.745330823176356,0.33,0.255,3.67414491949441e-17,"M","Hsph1",0.745330823176356,0.227272727272727,0.169393368903717
2.28129148178106e-21,0.313904585193203,0.868,0.858,7.36514954893016e-17,"M","Pitpnc1",0.313904585193203,0.011520737327189,0.0036164122718111
2.74224888051961e-20,0.315181893848516,0.614,0.524,8.85335051075757e-16,"M","Snhg11",0.315181893848516,0.146579804560261,0.0461993004012483
1.38666859899423e-19,0.241094975676958,0.909,0.906,4.47685957185288e-15,"M","Msi2",0.241094975676958,0.0033003300330033,0.000795692989032866
