"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
8.1013047812988e-117,0.764649466998636,0.72,0.582,2.61550624864232e-112,"ENT","Bank1",0.764649466998636,0.191666666666667,0.146557814508072
8.60812080367199e-114,0.625393643771968,0.839,0.766,2.7791318014655e-109,"ENT","Itga9",0.625393643771968,0.0870083432657926,0.0544144648335562
2.47815074001015e-91,0.681553815042005,0.759,0.662,8.00070966412276e-87,"ENT","Phc2",0.681553815042005,0.127799736495389,0.087102397969795
1.75281927311768e-89,0.401699836283937,0.986,0.978,5.65897702326045e-85,"ENT","Maml3",0.401699836283937,0.00811359026369169,0.0032592278805999
5.69121313492194e-81,0.857042964906942,0.31,0.18,1.83740816060955e-76,"ENT","Dpp10",0.857042964906942,0.419354838709677,0.359405114315814
2.29501775184376e-71,0.312677148045838,0.995,0.992,7.40946481182757e-67,"ENT","Slc8a1",0.312677148045838,0.00301507537688443,0.000942745169987451
2.37657476893008e-70,0.314235961187489,0.997,0.993,7.67277164149075e-66,"ENT","Nav2",0.314235961187489,0.00401203610832498,0.00126072602281841
5.4261753086422e-63,1.264300099588,0.152,0.071,1.75184069839513e-58,"ENT","Abcg3",1.264300099588,0.532894736842105,0.673738868859395
2.86588713440349e-59,0.635278486250336,0.561,0.449,9.25251661342166e-55,"ENT","Dlc1",0.635278486250336,0.199643493761141,0.126829216506306
9.74072008283707e-54,0.556470085901433,0.736,0.686,3.14479147874395e-49,"ENT","Rsrp1",0.556470085901433,0.0679347826086956,0.037803674313956
5.58163218720952e-53,0.528683907161573,0.524,0.411,1.80202995164059e-48,"ENT","Upk1b",0.528683907161573,0.215648854961832,0.114010079216141
2.61358343797033e-50,1.19887008098122,0.176,0.098,8.43795412948721e-46,"ENT","Pcp4",1.19887008098122,0.443181818181818,0.53131742225304
1.37958624626604e-49,0.24185026584569,0.997,0.995,4.45399419606992e-45,"ENT","Mef2c",0.24185026584569,0.00200601805416249,0.000485155999690451
4.31514059536822e-43,0.40941002239726,0.741,0.678,1.39314314121463e-38,"ENT","Cadm1",0.40941002239726,0.0850202429149797,0.0348081395560423
8.05984656677626e-42,0.471596740326499,0.596,0.515,2.60212146408371e-37,"ENT","Abcc3",0.471596740326499,0.135906040268456,0.0640928455812859
9.50096536976979e-161,9.04590310053778,0.051,0,3.06738666963018e-156,"HIP","Ttr",9.04590310053778,1,9.04590310053778
1.71502598492488e-108,1.37489320554189,0.615,0.34,5.53696139232998e-104,"HIP","Camk2a",1.37489320554189,0.447154471544715,0.614789644754502
9.66468462039705e-90,0.284494415819754,0.999,0.996,3.12024342969519e-85,"HIP","mt-Co1",0.284494415819754,0.00300300300300301,0.000854337585044308
1.28188545939771e-86,4.80167998083572,0.046,0.002,4.13856720566552e-82,"HIP","C1ql2",4.80167998083572,0.956521739130435,4.59291128601678
3.93513520070865e-85,1.66837261920275,0.569,0.343,1.27045839954879e-80,"HIP","Mbp",1.66837261920275,0.397188049209139,0.66265766597508
1.7884508166273e-83,1.62879438062439,0.528,0.306,5.77401346148124e-79,"HIP","Mt3",1.62879438062439,0.420454545454545,0.684834000944344
6.76875465257825e-83,1.28126673082672,0.806,0.763,2.18529243958489e-78,"HIP","AY036118",1.28126673082672,0.0533498759305211,0.0683554211235101
1.71316702064891e-82,1.16275783076112,0.559,0.324,5.53095972616501e-78,"HIP","Plp1",1.16275783076112,0.420393559928444,0.488815903808343
1.82737821694853e-80,1.57617689079744,0.309,0.12,5.89969057341834e-76,"HIP","Ddn",1.57617689079744,0.611650485436893,0.964069360390667
2.20670294583462e-78,0.273100061389417,1,0.981,7.12434046062706e-74,"HIP","mt-Nd4",0.273100061389417,0.019,0.00518890116639894
2.8001585228311e-73,0.109533631446503,0.998,0.997,9.04031179096021e-69,"HIP","mt-Atp6",0.109533631446503,0.00100200400801603,0.000109753137721947
9.62415024044718e-73,0.298251606912681,0.996,0.976,3.10715690512837e-68,"HIP","mt-Nd2",0.298251606912681,0.0200803212851406,0.00598898809061608
1.3705250683952e-72,0.535377949662792,0.959,0.998,4.42474018331389e-68,"HIP","Gm42418",0.535377949662792,0.0390781563126253,0.0209215832032554
1.56944537296691e-66,2.01778454007439,0.234,0.086,5.06695438662365e-62,"HIP","Mobp",2.01778454007439,0.632478632478633,1.27620560654278
2.01138677498416e-60,2.87585902696582,0.627,0.551,6.49376220303635e-56,"HIP","Uba52",2.87585902696582,0.121212121212121,0.348588972965554
0,2.20081516104235,0.42,0.115,0,"HIP - CA","Hpca",2.20081516104235,0.726190476190476,1.59821100980457
6.74141635435595e-212,1.18769047123537,0.581,0.34,2.17646627000382e-207,"HIP - CA","Nrgn",1.18769047123537,0.414802065404475,0.492656460529647
