"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,0.850844755993281,1,0.996,0,"adult","Gm42418",0.850844755993281,0.004,0.00340337902397313
2.40884210868667e-228,1.68172530189057,0.316,0.12,7.7769467478949e-224,"adult","Ano3",1.68172530189057,0.620253164556962,1.04309544041314
1.65604512743269e-203,1.03077887947951,0.64,0.422,5.34654169391645e-199,"adult","Gria1",1.03077887947951,0.340625,0.351109055822707
8.35073319418895e-199,1.83360545524184,0.229,0.072,2.6960342117439e-194,"adult","Pcnx2",1.83360545524184,0.685589519650655,1.25710068328807
2.80569412251515e-197,0.578530441427269,0.995,0.986,9.05818347454017e-193,"adult","Sema6d",0.578530441427269,0.00904522613065327,0.0052329386661763
2.44955262498345e-180,1.73033467120264,0.226,0.075,7.90838064975906e-176,"adult","Sfmbt2",1.73033467120264,0.668141592920354,1.15610856350265
6.4374492862851e-171,0.95542786159848,0.553,0.346,2.07833050207714e-166,"adult","Cntnap5b",0.95542786159848,0.374321880650995,0.357637553979901
2.65313611846402e-151,0.437211695331685,0.995,0.988,8.5656499584611e-147,"adult","Ptprg",0.437211695331685,0.00703517587939699,0.00307586117318774
1.26753474371162e-144,0.609738314187416,0.982,0.965,4.09223592007298e-140,"adult","Asic2",0.609738314187416,0.0173116089613035,0.0105555512639369
3.28812675267318e-138,1.00600795317746,0.449,0.262,1.06157172210054e-133,"adult","Camk2a",1.00600795317746,0.416481069042316,0.418983267804421
4.39529486536005e-135,0.516391615190177,0.983,0.962,1.41902094728149e-130,"adult","Gpc6",0.516391615190177,0.0213631739572737,0.0110317639053853
1.8968368548541e-133,0.676406889768332,0.85,0.741,6.12393778589646e-129,"adult","Arhgef3",0.676406889768332,0.128235294117647,0.0867392364526449
1.1192347998362e-132,2.30402710656127,0.114,0.025,3.61344955127118e-128,"adult","Serinc2",2.30402710656127,0.780701754385965,1.7987580042452
5.77668740376957e-130,0.677778302970177,0.917,0.865,1.86500352830701e-125,"adult","Fth1",0.677778302970177,0.0567066521264995,0.038434538445419
1.58200084730119e-128,3.74773172248561,0.064,0.005,5.1074897355119e-124,"adult","Gpx8",3.74773172248561,0.921875,3.45494018166642
0,1.93392587839033,0.531,0.218,0,"aged","Maf",1.93392587839033,0.589453860640301,1.13996007520937
0,1.73224683711751,0.67,0.283,0,"aged","Ebf1",1.73224683711751,0.577611940298507,1.0005664566634
0,1.47158939572041,0.804,0.508,0,"aged","Nr6a1",1.47158939572041,0.3681592039801,0.54177918051398
0,1.31821863101769,0.751,0.452,0,"aged","C130073E24Rik",1.31821863101769,0.398135818908122,0.524830054160173
0,0.779431713202651,0.995,0.938,0,"aged","Ralyl",0.779431713202651,0.0572864321608041,0.044650861962363
1.56124744085834e-321,1.90882151321776,0.422,0.133,5.04048736281115e-317,"aged","Pcdhb9",1.90882151321776,0.684834123222749,1.30722610739321
3.1244313696535e-279,1.66865957761151,0.51,0.245,1.00872266769263e-274,"aged","Tubb3",1.66865957761151,0.519607843137255,0.86704860405304
1.78216902461416e-211,0.550153196474703,0.766,0.657,5.75373269596682e-207,"aged","Plp1",0.550153196474703,0.142297650130548,0.0782855070701601
7.79240738261074e-204,1.35142976810828,0.538,0.31,2.51577872347588e-199,"aged","Rhoj",1.35142976810828,0.423791821561338,0.572724883138824
2.45992082097453e-182,1.27675184003822,0.879,0.778,7.94185437051628e-178,"aged","Cdh18",1.27675184003822,0.11490329920364,0.14670299868471
6.68897988415692e-179,2.00760661009036,0.24,0.063,2.15953715560006e-174,"aged","Pcdhb3",2.00760661009036,0.7375,1.48060987494164
9.14009063373964e-177,0.479130225429376,0.878,0.649,2.95087826110284e-172,"aged","Fign",0.479130225429376,0.260820045558087,0.124966767224746
4.24009716620555e-175,0.774288773846358,0.762,0.573,1.36891537010946e-170,"aged","Scel",0.774288773846358,0.248031496062992,0.192048002961892
1.12530289068294e-166,0.617200728836139,0.906,0.839,3.63304038256986e-162,"aged","Etv5",0.617200728836139,0.0739514348785873,0.0456428795055423
1.79510402196796e-163,2.7007036126397,0.179,0.033,5.79549333492357e-159,"aged","Skap2",2.7007036126397,0.815642458100559,2.20280853321451
