"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,2.4957458647357,0.434,0.135,0,"adult","Man1a",2.4957458647357,0.688940092165899,1.71941938607367
0,0.868547595964868,0.974,0.986,0,"adult","Cldn11",0.868547595964868,0.0121703853955375,0.0105705589772601
0,0.667984654233029,1,0.995,0,"adult","Gm42418",0.667984654233029,0.005,0.00333992327116515
0,0.556124621516993,1,1,0,"adult","Plp1",0.556124621516993,0,0
0,0.536683636576154,1,1,0,"adult","Syt11",0.536683636576154,0,0
0,0.504246922810999,1,1,0,"adult","Malat1",0.504246922810999,0,0
1.6754319404e-317,0.776539491039276,0.906,0.961,5.4091320195814e-313,"adult","Mal",0.776539491039276,0.0572320499479708,0.0444429469377317
5.43458849509785e-306,1.38735135368954,0.807,0.583,1.75455689564234e-301,"adult","Fam13c",1.38735135368954,0.277571251548947,0.385088851581731
4.69942573473572e-267,1.02093289360542,0.816,0.607,1.51720959845943e-262,"adult","Gsn",1.02093289360542,0.256127450980392,0.261488939661193
1.05314175135909e-247,1.51842588983328,0.515,0.248,3.40006814426283e-243,"adult","Tmem163",1.51842588983328,0.518446601941748,0.78722274288444
9.57706022125391e-245,0.986607663586097,0.852,0.706,3.09195389243182e-240,"adult","Nudt4",0.986607663586097,0.171361502347418,0.16906657145959
2.07727034714537e-239,0.489801932722024,1,1,6.70646731575882e-235,"adult","Pcdh9",0.489801932722024,0,0
5.46768855239644e-227,0.643739177949406,0.982,0.991,1.76524324914119e-222,"adult","Tspan2",0.643739177949406,0.00908173562058528,0.00584626902274941
8.86342301944453e-223,1.54716358386669,0.282,0.083,2.86155612182767e-218,"adult","Kank1",1.54716358386669,0.705673758865248,1.09179274180664
6.6360430693477e-206,2.70712241454095,0.164,0.024,2.14244650493891e-201,"adult","Masp1",2.70712241454095,0.853658536585366,2.31095815875447
0,5.01600529569352,0.431,0.071,0,"aged","Cdh8",5.01600529569352,0.835266821345708,4.18970279918716
0,3.69358002715564,0.381,0.057,0,"aged","9330199G10Rik",3.69358002715564,0.850393700787402,3.14099718844732
0,3.40461652662009,0.306,0.051,0,"aged","Eya4",3.40461652662009,0.833333333333333,2.83718043885007
0,3.38858022539901,0.357,0.055,0,"aged","Itgb5",3.38858022539901,0.84593837535014,2.86653005061765
0,2.3469189834884,0.633,0.339,0,"aged","Snca",2.3469189834884,0.464454976303318,1.09003820086191
0,2.27168737897208,0.671,0.389,0,"aged","Robo1",2.27168737897208,0.42026825633383,0.954718093696165
0,2.23062094336316,0.594,0.339,0,"aged","Kcnab1",2.23062094336316,0.429292929292929,0.957589798918529
0,2.10969638236731,0.568,0.302,0,"aged","Gstm1",2.10969638236731,0.46830985915493,0.987991615686101
0,2.06500123444789,0.73,0.368,0,"aged","Dpyd",2.06500123444789,0.495890410958904,1.02401431078101
0,1.8778773129799,0.818,0.466,0,"aged","Abca8a",1.8778773129799,0.430317848410758,0.808084124900884
0,1.54217794419363,0.925,0.754,0,"aged","Neat1",1.54217794419363,0.184864864864865,0.28509451725093
0,1.45182937804928,0.909,0.714,0,"aged","Spock3",1.45182937804928,0.214521452145215,0.311448546446215
0,1.08341917752053,0.938,0.734,0,"aged","Il33",1.08341917752053,0.217484008528785,0.235626345644124
0,1.03343718390994,0.919,0.788,0,"aged","March1",1.03343718390994,0.142546245919478,0.147312590959959
0,0.68427228831716,0.999,0.997,0,"aged","Gatm",0.68427228831716,0.002002002002002,0.00136991449112545
