"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,12.7029870825465,0.947,0.002,0,"F","Xist",12.7029870825465,0.997888067581837,12.6761592323193
0,5.72044304560557,0.305,0.005,0,"F","Tsix",5.72044304560557,0.983606557377049,5.62666529075957
3.57464296342422e-301,0.426621997150878,1,1,1.15407348074151e-296,"F","Malat1",0.426621997150878,0,0
1.97217655956524e-113,0.327946921827046,1,0.999,6.36717202255638e-109,"F","Tmsb4x",0.327946921827046,0.001,0.000327946921827046
5.40183888403538e-109,0.331903405352689,0.996,0.996,1.74398368371082e-104,"F","Tubb4a",0.331903405352689,0,0
5.03146496348692e-108,0.731288706587542,0.74,0.626,1.62440846346175e-103,"F","Gm47283",0.731288706587542,0.154054054054054,0.112657989933756
5.59068984896896e-81,0.675532676309036,0.618,0.464,1.80495421773963e-76,"F","Gm10076",0.675532676309036,0.249190938511327,0.168336621604517
1.03889609906258e-75,0.475157840658952,0.735,0.597,3.35407605582355e-71,"F","Ddx3x",0.475157840658952,0.187755102040816,0.0892133088584154
1.41821780963781e-65,0.230623186956292,0.991,0.992,4.57871619841568e-61,"F","Aplp1",0.230623186956292,0.00100806451612903,0.00023248305136723
3.67438456405135e-65,0.215402007842002,1,1,1.18627505650398e-60,"F","Plp1",0.215402007842002,0,0
7.61433963547309e-65,0.48482040679062,0.675,0.527,2.45828955131249e-60,"F","AC149090.1",0.48482040679062,0.219259259259259,0.106301363266684
1.07846653192594e-62,0.430788060767199,0.762,0.647,3.48182919832291e-58,"F","Kdm6a",0.430788060767199,0.150918635170604,0.0650139461787767
6.33459880098275e-60,0.189140492956323,0.999,0.999,2.04512522289728e-55,"F","Cnp",0.189140492956323,0,0
2.34141546350445e-58,0.42432138762566,0.961,0.921,7.55925982392411e-54,"F","mt-Atp8",0.42432138762566,0.0416233090530696,0.0176616602549702
2.69308523764347e-58,0.203147289337792,1,1,8.69462568973193e-54,"F","Syt11",0.203147289337792,0,0
0,22.1844215531958,0.509,0,0,"M","Eif2s3y",22.1844215531958,1,22.1844215531958
0,14.2160226628992,0.481,0,0,"M","Uty",14.2160226628992,1,14.2160226628992
0,10.9062837384152,0.601,0.001,0,"M","Ddx3y",10.9062837384152,0.998336106489185,10.8881368436757
0,9.5400108610516,0.258,0.001,0,"M","Kdm5d",9.5400108610516,0.996124031007752,9.50303407476846
3.47350272932016e-80,0.391051662421022,0.942,0.918,1.12142035616101e-75,"M","Plxdc2",0.391051662421022,0.0254777070063693,0.00996309967951645
1.02461214888913e-79,0.513826931625285,0.871,0.808,3.30796032268854e-75,"M","Neat1",0.513826931625285,0.0723306544202066,0.0371654382231836
2.29142776129954e-75,0.569358993295706,0.923,0.903,7.39787452735557e-71,"M","Nbas",0.569358993295706,0.0216684723726977,0.012337139616375
3.06570203582862e-74,0.266738161777525,0.986,0.974,9.89761902267269e-70,"M","Edil3",0.266738161777525,0.0121703853955375,0.00324630622852972
2.73674725322562e-70,0.316590623614021,0.943,0.912,8.8355885070389e-66,"M","Prr5l",0.316590623614021,0.0328738069989395,0.0104075390583612
9.83340203915919e-69,0.585434420520544,0.832,0.777,3.17471384834254e-64,"M","Camk2n1",0.585434420520544,0.0661057692307692,0.0387005927026801
3.41311741126709e-68,0.249141659325705,0.964,0.94,1.10192495622758e-63,"M","Slc24a2",0.249141659325705,0.024896265560166,0.00620269691267316
1.00446289261653e-64,0.329058446854821,0.982,0.981,3.24290844881246e-60,"M","Agap1",0.329058446854821,0.0010183299389002,0.000335090068080267
3.32675917599199e-64,0.262328183774875,0.998,0.996,1.07404419996901e-59,"M","Sox2ot",0.262328183774875,0.00200400801603207,0.000525707783115981
4.37309894347815e-64,0.282600129897631,0.957,0.931,1.41185499390192e-59,"M","Fnbp1",0.282600129897631,0.0271682340647857,0.00767774647579768
8.26383940974536e-58,1.74028652282688,0.219,0.122,2.66798055343629e-53,"M","Hspa1b",1.74028652282688,0.442922374429224,0.770811838877658
