"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.78096348070694e-132,1.41387177639377,1,0.981,5.74984059746234e-128,"adult","Gm42418",1.41387177639377,0.019,0.0268635637514816
2.47908857755329e-53,0.768387731355915,0.997,0.991,8.00373747263078e-49,"adult","mt-Nd2",0.768387731355915,0.00601805416248747,0.00462419898509077
4.85404529937354e-52,0.736965563802702,0.98,0.945,1.56712852490275e-47,"adult","Slc6a20a",0.736965563802702,0.0357142857142857,0.0263201987072394
5.69208466142373e-34,0.594021618598372,0.998,0.997,1.83768953294065e-29,"adult","mt-Nd4",0.594021618598372,0.00100200400801603,0.00059521204268374
4.00338214097232e-32,0.707763795499234,0.799,0.687,1.29249192421291e-27,"adult","Col4a2",0.707763795499234,0.14017521902378,0.0992109450512068
4.46799128433846e-32,0.608770157998476,0.928,0.865,1.44249098614867e-27,"adult","Slco3a1",0.608770157998476,0.0678879310344828,0.0413281465020518
2.45411842508099e-30,1.20451910661489,0.442,0.266,7.92312133537398e-26,"adult","Auts2",1.20451910661489,0.398190045248869,0.47962751756611
1.03338552903e-29,1.00925893002288,0.44,0.253,3.33628518047335e-25,"adult","Camk2a",1.00925893002288,0.425,0.428935045259724
2.76628466042662e-28,0.576134344631022,1,1,8.93095002618735e-24,"adult","mt-Co2",0.576134344631022,0,0
4.33046005352686e-27,1.4370382711621,0.29,0.142,1.39808902828115e-22,"adult","Grip1",1.4370382711621,0.510344827586207,0.733385048731001
2.98079167532007e-26,0.528668808606845,0.929,0.869,9.62348592377085e-22,"adult","Col4a1",0.528668808606845,0.0645855758880517,0.0341443794579233
4.96492316983282e-26,1.43418604424419,0.201,0.079,1.60292544538052e-21,"adult","Srgap1",1.43418604424419,0.606965174129353,0.870500982078564
5.02321580889119e-26,1.62669143070813,0.249,0.117,1.62174522390052e-21,"adult","Itga8",1.62669143070813,0.530120481927711,0.86234244519467
4.33280646775536e-25,0.689115947203689,0.742,0.614,1.39884656811482e-20,"adult","Pde3a",0.689115947203689,0.172506738544474,0.118877144531095
5.00586567100816e-24,0.743181885742466,0.689,0.534,1.61614373188498e-19,"adult","Unc13c",0.743181885742466,0.224963715529753,0.167188958331034
8.91942838556778e-32,0.55303463908597,0.938,0.889,2.87963745428056e-27,"aged","Syne1",0.55303463908597,0.0522388059701492,0.0288898692059835
8.6360152481787e-30,1.99488363127705,0.232,0.082,2.78813752287449e-25,"aged","Lrmda",1.99488363127705,0.646551724137931,1.28979545125672
1.9145958646416e-27,3.91609957756142,0.111,0.011,6.18127274899542e-23,"aged","Slc16a11",3.91609957756142,0.900900900900901,3.52801763744272
9.47336276181163e-27,0.470022064780974,0.971,0.942,3.05847516765088e-22,"aged","H3f3b",0.470022064780974,0.0298661174047374,0.0140377341695657
3.04974402672985e-24,1.88088723868165,0.271,0.125,9.84609859029733e-20,"aged","Uba52",1.88088723868165,0.538745387453875,1.01331932416059
8.63195254621628e-24,0.946924715271951,0.366,0.198,2.78682587954592e-19,"aged","Col4a4",0.946924715271951,0.459016393442623,0.434653967665814
3.51842801353143e-22,0.493437102190073,0.932,0.878,1.13592448416862e-17,"aged","Lsamp",0.493437102190073,0.0579399141630902,0.0285897033457768
2.46951976074685e-21,0.882673709758235,0.494,0.333,7.97284454757122e-17,"aged","Col4a3",0.882673709758235,0.325910931174089,0.287673010670194
2.65105058853896e-21,1.28709117734638,0.33,0.186,8.55891682509804e-17,"aged","Ldlr",1.28709117734638,0.436363636363636,0.56163978647842
1.06301863522367e-18,0.966380094847892,0.371,0.227,3.43195566381963e-14,"aged","Nrarp",0.966380094847892,0.388140161725067,0.375090926302147
1.9933203054567e-18,0.537994807098119,0.541,0.373,6.43543460616696e-14,"aged","Nr3c2",0.537994807098119,0.310536044362292,0.167066779283704
2.15289980387912e-17,0.497968823203099,0.634,0.491,6.95063701682373e-13,"aged","Dgkb",0.497968823203099,0.225552050473186,0.112317889145178
2.28712191301636e-17,0.69326059644186,0.594,0.46,7.3839730961733e-13,"aged","Gm14964",0.69326059644186,0.225589225589226,0.156392121082844
1.11532182026524e-16,0.617518451204543,0.455,0.303,3.60081649672632e-12,"aged","Hspa2",0.617518451204543,0.334065934065934,0.206291878204594
9.52145742499886e-16,0.369283294362143,0.93,0.896,3.07400252966088e-11,"aged","Zic1",0.369283294362143,0.0365591397849463,0.013500679578831
