"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
3.72908212538543e-23,0.940578063729676,0.754,0.602,1.20393416418069e-18,"ENT","Tbx15",0.940578063729676,0.20159151193634,0.18961255396142
1.65991020891577e-20,0.753718344505197,0.93,0.896,5.35902010948456e-16,"ENT","Zeb2",0.753718344505197,0.0365591397849463,0.0275552943152438
5.55478404932697e-20,1.08269178554738,0.596,0.432,1.79336203032521e-15,"ENT","Ptprd",1.08269178554738,0.275167785234899,0.297921900721091
5.50933147660037e-17,1.15961077282086,0.344,0.181,1.77868766722043e-12,"ENT","Dpp10",1.15961077282086,0.473837209302326,0.549466732470348
1.36683890200253e-16,0.634305625397884,0.812,0.739,4.41283939511518e-12,"ENT","Mark1",0.634305625397884,0.0899014778325124,0.0570250131207458
6.6603931009841e-16,2.5127402898611,0.137,0.037,2.15030791265272e-11,"ENT","Trarg1",2.5127402898611,0.72992700729927,1.83411699989862
1.58119880238421e-14,1.01768309864953,0.784,0.714,5.10490033349742e-10,"ENT","Id3",1.01768309864952,0.0892857142857144,0.0908645623794214
4.56785706307111e-14,1.25295587609888,0.313,0.174,1.47473265281251e-09,"ENT","Nr1d1",1.25295587609882,0.44408945686901,0.55642449449756
6.41015293907353e-13,0.756332126305072,0.996,0.988,2.06951787637989e-08,"ENT","Gm42418",0.756332126304587,0.00803212851405623,0.00607495683778785
7.19330688717353e-13,2.10532177068429,0.153,0.057,2.32235912852398e-08,"ENT","Dbp",2.10532177068278,0.627450980392157,1.32098620905586
3.74383009230039e-12,0.908468768114806,0.471,0.337,1.20869554529918e-07,"ENT","Astn2",0.908468768111405,0.284501061571125,0.258460328931907
9.43830238633932e-12,0.817168474707811,0.201,0.095,3.04715592542965e-07,"ENT","S100a6",0.817168474700099,0.527363184079602,0.430944568747316
6.49209170003332e-11,1.19415096354715,0.308,0.194,2.09597180535576e-06,"ENT","Nr1d2",1.19415096346962,0.37012987012987,0.441990941024471
7.49833582710989e-11,0.464208503964823,0.96,0.94,2.42083772178243e-06,"ENT","Rgs6",0.464208503930015,0.0208333333333334,0.00967101049854199
8.54823752176689e-10,0.810455700809786,0.687,0.62,2.75979848390244e-05,"ENT","Il34",0.81045570011699,0.0975254730713247,0.0790400755572611
2.47707118565618e-27,17.5000318438458,0.066,0,7.99722432289099e-23,"HIP","Ttr",17.5000318438458,1,17.5000318438458
2.36126890913299e-17,3.37329929290605,0.682,0.471,7.62335667313587e-13,"HIP","Uba52",3.37329929290605,0.309384164222874,1.04364538240935
5.5438872107856e-16,3.54608100701741,0.146,0.024,1.78984398600213e-11,"HIP","Gm50306",3.54608100701741,0.835616438356164,2.96316358120633
2.58694825600107e-15,0.841758126998405,1,0.985,8.35196244449945e-11,"HIP","Rpl35a",0.841758126998403,0.015,0.0126263719049761
3.99498079158577e-14,4.02290577913657,0.212,0.056,1.28977954856346e-09,"HIP","Xlr5a",4.02290577913641,0.735849056603774,2.9602514223834
4.81924711129405e-14,1.22015680592598,0.53,0.261,1.55589392988128e-09,"HIP","Camk2a",1.22015680592592,0.507547169811321,0.61928713357372
8.95927324257478e-14,0.929731314283126,0.96,0.915,2.89250136636527e-09,"HIP","Cox7c",0.929731314283043,0.0468749999999999,0.0435811553570176
9.20584222154196e-14,3.22278533307612,0.596,0.344,2.97210616122482e-09,"HIP","Lrp1b",3.22278533307582,0.422818791946309,1.3626542012334
2.08089216938835e-13,0.997721325775103,0.51,0.261,6.7181603688703e-09,"HIP","Mt3",0.997721325774896,0.488235294117647,0.487122764937155
1.1619790829792e-12,1.07528969307099,0.98,0.938,3.75144946939835e-08,"HIP","mt-Nd4l",1.07528969306974,0.0428571428571429,0.0460838439887034
5.75273894851674e-12,1.09939733487485,1,0.998,1.85727176952863e-07,"HIP","Fth1",1.09939733486852,0.002,0.00219879466973705
8.66841269972938e-12,0.872688220340693,0.437,0.201,2.79859704010763e-07,"HIP","Mbp",0.872688220333129,0.540045766590389,0.471291578944207
1.77267339057745e-11,0.778006691747438,0.921,0.761,5.7230760414793e-07,"HIP","Ndufb1-ps",0.778006691733646,0.173724212812161,0.135158600084021
4.74354902627185e-11,3.50236369223641,0.132,0.029,1.53145480313187e-06,"HIP","5830416I19Rik",3.50236369207028,0.78030303030303,2.73290500214575
4.8528763705776e-11,0.77591199983379,0.98,0.941,1.56675113624098e-06,"HIP","Cox6c",0.775911999796136,0.039795918367347,0.030878130604132
5.62798942560186e-39,2.06561302491452,0.366,0.104,1.81699638605556e-34,"HIP - CA","Hpca",2.06561302491452,0.715846994535519,1.47866287575848
2.55081735671118e-29,1.9850371940257,0.324,0.104,8.23531383614205e-25,"HIP - CA","Galntl6",1.9850371940257,0.679012345679012,1.34786476137548
1.21522871244649e-21,0.528980773144564,0.988,0.982,3.92336589813349e-17,"HIP - CA","Mfge8",0.528980773144564,0.00607287449392713,0.00321243384500748
5.53788844041261e-18,0.445967518466594,0.998,0.993,1.78790728298721e-13,"HIP - CA","Rps29",0.445967518466594,0.00501002004008016,0.00223430620474245
4.23060878458525e-16,1.45387737810199,0.431,0.239,1.36585204610335e-11,"HIP - CA","Camk2a",1.45387737810199,0.445475638051044,0.647666952657962
6.92085725622555e-16,0.93608329033486,0.478,0.281,2.23439876517242e-11,"HIP - CA","Ncdn",0.936083290334859,0.412133891213389,0.385791648945538
8.13540045059305e-16,2.78825147533458,0.107,0.021,2.62651403547397e-11,"HIP - CA","Gm2115",2.78825147533458,0.803738317757009,2.24102455026891
1.64726853631267e-15,1.39452172927534,0.294,0.132,5.31820646948546e-11,"HIP - CA","Epha6",1.39452172927534,0.551020408163265,0.76840993245784
4.30942462534462e-15,2.53404390546789,0.1,0.019,1.39129774029251e-10,"HIP - CA","Shisa6",2.53404390546788,0.81,2.05257556342898
8.20372282105551e-15,1.11896741794258,0.331,0.161,2.64857191277777e-10,"HIP - CA","Gria1",1.11896741794257,0.513595166163142,0.574696256949357
1.34867537045567e-14,1.52146462495044,0.228,0.091,4.35419843351613e-10,"HIP - CA","Ddn",1.52146462495042,0.600877192982456,0.914213393062314
1.88214262331873e-14,1.38871015600693,0.196,0.069,6.07649745938451e-10,"HIP - CA","Cnih2",1.3887101560069,0.647959183673469,0.899827499045287
2.02114772698304e-13,0.34066563119945,1,0.989,6.52527543656474e-09,"HIP - CA","Rpl41",0.340665631199381,0.011,0.00374732194319319
3.70406905275209e-13,0.49880434871746,0.765,0.548,1.19585869368101e-08,"HIP - CA","Galnt17",0.498804348717275,0.283660130718954,0.141490906760325
3.96020747770163e-13,1.66327434238559,0.163,0.055,1.27855298417597e-08,"HIP - CA","Cpne7",1.66327434238493,0.662576687116564,1.10204680354339
1.5476306906587e-17,1.31559246403461,0.232,0.086,4.99652568479161e-13,"PAR-POST-PRE-SUB-ProS","Sgcz",1.31559246403461,0.629310344827586,0.827915947194192
1.40003998451325e-14,0.754167191394723,0.263,0.114,4.52002909000103e-10,"PAR-POST-PRE-SUB-ProS","Tshz2",0.754167191394712,0.566539923954373,0.427265823261643
2.00189317190507e-12,0.98685740534431,0.388,0.241,6.46311210549551e-08,"PAR-POST-PRE-SUB-ProS","Npnt",0.986857405342334,0.378865979381443,0.373886697384853
2.59758673764456e-12,1.69142629150325,0.131,0.042,8.38630878248545e-08,"PAR-POST-PRE-SUB-ProS","Cntn4",1.69142629149885,0.679389312977099,1.14913694613281
1.23657058054923e-11,0.560915088100828,0.871,0.814,3.99226811930318e-07,"PAR-POST-PRE-SUB-ProS","Cnnm2",0.560915088093891,0.0654420206659013,0.0367074167868563
2.35779620975804e-10,0.597803772465305,0.644,0.511,7.61214506320383e-06,"PAR-POST-PRE-SUB-ProS","Atg4a",0.597803772324355,0.206521739130435,0.12345947471916
5.34352015193362e-10,0.481392152781597,0.969,0.923,1.72515548105177e-05,"PAR-POST-PRE-SUB-ProS","Hip1",0.481392152524364,0.0474716202270381,0.022852465444913
6.39361008189493e-10,0.407870364081358,0.873,0.798,2.06417701493978e-05,"PAR-POST-PRE-SUB-ProS","Kcnab1",0.407870363820582,0.0859106529209621,0.0350404092629365
8.91207871692797e-10,0.488801590344194,0.898,0.86,2.87726461376019e-05,"PAR-POST-PRE-SUB-ProS","Sorbs2",0.48880158990857,0.0423162583518931,0.0206842543613872
9.09871818595329e-10,0.750671682838377,0.844,0.769,2.93752116633502e-05,"PAR-POST-PRE-SUB-ProS","Enah",0.750671682155362,0.0888625592417061,0.066706606826602
9.36083640600799e-10,1.72436245108949,0.069,0.015,3.02214603367968e-05,"PAR-POST-PRE-SUB-ProS","Tox",1.72436244947534,0.782608695652174,1.34950104741548
1.13654828018936e-09,0.447527255946786,0.833,0.709,3.66934612259136e-05,"PAR-POST-PRE-SUB-ProS","Net1",0.44752725543815,0.148859543817527,0.0666187030904329
1.87590885996869e-09,0.466192561395948,0.886,0.82,6.0563717544089e-05,"PAR-POST-PRE-SUB-ProS","Fgf1",0.466192560521413,0.0744920993227992,0.0347276625219112
3.76669196558381e-09,0.306327603356813,0.978,0.96,0.000121607650108873,"PAR-POST-PRE-SUB-ProS","Mrvi1",0.306327602202971,0.0184049079754601,0.00563793132888905
4.51380286757773e-09,0.476669673913058,0.463,0.307,0.000145728125579747,"PAR-POST-PRE-SUB-ProS","Ddx3y",0.476669671761465,0.336933045356372,0.160605764135612
