"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,14.3327759092732,0.991,0.002,0,"F","Xist",14.3327759092732,0.997981836528759,14.3038500244917
3.39803486437639e-106,6.74623996590266,0.429,0.007,1.09705555596392e-101,"F","Tsix",6.74623996590266,0.983682983682984,6.63616145830052
1.64516633054846e-26,0.997640089692696,0.757,0.543,5.31141949817572e-22,"F","Gm47283",0.997640089692696,0.282694848084544,0.282027713598728
1.65344295012077e-11,0.958125100826263,0.275,0.142,5.3381405644649e-07,"F","Pbdc1",0.958125100810421,0.483636363636364,0.463384139664676
1.26160837044986e-10,0.415184050326483,0.811,0.674,4.07310262399739e-06,"F","Ddx3x",0.415184050274103,0.168927250308261,0.0701358999846511
1.39020651998867e-10,0.688172111924869,0.5,0.349,4.48828174978343e-06,"F","Kdm5c",0.688172111829199,0.302,0.207827977772418
1.79582617495135e-10,0.654822867755664,0.578,0.426,5.79782480583044e-06,"F","Kdm6a",0.654822867638069,0.262975778546713,0.172202553427312
7.04103417925802e-10,0.542020186042574,0.358,0.221,2.27319788477345e-05,"F","Eif2s3x",0.542020185660936,0.38268156424581,0.207421132501531
1.09680881867987e-09,1.69696457590135,0.236,0.123,3.54104727110795e-05,"F","Gpc5",1.69696457404011,0.478813559322034,0.812529647739543
1.58184215539839e-09,0.400480357776296,0.991,0.984,5.1069773987037e-05,"F","Rps29",0.400480357142799,0.0070635721493441,0.00282882189707325
5.8017813162147e-09,0.346690005949807,0.981,0.978,0.000187310509793992,"F","Rpl41",0.346690003938387,0.00305810397553517,0.00106021407932229
7.17505305291481e-09,0.223420016074911,1,1,0.000231646587813355,"F","Malat1",0.223420014471861,0,0
8.77291168396437e-09,0.436394051638121,0.95,0.938,0.00028323345371679,"F","Rps28",0.436394047809675,0.0126315789473684,0.00551234586706958
9.38901679684994e-09,0.386875233567372,0.662,0.527,0.0003031244072863,"F","AC149090.1",0.386875229934993,0.20392749244713,0.07889449553055
1.29791093563482e-08,1.39639959337064,0.234,0.133,0.000419030545569703,"F","Dbp",1.39639957524662,0.431623931623932,0.602719474785933
4.09848174586815e-164,20.5287668487405,0.642,0,1.32319483165353e-159,"M","Ddx3y",20.5287668487405,1,20.5287668487405
3.00875513306021e-125,10.1177585446854,0.526,0.001,9.7137659470849e-121,"M","Uty",10.1177585446854,0.998098859315589,10.0985232622811
2.99414694319218e-75,18.9869490533261,0.346,0,9.66660340609597e-71,"M","Eif2s3y",18.9869490533261,1,18.9869490533261
2.66879981563234e-57,18.3643080904347,0.272,0,8.61622020476902e-53,"M","Kdm5d",18.3643080904347,1,18.3643080904347
5.86275793028391e-19,1.15636533682325,0.473,0.281,1.89279139779216e-14,"M","Snap25",1.15636533682325,0.405919661733615,0.469391426363772
9.46534128971512e-13,1.15836338275477,0.509,0.398,3.05588543538453e-08,"M","Zbtb16",1.15836338275368,0.218074656188605,0.252609696435477
7.42522256233421e-12,0.693033464046616,0.545,0.404,2.3972331042496e-07,"M","Npas2",0.69303346404147,0.258715596330275,0.179298565926325
5.42823520863863e-09,1.51495017793869,0.219,0.118,0.000175250573710898,"M","Kif1a",1.51495016971518,0.461187214611872,0.698675649046729
1.54954346599101e-08,0.347089281252233,0.926,0.869,0.000500270107995197,"M","Snhg11",0.347089275873933,0.0615550755939525,0.0213651066142702
1.55153944825452e-08,0.858170554661445,0.35,0.234,0.000500914510868972,"M","Atp1b1",0.85817054134659,0.331428571428571,0.284422236560584
2.00341524434714e-08,0.621876651217264,0.797,0.744,0.000646802611637473,"M","Plekhg1",0.621876638758492,0.0664993726474279,0.0413544063415309
5.93287332199987e-08,0.594742601152031,0.518,0.404,0.00191542815200766,"M","Arntl",0.594742565866706,0.22007722007722,0.130889290557538
7.63487317746915e-08,1.07567740159391,0.105,0.037,0.00246491880534592,"M","Faim2",1.07567731946731,0.647619047619048,0.696629121178827
7.63606930375516e-08,0.289284553312074,0.978,0.978,0.00246530497471735,"M","Slc6a20a",0.289284531222105,0,0
2.14913752987324e-07,0.218727728769856,0.977,0.966,0.00693849051519575,"M","Actb",0.218727681762259,0.0112589559877175,0.00246264534225676
