"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,2.94761676869177,0.137,0.027,0,"ENT","Rpe65",2.94761676869177,0.802919708029197,2.36669959529996
0,2.58434652053235,0.066,0.013,0,"ENT","D030055H07Rik",2.58434652053235,0.803030303030303,2.0753085695184
0,1.75425334286589,0.19,0.072,0,"ENT","Pdzph1",1.75425334286589,0.621052631578947,1.08948365504303
0,1.64870934892341,0.455,0.284,0,"ENT","Gabbr2",1.64870934892341,0.375824175824176,0.619624832232753
0,1.64164508483541,0.078,0.027,0,"ENT","Hs3st3a1",1.64164508483541,0.653846153846154,1.07338332470008
0,1.52704925828886,0.08,0.03,0,"ENT","Gm48163",1.52704925828886,0.625,0.954405786430536
0,1.48205911370062,0.195,0.072,0,"ENT","Fmo1",1.48205911370062,0.630769230769231,0.934837287103467
0,1.47452016750858,0.091,0.036,0,"ENT","Adra1b",1.47452016750858,0.604395604395604,0.891193507834854
0,1.47234460441683,0.339,0.187,0,"ENT","Ptchd4",1.47234460441683,0.448377581120944,0.660166312304889
0,1.44655790578246,0.169,0.073,0,"ENT","Chrdl1",1.44655790578246,0.568047337278107,0.82171336659832
0,1.36520598995876,0.336,0.178,0,"ENT","C030005K06Rik",1.36520598995876,0.470238095238095,0.641971864325847
0,1.30949061466608,0.141,0.064,0,"ENT","Slc25a21",1.30949061466608,0.546099290780142,0.715111895952398
0,1.29699841954544,0.137,0.067,0,"ENT","Gm26843",1.29699841954544,0.510948905109489,0.662699922395481
0,1.27503084054063,0.132,0.067,0,"ENT","Ntng1",1.27503084054063,0.492424242424242,0.627856095720767
0,1.27318183266319,0.185,0.104,0,"ENT","Tnc",1.27318183266319,0.437837837837838,0.557447180787667
0,5.79550704780152,0.059,0.001,0,"HIP","Ttr",5.79550704780152,0.983050847457627,5.69727811478794
0,3.05623454253554,0.52,0.318,0,"HIP","Uba52",3.05623454253554,0.388461538461538,1.18722957229265
0,2.18914374033225,0.133,0.039,0,"HIP","Cabp7",2.18914374033225,0.706766917293233,1.5472143728664
0,1.92316911529005,0.327,0.128,0,"HIP","Ddn",1.92316911529005,0.608562691131499,1.1703689723019
0,1.9138497343015,0.615,0.314,0,"HIP","Camk2a",1.9138497343015,0.489430894308943,0.936697187032115
0,1.75771562751916,0.282,0.131,0,"HIP","Cnih2",1.75771562751916,0.535460992907801,0.941188155160971
0,1.66517103028007,0.32,0.156,0,"HIP","Psd",1.66517103028007,0.5125,0.853400153018534
0,1.39769456770663,0.929,0.859,0,"HIP","mt-Nd4l",1.39769456770663,0.0753498385360603,0.105316059999423
0,1.30005381384895,0.803,0.755,0,"HIP","AY036118",1.30005381384895,0.0597758405977585,0.077711809545143
0,1.17182458143127,0.385,0.178,0,"HIP","Hpca",1.17182458143127,0.537662337662338,0.630045943782529
0,1.16529137722115,0.946,0.902,0,"HIP","Cd81",1.16529137722115,0.0465116279069767,0.0541995989405184
0,1.07332785270877,0.69,0.478,0,"HIP","Plp1",1.07332785270877,0.307246376811594,0.329776093875739
0,0.989612528081921,0.879,0.78,0,"HIP","mt-Atp8",0.989612528081921,0.112627986348123,0.111458066302742
0,0.978126675083333,0.577,0.394,0,"HIP","Ncdn",0.978126675083333,0.317157712305026,0.310220418613951
0,0.947994004564919,0.996,0.974,0,"HIP","Fth1",0.947994004564919,0.0220883534136546,0.0209396266068557
0,2.63637889043557,0.092,0.016,0,"HIP - CA","Fibcd1",2.63637889043557,0.826086956521739,2.17787821383808
0,2.31714742295021,0.438,0.118,0,"HIP - CA","Hpca",2.31714742295021,0.730593607305936,1.69289309439285
0,1.7083715481216,0.353,0.142,0,"HIP - CA","Epha6",1.7083715481216,0.597733711048159,1.02115126530781
0,1.58213587790093,0.067,0.02,0,"HIP - CA","Cntnap5c",1.58213587790093,0.701492537313433,1.10985651136334
0,1.57199288697663,0.169,0.063,0,"HIP - CA","Cpne7",1.57199288697663,0.627218934911243,0.985983704257528
0,1.51888123427467,0.132,0.043,0,"HIP - CA","Wipf3",1.51888123427467,0.674242424242424,1.02409416553368
0,1.5140559016402,0.091,0.032,0,"HIP - CA","Cabp7",1.5140559016402,0.648351648351648,0.981640639524967
0,1.34567101471929,0.156,0.063,0,"HIP - CA","Nptx1",1.34567101471929,0.596153846153846,0.802226951082655
0,1.31658892586186,0.102,0.038,0,"HIP - CA","Neurod6",1.31658892586186,0.627450980392157,0.826095012305478
0,1.30855368586413,0.226,0.122,0,"HIP - CA","Cd38",1.30855368586413,0.460176991150443,0.602166297919777
0,1.27597896123745,0.245,0.111,0,"HIP - CA","Cnih2",1.27597896123745,0.546938775510204,0.697882370635993
0,1.24485511201675,0.126,0.055,0,"HIP - CA","Ociad2",1.24485511201675,0.563492063492064,0.701465975818963
0,1.24234175791709,0.364,0.158,0,"HIP - CA","Galntl6",1.24234175791709,0.565934065934066,0.703083522337695
0,1.20320508656058,0.183,0.07,0,"HIP - CA","Stum",1.20320508656058,0.617486338797814,0.742962703723202
0,1.19011794051046,0.338,0.162,0,"HIP - CA","Grin2a",1.19011794051046,0.520710059171598,0.619706383224384
0,1.37866004724344,0.134,0.054,0,"PAR-POST-PRE-SUB-ProS","Zmat4",1.37866004724344,0.597014925373134,0.823080625219964
0,0.877015218503946,0.356,0.217,0,"PAR-POST-PRE-SUB-ProS","Lingo2",0.877015218503946,0.390449438202247,0.342430099359687
0,0.828516149118657,0.837,0.72,0,"PAR-POST-PRE-SUB-ProS","Meg3",0.828516149118657,0.139784946236559,0.115814085360673
0,0.811653413802644,0.202,0.113,0,"PAR-POST-PRE-SUB-ProS","Cntn5",0.811653413802644,0.440594059405941,0.357609672417997
0,0.564509929972429,0.567,0.417,0,"PAR-POST-PRE-SUB-ProS","Tenm2",0.564509929972429,0.264550264550265,0.149341251315457
1.00789391751614e-321,0.553120043251168,0.587,0.475,3.25398551270087e-317,"PAR-POST-PRE-SUB-ProS","Kcnq3",0.553120043251168,0.190800681431005,0.10553568116547
2.89649739773339e-317,1.68082236279019,0.059,0.017,9.35134184858226e-313,"PAR-POST-PRE-SUB-ProS","Vwc2l",1.68082236279019,0.711864406779661,1.19651761418962
1.22543179886148e-307,0.246449186430974,0.48,0.343,3.9563065626243e-303,"PAR-POST-PRE-SUB-ProS","Dpp10",0.246449186430974,0.285416666666667,0.0703407052938405
6.56940955869661e-292,0.5700805474318,0.474,0.37,2.1209338760252e-287,"PAR-POST-PRE-SUB-ProS","Zbtb16",0.5700805474318,0.219409282700422,0.125080963993475
1.8559233798094e-281,0.365601220029406,0.71,0.606,5.99184863171464e-277,"PAR-POST-PRE-SUB-ProS","Snhg11",0.365601220029406,0.146478873239437,0.0535528547648707
1.54605015907386e-269,2.51280243891216,0.028,0.005,4.99142293856995e-265,"PAR-POST-PRE-SUB-ProS","Slc17a6",2.51280243891216,0.821428571428571,2.06408771767784
3.96963962583776e-264,0.261468672110443,1,1,1.28159815320172e-259,"PAR-POST-PRE-SUB-ProS","Malat1",0.261468672110443,0,0
1.18177330617676e-263,0.378994013904252,0.819,0.737,3.81535511899168e-259,"PAR-POST-PRE-SUB-ProS","Ptprd",0.378994013904252,0.1001221001221,0.0379456766057982
1.30000418262005e-254,0.261069612422492,0.442,0.312,4.19706350358885e-250,"PAR-POST-PRE-SUB-ProS","Tshz2",0.261069612422492,0.294117647058824,0.0767851801242624
5.27352055088189e-236,1.7464128077353,0.491,0.406,1.70255610985222e-231,"PAR-POST-PRE-SUB-ProS","Pde10a",1.7464128077353,0.173116089613035,0.302332156125255
