"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,13.8105488059028,0.976,0.002,0,"F","Xist",13.8105488059028,0.997950819672131,13.7822485009727
0,6.08787201259609,0.462,0.009,0,"F","Tsix",6.08787201259609,0.98051948051948,5.9692771032598
0,0.988857485813819,0.758,0.596,0,"F","Gm47283",0.988857485813819,0.213720316622691,0.211338934962848
0,0.6781949422375,0.565,0.417,0,"F","Kdm6a",0.6781949422375,0.261946902654867,0.17765106451531
0,0.587883103181513,0.66,0.533,0,"F","Ddx3x",0.587883103181513,0.192424242424242,0.113122960763715
0,0.482904924703325,0.782,0.675,0,"F","AC149090.1",0.482904924703325,0.136828644501279,0.066075226270148
1.63064456029289e-303,0.486395020936046,0.478,0.377,5.2645359629056e-299,"F","Kdm5c",0.486395020936046,0.211297071129707,0.102773843335859
7.70259096158824e-297,0.560489920979181,0.332,0.237,2.48678149194876e-292,"F","Eif2s3x",0.560489920979181,0.286144578313253,0.160381152087416
1.96381603190699e-242,0.186420305493634,0.998,0.996,6.34018005901171e-238,"F","Gm42418",0.186420305493634,0.00200400801603207,0.000373587786560389
1.59288749415839e-216,0.279156837419146,0.689,0.606,5.14263727489037e-212,"F","Atp5k",0.279156837419146,0.120464441219158,0.0336284724322048
3.01668093467453e-213,0.486960556280154,0.361,0.278,9.73935439759671e-209,"F","Jpx",0.486960556280154,0.229916897506925,0.111960460308179
2.01546998013672e-192,0.208979849820722,0.81,0.743,6.50694483087139e-188,"F","Atp5e",0.208979849820722,0.0827160493827161,0.0172859875777634
3.77789943034402e-177,0.374265541812681,0.973,0.949,1.21969483108657e-172,"F","Rps29",0.374265541812681,0.0246659815005139,0.00923162693063141
6.58888109876996e-173,0.337078748759117,0.814,0.767,2.12722026273788e-168,"F","mt-Atp8",0.337078748759117,0.0577395577395577,0.0194627778767549
4.09133476849378e-166,0.174320225424978,0.968,0.941,1.32088743000822e-161,"F","Rpl41",0.174320225424978,0.0278925619834711,0.00486223769263886
0,12.8181464527178,0.474,0,0,"M","Eif2s3y",12.8181464527178,1,12.8181464527178
0,11.0341340336725,0.486,0.001,0,"M","Uty",11.0341340336725,0.997942386831276,11.0114300541794
0,10.9871906501733,0.513,0,0,"M","Ddx3y",10.9871906501733,1,10.9871906501733
0,9.34242303518072,0.221,0.001,0,"M","Kdm5d",9.34242303518072,0.995475113122172,9.30014962778171
0,0.609708623166629,0.556,0.439,0,"M","Snap25",0.609708623166629,0.210431654676259,0.128301994443337
9.54422328738895e-243,20.2136029420855,0.021,0,3.08135248833352e-238,"M","Gm29650",20.2136029420855,1,20.2136029420855
6.18320563932572e-185,1.83975720292553,0.085,0.044,1.99624794065631e-180,"M","Hspa1b",1.83975720292553,0.482352941176471,0.887412297881725
5.05255048471406e-132,0.285401604072975,0.835,0.802,1.63121592398993e-127,"M","Camk2n1",0.285401604072975,0.0395209580838322,0.0112793448316265
1.2921680023986e-131,0.255028669448777,0.655,0.599,4.17176439574388e-127,"M","Snhg11",0.255028669448777,0.0854961832061069,0.0218039778460023
1.12220613794332e-130,0.489733860817347,0.288,0.228,3.62304251635002e-126,"M","Srcin1",0.489733860817347,0.208333333333333,0.102027887670281
3.57365834703706e-127,0.293675551301101,0.883,0.87,1.15375559734092e-122,"M","Kif1b",0.293675551301101,0.014722536806342,0.00432364911315325
3.94262921095316e-125,0.407947191789642,0.766,0.746,1.27287784075623e-120,"M","Fnbp1",0.407947191789642,0.0261096605744126,0.0106513627099123
3.10434753369129e-119,0.305967291162258,0.8,0.783,1.00223860125223e-114,"M","Cdc42bpa",0.305967291162258,0.02125,0.00650180493719798
4.0105759271132e-116,0.243442182017088,0.886,0.88,1.2948144380685e-111,"M","Ank2",0.243442182017088,0.00677200902934538,0.00164859265474326
3.13234781991312e-111,0.50642577197622,0.356,0.304,1.01127849365895e-106,"M","Il33",0.50642577197622,0.146067415730337,0.0739723037718074
