"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,3.63639263078621,0.087,0.006,0,"adult","Gpx8",3.63639263078621,0.931034482758621,3.3856069321113
0,2.4639318853853,0.119,0.024,0,"adult","Dpysl3",2.4639318853853,0.798319327731092,1.967004446316
0,2.27464079421848,0.383,0.217,0,"adult","Nrg1",2.27464079421848,0.433420365535248,0.985875644491563
0,2.14169205316703,0.338,0.171,0,"adult","Mbp",2.14169205316703,0.494082840236686,1.0581732925411
0,2.09809702421515,0.165,0.042,0,"adult","Sncaip",2.09809702421515,0.745454545454545,1.56403596350584
0,1.92689500363156,0.315,0.101,0,"adult","Csmd2",1.92689500363156,0.679365079365079,1.30906517707033
0,1.7077522049838,0.265,0.097,0,"adult","Adamts20",1.7077522049838,0.633962264150943,1.08265045448029
0,1.70238632991857,0.283,0.133,0,"adult","Kif5a",1.70238632991857,0.530035335689046,0.902324909850833
0,1.66193035555143,0.294,0.14,0,"adult","Shank1",1.66193035555143,0.523809523809524,0.870534948145987
0,1.65235644478793,0.452,0.208,0,"adult","Camk2a",1.65235644478793,0.539823008849558,0.891980027717376
0,1.61782062651039,0.37,0.172,0,"adult","Dcc",1.61782062651039,0.535135135135135,0.865752659592045
0,1.52470196636544,0.225,0.08,0,"adult","Ddn",1.52470196636544,0.644444444444444,0.982585711657727
0,1.35060321983796,0.49,0.306,0,"adult","Plp1",1.35060321983796,0.375510204081633,0.507165290714662
0,1.34569963274381,0.325,0.166,0,"adult","Cadps",1.34569963274381,0.489230769230769,0.658357666480817
0,1.33667169701727,0.783,0.524,0,"adult","Csmd1",1.33667169701727,0.330779054916986,0.442143000673655
0,3.83060180936324,0.255,0.042,0,"aged","C130073E24Rik",3.83060180936324,0.835294117647059,3.1996791584093
0,2.40917774433198,0.396,0.118,0,"aged","Cped1",2.40917774433198,0.702020202020202,1.69129144677851
0,2.02599479388693,0.222,0.086,0,"aged","Rpe65",2.02599479388693,0.612612612612613,1.24114996382262
0,1.75343330820555,0.858,0.551,0,"aged","AC149090.1",1.75343330820555,0.357808857808858,0.627393969253034
0,1.47014742650432,0.563,0.32,0,"aged","Dach1",1.47014742650432,0.431616341030195,0.634539653002751
0,1.40816600835485,0.779,0.493,0,"aged","Brinp3",1.40816600835485,0.367137355584082,0.516990344530792
0,1.38172855323568,0.681,0.441,0,"aged","Erbb4",1.38172855323568,0.352422907488987,0.48695279409187
0,1.36661622572761,0.542,0.27,0,"aged","Shroom3",1.36661622572761,0.501845018450184,0.685829545014594
0,1.27582704586618,0.387,0.213,0,"aged","3222401L13Rik",1.27582704586618,0.449612403100775,0.573627664032858
0,1.19969208107062,0.463,0.262,0,"aged","Thsd7a",1.19969208107062,0.434125269978402,0.520816648585736
0,1.16994290436819,0.37,0.201,0,"aged","Acss3",1.16994290436819,0.456756756756757,0.534379326589796
0,1.13205905709617,0.602,0.392,0,"aged","Lrmda",1.13205905709617,0.348837209302326,0.394904322242851
0,1.1109640413345,0.618,0.47,0,"aged","Pigk",1.1109640413345,0.239482200647249,0.266056113458748
0,1.08143692250339,0.613,0.439,0,"aged","C030005K06Rik",1.08143692250339,0.283849918433931,0.30696578224403
0,1.04377578959518,0.692,0.518,0,"aged","Pcdh11x",1.04377578959518,0.251445086705202,0.262452293915552
