"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,14.3437094268595,0.997,0.002,0,"F","Xist",14.3437094268595,0.997993981945838,14.3149356867856
0,6.57027137440112,0.577,0.009,0,"F","Tsix",6.57027137440112,0.984402079722704,6.46778880530301
0,0.881165081184587,0.736,0.568,0,"F","Gm47283",0.881165081184587,0.228260869565217,0.201135507661699
0,0.823413823502277,0.516,0.336,0,"F","Kdm6a",0.823413823502277,0.348837209302326,0.287237380291492
0,0.55690139594269,0.987,0.963,0,"F","Mt2",0.55690139594269,0.0243161094224924,0.0135416752812812
0,0.418899972958457,0.999,0.998,0,"F","Mt1",0.418899972958457,0.001001001001001,0.000419319292250708
0,0.301936065922991,1,0.998,0,"F","Mt3",0.301936065922991,0.002,0.000603872131845983
2.55191972203871e-315,0.639701998179712,0.623,0.466,8.23887282260196e-311,"F","Ddx3x",0.639701998179712,0.252006420545746,0.161209010777231
4.77847107570522e-233,0.45328173701764,0.889,0.802,1.54272938679143e-228,"F","mt-Atp8",0.45328173701764,0.0978627671541057,0.0443594050849659
3.17573649236877e-232,0.23506544506936,0.999,0.997,1.02528652656126e-227,"F","Gm42418",0.23506544506936,0.002002002002002,0.00047060149163035
1.45117262981835e-217,0.331284558903665,0.993,0.989,4.68511083536854e-213,"F","Mfge8",0.331284558903665,0.00402819738167171,0.00133447959276401
3.23356390990308e-212,0.424468225697522,0.812,0.697,1.04395610831221e-207,"F","AC149090.1",0.424468225697522,0.141625615763547,0.0601155738364718
1.1283752199369e-208,0.221553196737254,0.995,0.99,3.64295939756629e-204,"F","Atp1b2",0.221553196737254,0.00502512562814071,0.00111333264692088
1.29223689390172e-205,0.114261817223863,0.994,0.984,4.17198681196171e-201,"F","mt-Nd3",0.114261817223863,0.0100603621730382,0.00114951526382156
3.61439850218401e-204,0.226603509263615,0.995,0.99,1.16690855643011e-199,"F","Clu",0.226603509263615,0.00502512562814071,0.00113871110182721
0,14.3301714947774,0.56,0,0,"M","Eif2s3y",14.3301714947774,1,14.3301714947774
0,11.9323806278637,0.525,0,0,"M","Ddx3y",11.9323806278637,1,11.9323806278637
0,11.5385396480379,0.538,0,0,"M","Uty",11.5385396480379,1,11.5385396480379
0,9.74795198289097,0.232,0.001,0,"M","Kdm5d",9.74795198289097,0.995689655172414,9.70593494848196
1.5683220326153e-198,0.673071782125042,0.469,0.349,5.06332768229851e-194,"M","Snap25",0.673071782125042,0.255863539445629,0.172214528475491
8.7143780023236e-134,19.4518148871319,0.026,0,2.81343693805017e-129,"M","Gm29650",19.4518148871319,1,19.4518148871319
3.39595981232758e-104,0.527004393447381,0.708,0.671,1.09638562540996e-99,"M","Adam23",0.527004393447381,0.0522598870056496,0.027541190053041
7.94799596815084e-92,0.172027913497896,0.997,0.998,2.5660104983175e-87,"M","Msi2",0.172027913497896,0.00100200400801603,0.000172372658815527
2.49752370262348e-88,0.410378213920161,0.687,0.651,8.06325527391989e-84,"M","Pcyt2",0.410378213920161,0.0524017467248909,0.0215045352272574
8.05639305788158e-88,0.129631984838092,1,1,2.60100649873707e-83,"M","Nrxn1",0.129631984838092,0,0
2.79702133869053e-87,0.204112066707202,0.991,0.992,9.03018339196239e-83,"M","Syne1",0.204112066707202,0.00100806451612903,0.000205758131761292
2.8808038896771e-84,0.346904986123334,0.899,0.898,9.30067535782253e-80,"M","Actb",0.346904986123334,0.00111234705228031,0.000385878738735634
4.73760147555806e-82,0.264353871595093,0.962,0.966,1.52953463638392e-77,"M","Auts2",0.264353871595093,0.00414078674948241,0.00109463300867533
7.3635016023203e-78,0.191972602326045,0.984,0.987,2.37730649230911e-73,"M","Tnik",0.191972602326045,0.00303951367781155,0.000583503350535091
4.25376477790199e-77,0.249156544347043,0.974,0.975,1.37332795854566e-72,"M","Ddhd1",0.249156544347043,0.00102564102564103,0.000255545173689275
