"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,1.38566497780695,0.962,0.863,0,"adult","Sparc",1.38566497780695,0.102910602910603,0.142599618298221
1.72985287162782e-256,1.73848281852166,0.588,0.289,5.58482999605041e-252,"adult","Auts2",1.73848281852166,0.508503401360544,0.884024426425131
4.68875351863096e-238,0.737399471858708,0.999,0.99,1.51376407349001e-233,"adult","Gm42418",0.737399471858708,0.00900900900900902,0.0066432384852136
3.70200637071786e-207,1.22826226666242,0.672,0.4,1.19519275678626e-202,"adult","Adgrl3",1.22826226666242,0.404761904761905,0.497153774601454
1.46111916176623e-197,1.65628442132372,0.614,0.364,4.71722321376229e-193,"adult","Zbtb16",1.65628442132372,0.407166123778502,0.674382907705098
2.71668938883543e-174,0.95523597144949,0.656,0.398,8.77083169185517e-170,"adult","Hmgcs2",0.95523597144949,0.393292682926829,0.375687318039586
9.5094680762921e-146,1.9934516958182,0.256,0.074,3.07013176843091e-141,"adult","Rbms3",1.9934516958182,0.7109375,1.41721956499575
6.12642044400672e-142,1.41397475395389,0.409,0.193,1.97791484034757e-137,"adult","Abca1",1.41397475395389,0.528117359413203,0.746744613335063
5.39630027580105e-132,0.763195402872551,0.899,0.802,1.74219554404237e-127,"adult","Tbc1d4",0.763195402872551,0.10789766407119,0.0823470011998192
1.00701956002678e-120,2.24328035457266,0.189,0.046,3.25116264954647e-116,"adult","Itga4",2.24328035457266,0.756613756613757,1.69729677621106
3.33036880016609e-108,0.687038043891135,0.759,0.569,1.07520956713362e-103,"adult","Tsc22d3",0.687038043891135,0.250329380764163,0.17198580808869
8.48803936587634e-101,0.529066031316328,0.892,0.814,2.74036350927318e-96,"adult","Col4a1",0.529066031316328,0.0874439461883409,0.046263621572504
5.75196592217061e-100,0.950464406178547,0.43,0.24,1.85702219797278e-95,"adult","Nrep",0.950464406178547,0.441860465116279,0.419972644590521
2.02176973325828e-96,0.535698562017989,0.85,0.7,6.52728358382437e-92,"adult","Cdkn1a",0.535698562017989,0.176470588235294,0.0945350403561158
4.09553423059232e-95,1.2049813944972,0.313,0.146,1.32224322634673e-90,"adult","Rbm20",1.2049813944972,0.533546325878594,0.642913395786044
0,2.09547209366532,0.692,0.392,0,"aged","Hdac9",2.09547209366532,0.433526011560694,0.908441659103462
5.20708898817427e-301,3.1480911196823,0.391,0.091,1.68110867983206e-296,"aged","Rasgrf2",3.1480911196823,0.767263427109975,2.41541518134192
1.39111477769759e-248,2.51847529899448,0.4,0.124,4.49121405979666e-244,"aged","Ntn4",2.51847529899448,0.69,1.73774795630619
4.61613526072514e-174,3.41347004253866,0.235,0.046,1.49031926892511e-169,"aged","H2-Q7",3.41347004253866,0.804255319148936,2.74530143846726
1.49982102357721e-171,1.74256843593571,0.455,0.219,4.84217217461901e-167,"aged","Fmo2",1.74256843593571,0.518681318681319,0.903837694243579
6.16578658232275e-140,0.622774735689674,0.963,0.938,1.9906241981029e-135,"aged","H3f3b",0.622774735689674,0.0259605399792316,0.0161675684239272
7.79852453726721e-137,1.42310636918539,0.519,0.31,2.51775364685672e-132,"aged","Alpl",1.42310636918539,0.402697495183044,0.573081370249993
3.77349790840839e-135,0.504642511393772,0.986,0.97,1.21827379972965e-130,"aged","Slc6a6",0.504642511393772,0.0162271805273834,0.00818892513417887
2.85580253663459e-124,0.422759812324987,1,0.999,9.21995848952477e-120,"aged","Bsg",0.422759812324987,0.001,0.000422759812324987
2.65671761347109e-120,3.46757583049165,0.158,0.026,8.57721281509141e-116,"aged","H2-Q6",3.46757583049165,0.835443037974684,2.89696208623353
4.62404011075816e-119,0.926455380030356,0.777,0.692,1.49287134975827e-114,"aged","Smad7",0.926455380030356,0.109395109395109,0.101349687648109
4.47894964914162e-107,1.24890275378493,0.488,0.312,1.44602889422537e-102,"aged","Cystm1",1.24890275378493,0.360655737704918,0.450423943988007
2.91373244358573e-105,1.05903572438044,0.605,0.445,9.40698519411652e-101,"aged","Vwf",1.05903572438044,0.264462809917355,0.280075563472513
3.71265070740721e-103,0.534418184896621,0.962,0.935,1.19862928088642e-98,"aged","Syne1",0.534418184896621,0.028066528066528,0.014999262985664
1.09021011263465e-94,2.06584453724637,0.548,0.42,3.51974334864098e-90,"aged","Uba52",2.06584453724637,0.233576642335766,0.482533030597692
