"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.72659569873639e-105,1.30140244716117,0.348,0.167,5.57431421337044e-101,"ENT","Dpp10",1.30140244716117,0.520114942528736,0.676878859011988
9.99774228772659e-101,1.61454052659094,0.277,0.117,3.22777109759253e-96,"ENT","Nr1d1",1.61454052659094,0.577617328519856,0.932586585756501
5.16975289596068e-99,0.479500790675868,0.983,0.972,1.6690547224609e-94,"ENT","Plcb1",0.479500790675868,0.0111902339776195,0.00536572604011653
8.83755059212015e-86,0.597198497158601,0.944,0.91,2.85320320866599e-81,"ENT","St6galnac3",0.597198497158601,0.0360169491525423,0.021509267906136
4.50344994702116e-70,0.56442116833715,0.895,0.866,1.45393881539578e-65,"ENT","Cobll1",0.56442116833715,0.0324022346368715,0.0182885071304775
7.86790413736745e-68,1.66120100580374,0.182,0.072,2.54015285074908e-63,"ENT","Pcp4",1.66120100580374,0.604395604395604,1.00402258592534
3.42245532794729e-64,0.3433090326629,0.981,0.984,1.10493970262778e-59,"ENT","Rps14",0.3433090326629,0.00304878048780488,0.00104667388006982
5.18539098226004e-64,0.64304232123372,0.776,0.696,1.67410347862265e-59,"ENT","Mef2c",0.64304232123372,0.103092783505155,0.0662930228076
5.46537163221187e-63,0.337581884417745,0.976,0.966,1.7644952314596e-58,"ENT","Foxp1",0.337581884417745,0.0102459016393443,0.0034588307829687
2.34758880869228e-60,0.940208699551238,0.388,0.25,7.57919046886304e-56,"ENT","Crispld1",0.940208699551238,0.355670103092784,0.334404125098121
1.38789504096088e-55,0.39413259729832,0.965,0.955,4.4808191397422e-51,"ENT","Lef1",0.39413259729832,0.0103626943005181,0.00408427561967171
3.80548948315864e-55,1.26992593674247,0.24,0.127,1.22860227963777e-50,"ENT","Nrg1",1.26992593674247,0.470833333333333,0.597923461882912
4.67008080136355e-55,0.393913039779292,0.972,0.965,1.50773558672022e-50,"ENT","Ebf1",0.393913039779292,0.00720164609053499,0.00283682230293729
4.69519703665345e-54,0.823262502948792,0.374,0.243,1.51584436328357e-49,"ENT","Fmo1",0.823262502948792,0.350267379679144,0.288361999695967
1.93731146075982e-53,0.559028007757217,0.842,0.788,6.25461005106309e-49,"ENT","9530026P05Rik",0.559028007757217,0.0641330166270783,0.035852152516496
7.5635803619574e-156,11.6255836924649,0.073,0,2.44190191985795e-151,"HIP","Ttr",11.6255836924649,1,11.6255836924649
7.89045791275562e-96,0.933470185522946,0.994,0.976,2.54743433713315e-91,"HIP","Fth1",0.933470185522946,0.0181086519114688,0.0169038866593693
3.84849485422571e-90,0.556871700020363,1,0.995,1.24248656368677e-85,"HIP","mt-Nd2",0.556871700020363,0.005,0.00278435850010182
3.70905616650971e-80,1.36208437367199,0.575,0.298,1.19746878335766e-75,"HIP","Camk2a",1.36208437367199,0.481739130434783,0.65616934175155
1.84120537221882e-78,0.457033019637439,1,0.996,5.94433154420847e-74,"HIP","mt-Nd4",0.457033019637439,0.004,0.00182813207854976
1.17455629357829e-76,1.39636468009378,0.472,0.213,3.79205499381752e-72,"HIP","Mbp",1.39636468009378,0.548728813559322,0.766225534204001
5.25927769763577e-74,1.2500413332231,0.898,0.768,1.69795780468171e-69,"HIP","mt-Nd4l",1.2500413332231,0.144766146993318,0.180963667393099
4.65346440859185e-70,5.25707393479672,0.046,0.002,1.50237098431388e-65,"HIP","C1ql2",5.25707393479672,0.956521739130435,5.02850550284903
5.14156859080824e-68,0.440563904826973,0.998,0.99,1.65995541954244e-63,"HIP","mt-Cytb",0.440563904826973,0.00801603206412826,0.00353157438739057
3.41212986075202e-67,3.17084973607674,0.623,0.475,1.10160612554379e-62,"HIP","Uba52",3.17084973607674,0.237560192616372,0.753267674059963
6.98431998370173e-52,0.325059183177764,1,1,2.25488770673811e-47,"HIP","mt-Co1",0.325059183177764,0,0
2.08444426015331e-50,1.05258176125107,0.55,0.324,6.72962829390495e-46,"HIP","Plp1",1.05258176125107,0.410909090909091,0.432515414623166
4.14365675530307e-47,1.0433712207471,0.361,0.169,1.3377795834496e-42,"HIP","Hpca",1.0433712207471,0.53185595567867,0.554923197738067
2.92496144985624e-46,0.472052127527135,1,0.999,9.44323804086087e-42,"HIP","Tmsb4x",0.472052127527135,0.001,0.000472052127527136
1.38971162359176e-45,1.11537813712695,0.494,0.29,4.48668397676599e-41,"HIP","Mt3",1.11537813712695,0.412955465587045,0.460601497922871
1.88178240230839e-271,2.37868511678696,0.428,0.116,6.07533448585263e-267,"HIP - CA","Hpca",2.37868511678696,0.728971962616822,1.73399475803161
1.54275244249325e-165,1.84001087684412,0.423,0.164,4.98077626058946e-161,"HIP - CA","Gria1",1.84001087684412,0.612293144208038,1.12662604515988
2.47614674838408e-144,1.89299113978685,0.333,0.116,7.99423977715799e-140,"HIP - CA","Galntl6",1.89299113978685,0.651651651651652,1.23357080280404
7.05023718360489e-132,1.27940953797887,0.614,0.362,2.27616907472684e-127,"HIP - CA","Nrgn",1.27940953797887,0.41042345276873,0.525099680082532
2.61107512133506e-130,1.91425696589256,0.342,0.132,8.42985602923025e-126,"HIP - CA","Epha6",1.91425696589256,0.614035087719298,1.17542094396911
8.40405691761083e-106,1.22614677081673,0.502,0.27,2.71324977585066e-101,"HIP - CA","Camk2a",1.22614677081673,0.462151394422311,0.566665439899367
9.66772532402229e-105,0.777162623637929,0.977,0.955,3.1212251208606e-100,"HIP - CA","mt-Nd3",0.777162623637929,0.022517911975435,0.017500079549677
1.41870628800321e-102,1.88274269764469,0.212,0.065,4.58029325081837e-98,"HIP - CA","Cacnb2",1.88274269764469,0.693396226415094,1.3054866818574
