"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.69024361503281e-05,1.96822959007369,1,1,0.545695151113344,"adult","Gm42418",1.96819632219871,0,0
0.000696990986975166,14.7004597401621,0.448,0,1,"adult","Rims2",14.6902136522189,1,14.6902136522189
0.00702377853764601,14.2255127224347,0.31,0,1,"adult","Slc44a5",14.1255958714878,1,14.1255958714878
0.00405114996457173,13.9886326748483,0.345,0,1,"adult","Ephx1",13.9319626260832,1,13.9319626260832
0.00405114996457173,13.8528717191774,0.345,0,1,"adult","Adck1",13.796751658403,1,13.796751658403
0.00365653772918174,4.36710378672178,0.414,0.05,1,"adult","Slc25a23",4.35113530695838,0.879227053140097,3.82563587375085
0.0079335072346458,3.94192871055498,0.379,0.05,1,"adult","Ubxn6",3.91065539061134,0.868073878627968,3.39473779290536
0.00431726951085422,3.89761262869747,0.414,0.05,1,"adult","Ppp1r14c",3.88078558453048,0.879227053140097,3.4120916733553
0.00756900013146735,3.53500764928316,0.414,0.05,1,"adult","Sgcg",3.508251175921,0.879227053140097,3.0845493430803
0.00562239649381453,3.26652747250028,0.517,0.2,1,"adult","Lars2",3.24816175989195,0.613152804642166,1.99161949300918
0.00634761140834077,3.0284584922922,0.448,0.1,1,"adult","Kpna1",3.00923501461684,0.776785714285714,2.33753077028272
0.0032524232367429,2.69161883088175,0.552,0.15,1,"adult","Ccdc157",2.68286454725174,0.728260869565217,1.95382526810724
0.000865574702053956,2.64679290928486,0.69,0.2,1,"adult","Ect2l",2.644501912301,0.710144927536232,1.87797961888042
0.00753003975165522,2.32614307159339,0.483,0.1,1,"adult","Sbds",2.30862712179625,0.79296066252588,1.83065049202477
0.00596325459136188,1.99905864506062,0.69,0.25,1,"adult","Ndufa1",1.98713774941706,0.63768115942029,1.2671603039761
0.00530758011437603,14.8879208779838,0.25,0,1,"aged","Sema3c",14.8089020451874,1,14.8089020451874
0.000735475090855092,14.5984813502463,0.35,0,1,"aged","Ndrg1",14.5877445308489,1,14.5877445308489
0.00530758011437603,14.3240339401691,0.25,0,1,"aged","Snx16",14.2480079824706,1,14.2480079824706
0.00200226780353005,14.3140392714155,0.3,0,1,"aged","Gm15579",14.2853787314439,1,14.2853787314439
0.000735475090855092,14.1850279881889,0.35,0,1,"aged","Ripor1",14.1745952534406,1,14.1745952534406
0.00200226780353005,13.8490739170791,0.3,0,1,"aged","Ccdc58",13.8213443622662,1,13.8213443622662
0.00530758011437603,13.8249480764426,0.25,0,1,"aged","Fxyd4",13.7515710569498,1,13.7515710569498
0.00530758011437603,13.6757681093484,0.25,0,1,"aged","Erich1",13.6031828744824,1,13.6031828744824
0.00200226780353005,13.6226246976294,0.3,0,1,"aged","Rnf123",13.5953485547978,1,13.5953485547978
0.00530758011437603,13.6075323865364,0.25,0,1,"aged","Akirin1",13.5353093182359,1,13.5353093182359
0.00530758011437603,13.6040022403949,0.25,0,1,"aged","A330008L17Rik",13.5317979086279,1,13.5317979086279
0.00530758011437603,13.5325798947838,0.25,0,1,"aged","Hist2h2be",13.460754642838,1,13.460754642838
0.00530758011437603,13.480511224415,0.25,0,1,"aged","Stard5",13.4089623311087,1,13.4089623311087
0.00530758011437603,13.4371379255755,0.25,0,1,"aged","Zfp213",13.3658192395276,1,13.3658192395276
0.00530758011437603,13.4336052962792,0.25,0,1,"aged","Mcm7",13.3623053599443,1,13.3623053599443
