"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,1.15459293350865,0.922,0.786,0,"adult","Ccnd3",1.15459293350865,0.147505422993492,0.170308719042491
0,1.05139454471717,1,0.991,0,"adult","Gm42418",1.05139454471717,0.00900000000000001,0.0094625509024545
3.91776466031398e-235,1.81827957673098,0.398,0.178,1.26485032058237e-230,"adult","Rgs7bp",1.81827957673098,0.552763819095477,1.00507916301713
2.07645823294057e-155,1.13089851299922,0.483,0.293,6.70384540504864e-151,"adult","Camk2a",1.13089851299922,0.393374741200828,0.44486690987547
3.17326998337329e-151,0.442294044586662,0.99,0.984,1.02449021413207e-146,"adult","Vsir",0.442294044586662,0.00606060606060607,0.00268056996719189
4.36422831753119e-151,1.24099260440282,0.454,0.279,1.40899111231494e-146,"adult","Plp1",1.24099260440282,0.385462555066079,0.47835618011122
2.86598532945806e-145,0.907868664835654,0.629,0.444,9.25283363615536e-141,"adult","Fgf13",0.907868664835654,0.294117647058824,0.267020195539898
2.07828998343644e-127,1.14132543540593,0.387,0.223,6.70975921152455e-123,"adult","Cplx2",1.14132543540593,0.423772609819121,0.483662458414917
2.23303002113388e-114,0.344664390360661,0.999,0.996,7.20933742323072e-110,"adult","Inpp5d",0.344664390360661,0.00300300300300301,0.00103502819928127
3.39533711218527e-114,0.368056717467944,0.998,0.994,1.09618458666901e-109,"adult","Sparc",0.368056717467944,0.00400801603206413,0.00147517722432042
4.07807346256513e-114,0.518867935039532,0.819,0.737,1.31660601738915e-109,"adult","AY036118",0.518867935039532,0.1001221001221,0.0519501473421754
2.69979761416209e-111,0.362943839866691,0.996,0.993,8.71629659732232e-107,"adult","Epb41l2",0.362943839866691,0.00301204819277109,0.00109320433694787
1.13318432654612e-108,0.405438369069135,0.992,0.982,3.65848559825415e-104,"adult","Slco2b1",0.405438369069135,0.0100806451612903,0.00408708033335822
6.04263938395381e-105,0.59810702030966,0.821,0.728,1.95086612510949e-100,"adult","Arsb",0.59810702030966,0.113276492082826,0.0677514651507898
3.31641218347458e-103,0.580816381691323,0.987,0.972,1.07070367343477e-98,"adult","mt-Nd2",0.580816381691323,0.0151975683890578,0.00882699668223895
0,2.69217648720735,0.397,0.082,0,"aged","Ildr2",2.69217648720735,0.793450881612091,2.13610980723001
0,1.44401319547619,0.577,0.247,0,"aged","Upk1b",1.44401319547619,0.571923743500866,0.825865432421393
1.80164011954355e-308,2.17213660921981,0.656,0.383,5.81659512594635e-304,"aged","Uba52",2.17213660921981,0.416158536585366,0.903953192556414
9.26785117876646e-289,1.90278472003789,0.635,0.353,2.99212575306475e-284,"aged","Srgn",1.90278472003789,0.444094488188976,0.845016206379033
4.1562427220218e-270,0.701029582184994,0.993,0.986,1.34184296280474e-265,"aged","Rpl39",0.701029582184994,0.00704934541792548,0.004941799673006
2.29639442034351e-237,0.590278202655053,0.997,0.997,7.41390938607902e-233,"aged","Eef1a1",0.590278202655053,0,0
5.24038838550843e-231,2.0311832086065,0.299,0.073,1.6918593902614e-226,"aged","Col6a3",2.0311832086065,0.755852842809364,1.53527560249187
6.35404674290396e-226,0.635089802949475,0.984,0.975,2.05140399094654e-221,"aged","Rpl10",0.635089802949475,0.00914634146341464,0.00580874819770861
1.15202741541704e-214,0.695393274443743,0.984,0.976,3.71932051067391e-210,"aged","Rps27",0.695393274443743,0.00813008130081302,0.00565360385726621
3.29745813756535e-198,1.74836839408426,0.48,0.242,1.06458435971297e-193,"aged","Tnf",1.74836839408426,0.495833333333333,0.866899328733446
2.25137404548573e-194,0.591753092339626,0.992,0.987,7.26856110585067e-190,"aged","Rpl37",0.591753092339626,0.00504032258064517,0.00298262647348602
7.73121768930518e-174,0.516448215754711,0.996,0.992,2.49602363099218e-169,"aged","Rpl23",0.516448215754711,0.00401606425702812,0.00207408921989844
1.12226715018939e-169,1.69380794538895,0.466,0.253,3.62323949438645e-165,"aged","Ier3",1.69380794538895,0.457081545064378,0.774208352720698
2.89846797602479e-162,1.29524126126455,0.404,0.188,9.35770386059604e-158,"aged","Chst8",1.29524126126455,0.534653465346535,0.69250522879491
7.27646311308082e-162,0.571904488186684,0.994,0.99,2.34920611605814e-157,"aged","Rps21",0.571904488186684,0.0040241448692153,0.00230142651181764
