"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,13.7336036552813,0.98,0.002,0,"F","Xist",13.7336036552813,0.997959183673469,13.7055758927195
0,5.94488997185848,0.439,0.007,0,"F","Tsix",5.94488997185848,0.984054669703872,5.85009673768306
3.77664171128247e-285,1.12628286265927,0.803,0.614,1.21928877648754e-280,"F","Gm47283",1.12628286265927,0.235367372353674,0.265090237911086
7.37199411136335e-204,0.258608511642315,1,1,2.38004829885366e-199,"F","Malat1",0.258608511642315,0,0
2.49481421467387e-98,0.285651058099486,0.999,0.999,8.05450769207458e-94,"F","Rps29",0.285651058099486,0,0
2.54466489933296e-94,0.825543086580018,0.497,0.343,8.21545062749647e-90,"F","Kdm6a",0.825543086580018,0.309859154929577,0.255802083165639
8.68880032983167e-94,0.473508483525841,0.926,0.864,2.80517918648616e-89,"F","AC149090.1",0.473508483525841,0.0669546436285098,0.0317035917695487
1.34982841974479e-90,0.534927770341039,0.692,0.55,4.35792105314606e-86,"F","Gpx1",0.534927770341039,0.205202312138728,0.109768415301196
4.47107522149585e-76,0.338676729236937,0.986,0.979,1.44348663525994e-71,"F","Rps28",0.338676729236937,0.00709939148073023,0.00240439868626629
3.22566947538081e-73,0.570090039082702,0.695,0.57,1.0414073901267e-68,"F","Ddx3x",0.570090039082702,0.179856115107914,0.102534179691133
1.12378250230825e-72,0.36995679864866,0.985,0.978,3.62813180870217e-68,"F","Rps27",0.36995679864866,0.00710659898477158,0.00262913460968591
1.16353117810747e-70,0.409603579434012,0.98,0.969,3.75646040851997e-66,"F","Gpr34",0.409603579434012,0.0112244897959184,0.00459759119772872
1.96350525198383e-52,0.579430177339193,0.431,0.314,6.33917670602979e-48,"F","Kdm5c",0.579430177339193,0.271461716937355,0.157293110785813
5.01585355074629e-52,0.276873537060474,0.879,0.807,1.61936831885844e-47,"F","Hk2",0.276873537060474,0.0819112627986348,0.0226790610561481
9.8634789447424e-51,0.665027709343011,0.372,0.263,3.18442417731008e-46,"F","Jpx",0.665027709343011,0.293010752688172,0.194860269673087
0,11.3228757036458,0.432,0,0,"M","Ddx3y",11.3228757036458,1,11.3228757036458
0,10.9086848327259,0.391,0.001,0,"M","Uty",10.9086848327259,0.997442455242967,10.8807853830259
0,9.90807490428064,0.298,0,0,"M","Eif2s3y",9.90807490428064,1,9.90807490428064
1.0388564761194e-237,8.16304775199778,0.135,0.001,3.35394813315148e-233,"M","Kdm5d",8.16304775199778,0.992592592592593,8.10258073161261
1.07568557863961e-165,1.00913333932373,0.536,0.328,3.47285089063797e-161,"M","Snap25",1.00913333932373,0.388059701492537,0.391603982424134
3.47095110382109e-83,0.583942600994215,0.635,0.503,1.12059656386864e-78,"M","Snhg11",0.583942600994215,0.207874015748031,0.121386493435018
1.38504348487579e-77,0.322778205458093,0.75,0.608,4.47161289092147e-73,"M","Meg3",0.322778205458093,0.189333333333333,0.0611126735667322
5.91536223178897e-59,0.498443807598649,0.492,0.36,1.90977469653307e-54,"M","Syt1",0.498443807598649,0.268292682926829,0.133728826428906
7.72845876887687e-48,0.470494345862521,0.428,0.313,2.4951329135319e-43,"M","Ptprd",0.470494345862521,0.268691588785047,0.126417873304182
5.03379854889471e-47,0.739808882221064,0.291,0.194,1.62516186151066e-42,"M","Ndrg4",0.739808882221064,0.333333333333333,0.246602960740355
2.63247408562982e-43,0.602477378771461,0.41,0.311,8.49894258545587e-39,"M","Camk2a",0.602477378771461,0.241463414634146,0.145476245117987
1.98520805554652e-42,1.02361632857885,0.208,0.129,6.40924420733192e-38,"M","Kif5a",1.02361632857885,0.379807692307692,0.388777355566006
1.15154725478886e-39,0.577137984709514,0.372,0.277,3.71777031208583e-35,"M","Atp1b1",0.577137984709514,0.255376344086021,0.14738738856829
6.80256646055391e-38,0.618054522214617,0.326,0.235,2.19620858178983e-33,"M","Map1b",0.618054522214617,0.279141104294479,0.172524421845185
1.38102453141953e-36,0.437703808401599,0.703,0.64,4.45863769968795e-32,"M","Camk2n1",0.437703808401599,0.0896159317211948,0.0392252346078246
