"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
9.88131291682493e-324,0.496811796764776,0.999,0.997,3.19018187519693e-319,"ENT","Ptn",0.496811796764776,0.002002002002002,0.000994618211741294
1.16757452149034e-269,0.316286164875805,1,1,3.76951434263156e-265,"ENT","Csmd1",0.316286164875805,0,0
3.8927073903163e-239,0.455510839485385,0.998,0.993,1.25676058096362e-234,"ENT","Nckap5",0.455510839485385,0.00501002004008016,0.00228211843429552
4.17661702810024e-226,0.326388868195505,1,1,1.34842080752216e-221,"ENT","Anks1b",0.326388868195505,0,0
8.86589412547123e-225,0.684997115109217,0.961,0.896,2.86235391840839e-220,"ENT","Inpp4b",0.684997115109217,0.0676378772112382,0.0463317507618097
1.78332525129111e-201,0.237299771783999,1,1,5.75746557379336e-197,"ENT","Lsamp",0.237299771783999,0,0
1.4675280456742e-199,0.28613882791759,1,1,4.73791429545916e-195,"ENT","Pcdh9",0.28613882791759,0,0
9.13502422040069e-191,0.353095239808455,0.999,1,2.94924256955636e-186,"ENT","Sgcd",0.353095239808455,0.001,0.000353095239808456
4.15516916618828e-188,1.29389185848121,0.392,0.196,1.34149636530389e-183,"ENT","Ccbe1",1.29389185848121,0.5,0.646945929240605
2.23601464562117e-172,0.377664332192698,1,1,7.21897328338796e-168,"ENT","Nrxn3",0.377664332192698,0,0
6.51993613390981e-168,0.424491480679301,0.995,0.983,2.10496138083278e-163,"ENT","Usp24",0.424491480679301,0.0120603015075377,0.00511949524437348
4.29171758733535e-167,0.849954285806813,0.521,0.313,1.38558102307122e-162,"ENT","Nr2f2",0.849954285806813,0.399232245681382,0.339329158249169
6.64054495970345e-167,0.512933885942306,0.9,0.727,2.14389994024026e-162,"ENT","Fign",0.512933885942306,0.192222222222222,0.09859729140891
1.76630616205865e-164,0.735162836304943,0.9,0.803,5.70251944420636e-160,"ENT","Nrg1",0.735162836304943,0.107777777777778,0.0792342168017549
3.7182464594226e-164,0.664407952391707,0.722,0.526,1.20043586942459e-159,"ENT","Pcp4",0.664407952391707,0.271468144044321,0.180365593724065
9.60969743884272e-212,7.14876893354681,0.067,0.001,3.10249081813037e-207,"HIP","Ttr",7.14876893354681,0.985074626865672,7.04207088976253
3.45082394725014e-207,1.97121271762303,0.981,0.877,1.11409851136971e-202,"HIP","Fth1",1.97121271762303,0.106014271151886,0.208976679544134
3.11368907282218e-107,1.50948682391144,0.628,0.308,1.00525451716064e-102,"HIP","Camk2a",1.50948682391144,0.509554140127389,0.769165260591816
3.47496874081079e-100,0.679002362266509,0.989,0.998,1.12189365797076e-95,"HIP","Gm42418",0.679002362266509,0.0090180360721443,0.00612326779599057
5.88596396755781e-97,0.490869939258474,1,1,1.90028346692604e-92,"HIP","mt-Co1",0.490869939258474,0,0
3.08709539422131e-91,1.52945117857976,0.864,0.796,9.96668748024349e-87,"HIP","AY036118",1.52945117857976,0.0787037037037037,0.120373472388222
3.94027794100886e-90,0.503971630712334,1,1,1.27211873325471e-85,"HIP","mt-Nd4",0.503971630712334,0,0
4.31139439091128e-85,2.37763716488482,0.239,0.067,1.39193367910571e-80,"HIP","Mobp",2.37763716488482,0.719665271966527,1.71110289690455
1.31190512703606e-77,0.424042396639468,1,1,4.23548570263593e-73,"HIP","mt-Co2",0.424042396639468,0,0
2.60306130466211e-77,0.42951147352187,1,1,8.40398342210162e-73,"HIP","mt-Atp6",0.42951147352187,0,0
2.99562334981091e-74,1.78063493847236,0.307,0.111,9.67136998486452e-70,"HIP","Ddn",1.78063493847236,0.638436482084691,1.13682230599538
3.98874673328942e-73,0.783102678852083,0.958,0.887,1.28776688284249e-68,"HIP","mt-Nd5",0.783102678852083,0.0741127348643006,0.058037881209288
8.4664203668844e-72,1.52353995052905,0.674,0.453,2.73338381544863e-67,"HIP","Mbp",1.52353995052905,0.327893175074184,0.499558351731334
6.30981967484901e-71,0.404548234721798,1,1,2.037125282025e-66,"HIP","mt-Co3",0.404548234721798,0,0
2.6630754224321e-68,0.713108438628407,0.984,0.968,8.59773900132203e-64,"HIP","Rplp1",0.713108438628407,0.016260162601626,0.0115952591646895
0,2.76126855124366,0.494,0.118,0,"HIP - CA","Hpca",2.76126855124366,0.761133603238866,2.10169428191825
0,1.95070643995225,0.466,0.177,0,"HIP - CA","Epha6",1.95070643995225,0.620171673819742,1.20977287799614
0,1.90268574779631,0.835,0.471,0,"HIP - CA","Pmepa1",1.90268574779631,0.435928143712575,0.829434266105216
0,1.3312765159445,0.677,0.362,0,"HIP - CA","Nrgn",1.3312765159445,0.465288035450517,0.619427034745226
0,0.696195051085306,0.999,0.998,0,"HIP - CA","Tmsb4x",0.696195051085306,0.001001001001001,0.000696891943028335
1.71208039555954e-284,1.6769521330898,0.447,0.192,5.52745155706399e-280,"HIP - CA","Ccnd2",1.6769521330898,0.570469798657718,0.956650545722367
3.75424941302838e-270,0.540294209158914,1,0.999,1.21205942299621e-265,"HIP - CA","mt-Nd2",0.540294209158914,0.001,0.000540294209158914
1.6843069056179e-251,1.68082444597617,0.404,0.173,5.4377848447874e-247,"HIP - CA","Grin2a",1.68082444597617,0.571782178217822,0.96106546292202
2.21759710947429e-247,0.51935287588754,1,1,7.15951226793775e-243,"HIP - CA","mt-Nd4",0.51935287588754,0,0
3.9916801648708e-236,1.43395350833495,0.461,0.223,1.28871394122854e-231,"HIP - CA","Foxp2",1.43395350833495,0.516268980477223,0.740305715799824
3.09297143051702e-220,0.693076941176475,0.956,0.888,9.98565826342419e-216,"HIP - CA","Neu4",0.693076941176475,0.0711297071129707,0.0492983598326363
3.31481022687194e-216,0.478954646675703,1,1,1.07018648174561e-211,"HIP - CA","mt-Co1",0.478954646675703,0,0
4.8125586443623e-207,0.816732604301379,0.88,0.776,1.55373455833237e-202,"HIP - CA","Lbh",0.816732604301379,0.118181818181818,0.0965229441447084
1.79778947699413e-203,0.513259716605024,0.999,0.998,5.80416332647554e-199,"HIP - CA","mt-Cytb",0.513259716605024,0.001001001001001,0.000513773490095119
1.02278139457337e-186,1.21125045532637,0.48,0.263,3.30204973238013e-182,"HIP - CA","Camk2a",1.21125045532637,0.452083333333333,0.547586143345463
1.1893456167324e-112,0.517969568766365,0.991,0.985,3.83980232362056e-108,"PAR-POST-PRE-SUB-ProS","Meg3",0.517969568766365,0.00605449041372352,0.00313604178869646
2.40147488270678e-89,1.27370634283351,0.246,0.123,7.75316165881883e-85,"PAR-POST-PRE-SUB-ProS","Cntn5",1.27370634283351,0.5,0.636853171416755
1.44609433588969e-67,2.2226418234522,0.071,0.018,4.66871556341985e-63,"PAR-POST-PRE-SUB-ProS","Vwc2l",2.2226418234522,0.746478873239437,1.65915516398545
1.31318619245908e-64,3.20489446674287,0.037,0.004,4.23962162235414e-60,"PAR-POST-PRE-SUB-ProS","Slc17a6",3.20489446674287,0.891891891891892,2.85841938925715
5.97843554406818e-63,1.4507205653032,0.153,0.07,1.93013791540241e-58,"PAR-POST-PRE-SUB-ProS","Grm8",1.4507205653032,0.542483660130719,0.786992202092583
8.20980102622448e-61,0.392086868424402,0.868,0.78,2.65053426131657e-56,"PAR-POST-PRE-SUB-ProS","AC149090.1",0.392086868424402,0.101382488479263,0.0397507424209071
3.85040790331595e-60,0.503803788381287,0.584,0.452,1.24310419158556e-55,"PAR-POST-PRE-SUB-ProS","Lingo2",0.503803788381287,0.226027397260274,0.113873459017688
