"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
0,13.1435861274027,0.991,0.006,0,"F","Xist",13.1435861274027,0.993945509586276,13.0640084111924
0,5.21452320189539,0.523,0.02,0,"F","Tsix",5.21452320189539,0.961759082217973,5.01511504885924
0,0.884791629446372,0.894,0.795,0,"F","Gm47283",0.884791629446372,0.110738255033557,0.0979802811131888
1.36609045308438e-239,0.240236842591393,1,1,4.41042302778292e-235,"F","Malat1",0.240236842591393,0,0
3.12869898501002e-92,0.278601626105319,0.978,0.956,1.01010046731048e-87,"F","Rps29",0.278601626105319,0.0224948875255624,0.00626711224367793
3.32813849457764e-86,0.30585607536684,0.987,0.977,1.07448951297439e-81,"F","Son",0.30585607536684,0.0101317122593718,0.00309884574839757
5.33451744238739e-81,0.603749594025533,0.643,0.538,1.72224895627477e-76,"F","Kdm6a",0.603749594025533,0.163297045101089,0.0985905246853515
7.63311925575645e-79,0.484756884068572,0.998,0.997,2.46435255172097e-74,"F","Gm42418",0.484756884068572,0.00100200400801603,0.000485728340750073
3.57039910963084e-78,0.267775318277463,0.981,0.964,1.15270335254432e-73,"F","Rpl41",0.267775318277463,0.017329255861366,0.00464034700378887
1.00628753674245e-76,0.351361188020293,0.947,0.925,3.24879931237301e-72,"F","Tmem100",0.351361188020293,0.0232312565997887,0.00816256191810604
2.16914663003232e-66,0.44540633798133,0.743,0.663,7.00308989505933e-62,"F","Atp5k",0.44540633798133,0.107671601615074,0.0479576137799548
3.34181395025044e-66,0.3748292210788,0.834,0.768,1.07890463383835e-61,"F","Atp5e",0.3748292210788,0.079136690647482,0.0296627441141496
2.11053842528287e-62,0.232820174229959,0.999,0.999,6.81387330602574e-58,"F","mt-Nd2",0.232820174229959,0,0
5.96404077267106e-59,0.281037765047778,0.962,0.944,1.92549056345685e-54,"F","Eif1",0.281037765047778,0.0187110187110187,0.00525850288031185
8.46023178407921e-59,0.682950576498428,0.396,0.292,2.73138583148997e-54,"F","Eif2s3x",0.682950576498428,0.262626262626263,0.179360757464234
0,13.4210031338561,0.508,0,0,"M","Eif2s3y",13.4210031338561,1,13.4210031338561
0,13.0603383888189,0.431,0,0,"M","Ddx3y",13.0603383888189,1,13.0603383888189
0,11.6740083529282,0.528,0.001,0,"M","Uty",11.6740083529282,0.998106060606061,11.6518984886234
0,9.18968904359826,0.298,0.001,0,"M","Kdm5d",9.18968904359826,0.996644295302013,9.15885116090162
5.23752675443746e-47,17.0141514189713,0.024,0,1.69093551267013e-42,"M","Gm29650",17.0141514189713,1,17.0141514189713
3.66152461015602e-46,0.306053172381823,0.865,0.814,1.18212322038887e-41,"M","Snap25",0.306053172381823,0.0589595375722544,0.0180447535161537
6.08409401631087e-38,0.192389251691793,0.999,1,1.96424975316596e-33,"M","Sox2ot",0.192389251691793,0.001,0.000192389251691793
2.56681378236353e-31,0.181391883294637,0.996,0.995,8.28695829636067e-27,"M","Unc5c",0.181391883294637,0.00100401606425703,0.000182120364753652
2.64266572993368e-24,0.240299259190952,0.746,0.692,8.5318463090909e-20,"M","Dnm1",0.240299259190952,0.0723860589812333,0.0173943163489429
1.56230654955242e-23,0.195852961228747,0.941,0.924,5.04390669522999e-19,"M","Gm20754",0.195852961228747,0.0180658873538788,0.00353825753548212
1.75066982894268e-23,0.118311587426003,0.999,1,5.65203754274145e-19,"M","Ptprt",0.118311587426003,0.001,0.000118311587426003
4.91137773188416e-23,0.151680957419055,0.984,0.978,1.5856383007388e-18,"M","Agap1",0.151680957419055,0.00609756097560976,0.000924883886701555
9.41072244080383e-23,0.126280186220542,0.994,0.995,3.03825174001352e-18,"M","Grid1",0.126280186220542,0.00100502512562814,0.000126914760020646
4.69985616824247e-22,0.405172861608761,0.24,0.179,1.51734856391708e-17,"M","Srcin1",0.405172861608761,0.254166666666667,0.102981435658893
1.6997967035304e-20,0.16388032671432,0.98,0.974,5.48779365734791e-16,"M","Cadm1",0.16388032671432,0.00612244897959184,0.00100334893906727
