"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
1.19085934049766e-53,1.34003698012053,0.61,0.392,3.8446893807967e-49,"ENT","Hlf",1.34003698012053,0.357377049180328,0.478898461747994
1.09023945431637e-47,1.0615856457071,0.606,0.38,3.5198380782604e-43,"ENT","Tbx15",1.0615856457071,0.372937293729373,0.395904877771954
1.4662139248639e-47,1.94623401249611,0.312,0.114,4.73367165642311e-43,"ENT","Dbp",1.94623401249611,0.634615384615385,1.23511004639176
1.57181440263141e-38,1.61555067004531,0.341,0.156,5.07460279889552e-34,"ENT","Cacna1d",1.61555067004531,0.542521994134897,0.876471771138952
2.28649645194187e-36,0.939219115979981,0.694,0.52,7.38195379509433e-32,"ENT","Dach1",0.939219115979981,0.250720461095101,0.235481449827834
1.56655270753941e-30,0.407723601538017,0.989,0.992,5.05761541629098e-26,"ENT","Atp13a5",0.407723601538017,0.0030241935483871,0.00123303508529642
4.2145701171689e-29,0.777927511104606,0.507,0.334,1.36067396232798e-24,"ENT","Nr1d1",0.777927511104606,0.341222879684418,0.265446665524846
3.46345711520904e-25,0.620017096239488,0.782,0.676,1.11817712964524e-20,"ENT","Adk",0.620017096239488,0.135549872122762,0.0840432381091889
1.09267194355157e-24,0.38670212184304,0.987,0.987,3.52769136975623e-20,"ENT","Plxdc2",0.38670212184304,0,0
8.26009456434173e-24,0.554345112597492,0.915,0.868,2.66677153009773e-19,"ENT","Gpc6",0.554345112597492,0.0513661202185793,0.0284745576962646
1.84314726753433e-23,0.421816718486994,0.987,0.974,5.95060095323458e-19,"ENT","Rora",0.421816718486994,0.0131712259371834,0.00555584330327348
7.23060901276984e-23,0.704903101669522,0.533,0.385,2.33440211977274e-18,"ENT","Timp3",0.704903101669522,0.277673545966229,0.195732943803169
7.67221137440779e-23,0.492432268361274,0.941,0.9,2.47697344222756e-18,"ENT","Sox5",0.492432268361274,0.0435706695005313,0.021455603616166
5.681044130042e-21,0.389110302467115,0.975,0.947,1.83412509738406e-16,"ENT","Myo1b",0.389110302467115,0.0287179487179487,0.0111744497118761
1.97994280395425e-20,0.849631686019022,0.33,0.193,6.39224534256629e-16,"ENT","Dpp10",0.849631686019022,0.415151515151515,0.352725881771533
1.74041957096186e-51,1.74477069340553,0.978,0.911,5.61894458485036e-47,"HIP","Fth1",1.74477069340553,0.0685071574642126,0.119529280632076
2.97941079415461e-41,19.0042667627506,0.058,0,9.61902774892814e-37,"HIP","Ttr",19.0042667627506,1,19.0042667627506
7.3254313662139e-33,0.534493588690012,1,0.993,2.36501551658216e-28,"HIP","mt-Nd2",0.534493588690012,0.00700000000000001,0.00374145512083009
6.64949355827722e-31,1.3410397260851,0.891,0.72,2.1467889952898e-26,"HIP","mt-Nd4l",1.3410397260851,0.191919191919192,0.257371260561787
8.94503418373101e-31,0.46265245245781,1,1,2.88790428621756e-26,"HIP","mt-Co1",0.46265245245781,0,0
1.8624269965373e-30,0.444716707325629,1,0.997,6.01284555832067e-26,"HIP","mt-Nd4",0.444716707325629,0.003,0.00133415012197689
9.43206504980564e-28,2.09080912527834,0.467,0.201,3.04514220132975e-23,"HIP","Mbp",2.09080912527834,0.569593147751606,1.19091055101507
5.4698225201319e-27,1.65863458801278,0.583,0.301,1.76593220062459e-22,"HIP","Camk2a",1.65863458801278,0.483704974271012,0.80228980071973
1.80086990486703e-25,2.97739949243559,0.42,0.197,5.8141084878632e-21,"HIP","Uba52",2.97739949243559,0.530952380952381,1.58085734955508
6.69069182058584e-25,0.50501812536136,0.996,0.996,2.16008985427614e-20,"HIP","mt-Cytb",0.50501812536136,0,0
6.87844164284919e-22,1.85543690972654,0.25,0.077,2.22070488439386e-17,"HIP","Mobp",1.85543690972654,0.692,1.28396234153076
1.32718196974166e-21,1.44863044778206,0.551,0.32,4.28480698931096e-17,"HIP","Plp1",1.44863044778206,0.41923774954628,0.607320568852369
