"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
9.18122701662054e-47,0.369432753476246,1,0.997,2.96415914231594e-42,"adult","Gm42418",0.369432753476246,0.003,0.00110829826042874
4.5629953130391e-37,3.38184969110415,0.258,0.047,1.47316303681467e-32,"adult","Ccnd2",3.38184969110415,0.817829457364341,2.76577629776347
1.90718039272633e-26,0.445439422540677,0.818,0.614,6.15733189791695e-22,"adult","Meg3",0.445439422540677,0.249388753056235,0.111087582149509
4.39083224228852e-25,0.734626985386971,0.985,0.963,1.41758018942285e-20,"adult","Sparc",0.734626985386971,0.0223350253807107,0.016407912363973
1.42074181763563e-24,0.565498422881271,0.992,0.975,4.58686495823663e-20,"adult","Col1a2",0.565498422881271,0.0171370967741936,0.00969100119857018
1.48220283513485e-22,0.400771263816958,0.357,0.164,4.78529185323287e-18,"adult","Mgp",0.400771263816958,0.540616246498599,0.216663456349224
2.24279123723959e-22,0.605820622904824,0.987,0.969,7.24085150942802e-18,"adult","Slc6a20a",0.605820622904824,0.0182370820668693,0.0110484004177172
3.79124665753711e-21,0.760205598670527,0.944,0.899,1.22400398338586e-16,"adult","Col1a1",0.760205598670527,0.0476694915254237,0.0362386143434043
9.24710889037252e-21,1.42713383519508,0.547,0.377,2.98542910525677e-16,"adult","Zbtb16",1.42713383519508,0.310786106032907,0.443533367428087
2.05648513493028e-19,0.840995885444633,0.713,0.563,6.63936225812239e-15,"adult","Col3a1",0.840995885444633,0.210378681626929,0.176927605633513
6.57396005507663e-19,1.37424598835715,0.38,0.199,2.12240300378149e-14,"adult","Camk2a",1.37424598835715,0.476315789473684,0.654575062875377
7.72628696464049e-18,0.645801480165742,0.922,0.84,2.49443174653418e-13,"adult","Klf9",0.645801480165742,0.0889370932754881,0.0574357064789489
3.95689883615389e-15,1.13749789471183,0.353,0.187,1.27748478925228e-10,"adult","Celf4",1.13749789471183,0.470254957507082,0.534914024142106
8.59916039053053e-14,0.647865708445027,0.577,0.42,2.77623893208278e-09,"adult","Cpe",0.647865708444971,0.27209705372617,0.176282350478094
9.37652965978039e-14,0.584486619305132,0.853,0.779,3.0272126006601e-09,"adult","Camk2n1",0.584486619305077,0.0867526377491207,0.0507057559537816
2.54511101024241e-31,1.08787628802669,0.707,0.459,8.21689089656761e-27,"aged","AC149090.1",1.08787628802669,0.350777934936351,0.381602997780224
9.28882975407133e-29,1.72548445512109,0.394,0.158,2.99889868610193e-24,"aged","Sp100",1.72548445512109,0.598984771573604,1.03353891220451
1.30432688808655e-24,1.62833895369901,0.6,0.396,4.21101935818741e-20,"aged","Uba52",1.62833895369901,0.34,0.553635244257662
1.4450478611368e-22,1.65819301958191,0.303,0.111,4.66533701968015e-18,"aged","Masp1",1.65819301958191,0.633663366336634,1.05073617082418
1.49504844309088e-20,1.72170875385483,0.244,0.077,4.82676389851889e-16,"aged","Hs3st3b1",1.72170875385483,0.684426229508197,1.17838263071212
1.09488535194194e-16,0.988611943930225,0.522,0.338,3.53483735874456e-12,"aged","Slc5a5",0.988611943930225,0.352490421455939,0.34847624077234
4.52530276841555e-16,0.881158319799336,0.704,0.547,1.46099399878296e-11,"aged","Gm10076",0.881158319799336,0.223011363636364,0.196508318477977
7.46903425226628e-16,2.38225636291587,0.157,0.042,2.41137770834417e-11,"aged","Scn7a",2.38225636291587,0.732484076433121,1.74496485181736
1.40492530445062e-15,0.479522948974811,0.989,0.979,4.53580134541884e-11,"aged","Eef1a1",0.47952294897481,0.0101112234580384,0.00484856369034187
2.05727889518782e-15,2.7102605200896,0.115,0.019,6.64192491311389e-11,"aged","Aass",2.71026052008959,0.834782608695652,2.26247834720522
2.69566879374271e-15,0.457787171631374,0.989,0.989,8.70296670059834e-11,"aged","Slc1a3",0.457787171631373,0,0
2.04647423780836e-13,3.13182271160911,0.15,0.048,6.60704207676429e-09,"aged","Cdh19",3.13182271160847,0.68,2.12963944389376
2.12545763310634e-13,1.15551014857173,0.216,0.088,6.86203996848383e-09,"aged","Gm4951",1.15551014857148,0.592592592592593,0.684746754709026
3.78063048786378e-12,4.32148270762737,0.204,0.095,1.22057655300682e-07,"aged","Sgcd",4.32148270761103,0.534313725490196,2.30902752514511
5.47796410364165e-12,0.491889149960404,0.43,0.27,1.76856071086071e-07,"aged","Cpm",0.491889149957709,0.372093023255814,0.183028520914496
