"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","p_FC","adj_diff","diff_pfc"
2.69281745884046e-112,2.61743342019269,0.82,0.257,8.69376116586642e-108,"ENT","Mapk4",2.61743342019269,0.686585365853658,1.79709148240059
4.54030190110152e-111,2.23322894228647,0.96,0.736,1.46583646877063e-106,"ENT","Alcam",2.23322894228647,0.233333333333333,0.521086753200177
1.01106550631551e-98,1.98921717468503,0.899,0.497,3.26422498713962e-94,"ENT","Aebp1",1.98921717468503,0.447163515016685,0.889505343963718
2.49916670376682e-96,1.83234609686821,0.919,0.572,8.06855970311118e-92,"ENT","Mpp6",1.83234609686821,0.377584330794342,0.691865174769608
1.2636099217308e-87,2.6079886168025,0.716,0.202,4.07956463230789e-83,"ENT","Sdk1",2.6079886168025,0.717877094972067,1.8722152919504
1.83220122337553e-80,2.31653458208904,0.779,0.32,5.91526164966791e-76,"ENT","B3galt1",2.31653458208904,0.589216944801027,1.36494142898443
3.82825767988253e-80,2.15179945015238,0.797,0.362,1.23595299195008e-75,"ENT","Nebl",2.15179945015238,0.545796737766625,1.17444512022119
1.17354691026137e-79,1.758604326363,0.839,0.435,3.78879619977885e-75,"ENT","Fmod",1.758604326363,0.481525625744934,0.84681304868969
9.94089068037241e-79,2.14134353678214,0.779,0.317,3.20941655615823e-74,"ENT","Lepr",2.14134353678214,0.593068035943517,1.26996240563973
1.01940549535336e-78,1.55219134885744,0.954,0.809,3.29115064174832e-74,"ENT","Pgrmc1",1.55219134885744,0.151991614255765,0.235920068746676
5.86640882106197e-78,1.42734924200264,0.867,0.384,1.89397008787986e-73,"ENT","Adam12",1.42734924200264,0.557093425605536,0.795166878762715
1.35806590994917e-74,2.36230968654196,0.74,0.317,4.38451579027089e-70,"ENT","Slc6a1",2.36230968654196,0.571621621621622,1.35034729379358
3.10494320288003e-74,2.05656086373906,0.692,0.21,1.00243091304982e-69,"ENT","Sidt1",2.05656086373906,0.696531791907514,1.43246002358703
2.47635765864238e-73,2.14912085022493,0.718,0.259,7.99492070092693e-69,"ENT","Trpm3",2.14912085022493,0.639275766016713,1.37388087779003
3.67378850605794e-72,1.95594847094892,0.806,0.44,1.18608261918081e-67,"ENT","Gsdme",1.95594847094892,0.45409429280397,0.888185037676556
1.76202073961739e-21,3.33180729230701,0.302,0.058,5.68868395785475e-17,"HIP","Tgfbi",3.33180729230701,0.80794701986755,2.69192377259242
2.98796447258793e-18,1.17689810201809,1,0.993,9.64664329975012e-14,"HIP","Fth1",1.17689810201809,0.00700000000000001,0.00823828671412666
2.33154928998592e-17,1.26629888792079,0.84,0.449,7.52740688271954e-13,"HIP","Col12a1",1.26629888792079,0.46547619047619,0.589431982353606
3.93137478394963e-14,1.80584678024983,0.726,0.475,1.26924434899814e-09,"HIP","Hist1h1c",1.80584678024976,0.345730027548209,0.624335457083596
5.24024235190935e-14,1.98611789073078,0.302,0.083,1.69181224331393e-09,"HIP","Psd",1.98611789073068,0.725165562913907,1.44026429824509
7.84358858858033e-14,1.60709537106018,0.547,0.236,2.53230257582316e-09,"HIP","Ccdc141",1.60709537106005,0.56855575868373,0.913723327970158
1.21519699794022e-12,1.03787251441058,0.698,0.377,3.92326350785e-08,"HIP","Adgrl3",1.03787251440932,0.459885386819484,0.47730240275844
1.57155160317536e-12,1.84574655205464,0.5,0.226,5.07375435085166e-08,"HIP","Cplx2",1.84574655205174,0.548,1.01146911052436
3.35476696580876e-12,6.93003781310869,0.038,0.001,1.08308651491136e-07,"HIP","C1ql2",6.93003781308544,0.973684210526316,6.74766839695162
3.64368604089357e-12,0.839634214165333,0.981,0.918,1.17636403830249e-07,"HIP","Itih5",0.839634214162273,0.0642201834862385,0.0539214632948249
3.64809040523342e-12,1.41069383985435,0.557,0.269,1.17778598732961e-07,"HIP","Camk2a",1.41069383984921,0.51705565529623,0.729407227785586
1.56998433969245e-11,1.10648886876324,0.717,0.434,5.06869444069707e-07,"HIP","Col15a1",1.10648886874587,0.394700139470014,0.436731310816013
3.05882449220064e-11,1.09316788145451,0.887,0.649,9.87541487306976e-07,"HIP","Col4a1",1.09316788142107,0.268320180383315,0.293319003132148
3.20430488395094e-11,1.47530498253618,0.811,0.615,1.03450983178356e-06,"HIP","Trf",1.4753049824889,0.241676942046856,0.356547196754408
6.01406374275451e-11,1.71558746723933,0.566,0.307,1.94164047934829e-06,"HIP","Plp1",1.71558746713616,0.457597173144876,0.785047975244283
1.50826562285389e-61,1.99580143614418,0.972,0.62,4.86943556338378e-57,"HIP - CA","Col4a1",1.99580143614418,0.362139917695473,0.722759367821761
2.10083660672667e-60,1.66802804777316,1,0.911,6.78255098481706e-56,"HIP - CA","Itih5",1.66802804777316,0.089,0.148454496251811
1.33819300100562e-59,1.63970274420851,1,0.886,4.32035610374665e-55,"HIP - CA","Snhg11",1.63970274420851,0.114,0.18692611283977
3.81424116333444e-58,1.78692467316064,0.972,0.598,1.23142775958252e-53,"HIP - CA","Col4a2",1.78692467316064,0.38477366255144,0.687561551195557
5.70295382691469e-55,2.10920736694479,0.827,0.337,1.84119864301941e-50,"HIP - CA","Adgrl3",2.10920736694479,0.592503022974607,1.2497117409951
4.75575592744013e-54,1.6642847250905,0.893,0.39,1.53539580117404e-49,"HIP - CA","Col15a1",1.6642847250905,0.563269876819709,0.937441452094647
1.84562125226062e-51,1.70282375680127,0.893,0.415,5.95858821292341e-47,"HIP - CA","Col12a1",1.70282375680127,0.535274356103024,0.911477889978729
6.43078338773458e-51,1.57030095575755,0.981,0.835,2.07617841673011e-46,"HIP - CA","Bgn",1.57030095575755,0.148827726809378,0.23370432165199
1.57841800517958e-50,1.73946235350813,0.939,0.573,5.09592252972227e-46,"HIP - CA","Rhob",1.73946235350813,0.389776357827476,0.67800130072841
2.80226207398069e-49,1.8643087267383,0.836,0.372,9.04710310584664e-45,"HIP - CA","Carmil1",1.8643087267383,0.555023923444976,1.034735944027
